Sl.NO,wkt_geom,gid,ss_name,volt_ratio,ss_type,ss_code,cir_code,region_id,cir_name,show
215,Point (77.43989999999999441 8.18142199999999953),277660,MEENAKSHIPURAM,110/11,NON GRID,5312,474,7,KANYAKUMARI,Y
216,Point (77.53674999999999784 8.10618999999999978),277659,KANYAKUMARI,110/11,NON GRID,5301,474,7,KANYAKUMARI,Y
217,Point (77.31225000000000591 8.25947000000000031),277663,THUCKALAY,110/11,NON GRID,5307,474,7,KANYAKUMARI,Y
218,Point (77.26574999999999704 8.20232500000000009),277664,CHEMPONVILAI,110/11,NON GRID,5311,474,7,KANYAKUMARI,Y
219,Point (77.43391200000000651 8.10931099999999994),277661,THENGAMPUDUR,110/11,NON GRID,5314,474,7,KANYAKUMARI,Y
220,Point (77.48712100000000191 8.25022599999999962),277662,S.R.PUDUR,110/11,NON GRID,5313,474,7,KANYAKUMARI,Y
221,Point (77.18246000000000606 8.28030000000000044),277667,MUNCHIRAI,110/11,NON GRID,5305,474,7,KANYAKUMARI,Y
222,Point (77.22422339999999963 8.31794000000000011),277668,MARTHANDAM,110/11,NON GRID,5315,474,7,KANYAKUMARI,Y
223,Point (77.30098999999999876 8.16981900000000039),277665,CHERAMANGALAM,110/11,NON GRID,5316,474,7,KANYAKUMARI,Y
224,Point (77.19360000000000355 8.33721000000000068),277666,KUZHITHURAI,110/11,NON GRID,5304,474,7,KANYAKUMARI,Y
225,Point (78.10481033987366573 9.91616267117236561),251367,ELLISNAGAR SS,110/11,Non-Grid,3314,463,5,MADURAI METRO,Y
226,Point (77.59081366183976058 9.46166713016885197),277637,THOTTIYAPATTI,110/11,OUTDOOR,5240,462,7,VIRUDHUNAGAR,Y
227,Point (77.92543414628991627 9.46329528239244233),277640,THULUKKAPATTI,110/11,OUTDOOR,5209,462,7,VIRUDHUNAGAR,Y
228,Point (78.17165742224487701 9.50099493951337948),277641,TAMILPADI,110/11,OUTDOOR,5202,462,7,VIRUDHUNAGAR,Y
229,Point (77.31095200000000034 8.44792799999999922),277655,PECHIPARAI,110/11,NON GRID,5310,474,7,KANYAKUMARI,Y
230,Point (78.17137832007627196 9.91635344377648487),251368,VANDIYUR SS,110/11,Non-Grid,3316,463,5,MADURAI METRO,Y
231,Point (77.53871540000000095 8.25948559999999965),277652,ARALVOIMOZHI,110/11,NON GRID,5905,474,7,KANYAKUMARI,Y
232,Point (78.02047100000000057 8.90442700000000009),277688,OTTAPIDARAM SS,110/11,NON GRID,5110,470,7,TUTICORIN,N
233,Point (79.28893228921886305 13.00381295135445825),276508,M.R.PURAM SS,110/11,NON GRID,7443,412,8,VELLORE,Y
234,Point (77.76764799999999411 8.88814999999999955),277692,SANNATHUPUTHUKUDI SS,110/11,NON GRID,5142,470,7,TUTICORIN,Y
235,Point (79.31311894279957642 12.96128159652691281),276511,SIPCOT SS,110/11,NON GRID,7409,412,8,VELLORE,Y
236,Point (78.08341631465481214 9.90525364292912514),251378,PASUMALAI GRID SS,110/11,Grid,3222,463,5,MADURAI METRO,Y
237,Point (78.1688058583712575 9.93698029635685565),251379,IT PARK SS,110/11,Non-Grid,3320,463,5,MADURAI METRO,Y
238,Point (77.24257699999999716 8.24772899999999964),277669,KARUNGAL,110/11,NON GRID,5318,474,7,KANYAKUMARI,Y
239,Point (77.15416000000000452 8.30549000000000071),277670,NADAIKAVOO,110/11,NON GRID,5320,474,7,KANYAKUMARI,Y
240,Point (78.01576099999999769 8.42631500000000067),277683,UDANGUDI SS,110/11,NON GRID,5106,470,7,TUTICORIN,Y
241,Point (78.06748000000000332 8.67485100000000031),277686,MANJANEERKAYAL SS,110/11,NON GRID,5109,470,7,TUTICORIN,Y
242,Point (79.90247898405010574 12.90009693181295702),273305,VALLAM VADAGAL INDOOR,110/11,GRID,9171,411,9,CHENGALPATTU,Y
243,Point (80.12797338916337253 12.84470455636824049),273306,NALLAMBAKKAM,110/11,NON GRID,9169,411,9,CHENGALPATTU,Y
244,Point (80.0596911644565381 12.39524934237125819),273302,VELUR SS,110/11,NON GRID,9168,411,9,CHENGALPATTU,Y
245,Point (80.1292678662096165 12.74796200283836178),273303,NELLIKUPPAM,110/11,NON GRID,9163,411,9,CHENGALPATTU,Y
246,Point (79.98312122186972317 12.95617747894781147),273315,PILLAIPAKKAM,110/11,N0N GRID,9174,411,9,CHENGALPATTU,Y
247,Point (78.09656986703856774 9.9667103891443265),251282,ANAIYUR SS,110/11,Non-Grid,3307,463,5,MADURAI METRO,Y
248,Point (78.11691150253034266 9.88589735351342291),251280,AVANIYAPURAM SS,110/11,Non-Grid,3321,463,5,MADURAI METRO,Y
249,Point (78.78863122799245389 9.25373830788383955),251283,KEELAKARAI SS,110/11,NON GRID,3507,478,5,RAMNAD,Y
250,Point (79.00995860856910724 9.73973723804061464),251293,THONDI,110/11,NonGrid,3511,478,5,RAMNAD,Y
251,Point (77.58223666695771215 8.80601772580737929),277543,SEETHAPARPANALLUR SS,110/11,NON GRID,5456,472,7,TIRUNELVELI,Y
252,Point (78.76354682683616204 9.74533872430603587),251300,ANANDUR,110/11,Non Grid,3512,478,5,RAMNAD,Y
253,Point (78.86608118964007019 9.6595374155897975),251297,Rs mangalam,110/11,NON GRID,3510,478,5,RAMNAD,Y
254,Point (80.0262462510576853 12.72695384109509398),273336,ANJUR SS,110/11,NON GRID,9166,411,9,CHENGALPATTU,Y
255,Point (78.70856157509263085 12.82096990634239475),276464,chinnavarigam ss,110/11,NON GRID,7313,413,8,TIRUPATTUR EDC,Y
256,Point (80.1876815287353395 13.02586704126231076),273339,RAMAPURAM SS,110/11,Non-Grid,9221,400,9,Chennai-South 1,Y
257,Point (78.63221135220580038 9.1824832824554008),251311,VALINOKKAM SS,110/11,NON GRID,3503,478,5,RAMNAD,Y
258,Point (80.03899994402364371 12.89524964564312093),273324,PADAPPAI SS,110/11,NON GRID,9141,411,9,CHENGALPATTU,Y
259,Point (80.16280842757851133 12.82659981721423037),273325,MAMBAKKAM SS,110/11,NON GRID,9108,411,9,CHENGALPATTU,Y
260,Point (78.98969020978370281 12.88176729921589825),276461,Anaicut SS,110/11,NON GRID,7311,413,8,TIRUPATTUR EDC,Y
261,Point (78.86779299622668304 12.88070217722660615),276462,V.patty SS,110/11,NON GRID,7309,413,8,TIRUPATTUR EDC,Y
262,Point (77.58955904007736137 8.40025620843719523),277548,VALLIYOOR SS,110/11,NON GRID,5428,472,7,TIRUNELVELI,Y
263,Point (77.62688464173170644 8.98492263675439418),277549,VANNIKONENDAL SS,110/11,NON GRID,5407,472,7,TIRUNELVELI,Y
264,Point (78.72592171465529987 12.77776153202543163),276476,AMBUR SS,110/11,Non-Grid,7310,413,8,TIRUPATTUR EDC,Y
265,Point (77.51339487909137915 8.68671635322370683),277550,VEERAVANALLUR SS,110/11,NON GRID,5424,472,7,TIRUNELVELI,Y
266,Point (77.44236827015951974 9.35875171980676157),277551,VISWANATHAPERI SS,110/11,NON GRID,5436,472,7,TIRUNELVELI,Y
267,Point (78.40386497826636969 10.18963110664694405),251324,SINGAMPUNARI SS,110/11,NON GRID,3412,460,5,SIVAGANGAI,Y
268,Point (80.26641939457853425 13.04491325960680115),414,MYLAPORE,110/11,NON-GRID,2220,402,1,Chennai-Central,Y
269,Point (78.61891341225390306 9.63008624420117698),251322,Ilayangudi SS,110/11,NON GRID,3405,460,5,SIVAGANGAI,Y
270,Point (80.0859547629186892 12.973571571305067),273363,THIRUMUDIVAKKAM SS,110/11,Non-Grid,9209,400,9,Chennai-South 1,Y
271,Point (80.06694912896757899 13.04013985447175727),273361,CHEMBARAMBAKKAM SS,110/11,Non-Grid,9243,400,9,Chennai-South 1,Y
272,Point (78.7359665826175501 12.80932642287676337),276475,SOMULAPURAM SS,110/11,Non-Grid,7330,413,8,TIRUPATTUR EDC,Y
273,,273369,PERUMPAKKAM SS,110/11,Non-Grid,9411,401,9,Chennai-South 2,Y
274,Point (78.63073842302718219 12.67697785753516193),276483,VANIYAMBADI SS,110/11,Non-Grid,7307,413,8,TIRUPATTUR EDC,Y
275,Point (78.532324 10.176552),251335,THEKKUR SS,110/11,NONGRID,3410,460,5,SIVAGANGAI,Y
276,Point (78.46722699679243362 10.31527277497470152),251336,S.PUDHUR SS,110/11,NON GRID,3411,460,5,SIVAGANGAI,Y
277,Point (78.71989469873913947 9.60052303768679316),251333,SALAIGRAMAM SS,110/11,NON GRID,3406,460,5,SIVAGANGAI,Y
278,Point (78.58730604197924663 10.10308284961652525),251339,THIRUPPATHUR SIVAGANGAI SS,110/11,NON GRID,3409,460,5,SIVAGANGAI,Y
279,Point (77.36261700000000019 8.7071038999999999),277571,PAPANASAM PH SS,110/11,GRID,12310,472,7,TIRUNELVELI,Y
280,Point (78.70421078519821378 12.91339962301528033),276480,PERNAMBUT,110/11,Non-Grid,7314,413,8,TIRUPATTUR EDC,Y
281,Point (79.65990496101495921 10.96577853907302647),276284,Peralam,110/11,NON GRID,6712,447,6,THIRUVARUR,Y
282,Point (79.4308492716311747 10.6833817660577779),276298,Mannargudi SS,110/11,NON GRID,6706,447,6,THIRUVARUR,Y
283,Point (79.61823494175293092 10.56235022724252559),276290,Thiruthuraipoondi SS,110/11,NON GRID,6709,447,6,THIRUVARUR,Y
284,Point (79.61599719818909193 10.78327532574444625),276291,Thiruvarur,110/11,NON GRID,6702,447,6,THIRUVARUR,Y
285,Point (79.42615888475668839 10.5954081483612228),276299,Ullikottai SS,110/11,NON GRID,6713,447,6,THIRUVARUR,Y
286,Point (79.77550100467959737 10.82278870170430629),276257,NGTPS SWITCHYARD,110/11,NON GRID,6255,445,6,NAGAI,Y
287,Point (79.79985523063898256 11.17558200086917353),276271,THIRUVENGADU,110/11,NON GRID,6221,445,6,NAGAI,Y
288,,276269,,110/11,NON GRID,6216,445,6,NAGAI,Y
289,Point (77.96662868840286365 10.8358577963347642),276362,MALAIKOVILUR,110/11,NON GRID,6103,443,6,KARUR,Y
290,Point (76.67995893226553505 11.40498506724933137),277068,OOTY SS,110/11,NON GRID,1407,482,3,NILGIRIS,N
291,Point (78.50373420428500992 10.74609258167910575),276365,KAVALKARANPATTY,110/11,NON GRID,6105,443,6,KARUR,Y
292,Point (78.11922396431170057 10.84084420255083181),276366,VELLIYANAI,110/11,NON GRID,6114,443,6,KARUR,Y
293,Point (77.88132681333097196 10.90811810646543734),276363,ANDICHETTIPALAYAM,110/11,NON GRID,6104,443,6,KARUR,Y
294,Point (77.89259041200952538 10.7210335500563545),276364,PALLAPATTY,110/11,NON GRID,6102,443,6,KARUR,Y
295,Point (78.23525420304328293 10.94747828885356),276375,MAYANOOR,110/11,NON GRID,6110,443,6,KARUR,Y
296,Point (78.15312482664094773 10.92873074157678559),276377,PULIYUR SS,110/11,Non-Grid,6111,443,6,KARUR,Y
297,Point (78.00578513732003216 10.88455519361076362),276369,THALAPATTY,110/11,NON GRID,6121,443,6,KARUR,Y
298,Point (78.07006925314568946 10.96071626499586493),276387,KARUR SS,110/11,Non-Grid,6113,443,6,KARUR,Y
299,Point (77.92438727881206262 11.03796389885103935),276378,NOYYAL,110/11,NON GRID,6131,443,6,KARUR,Y
300,Point (78.30945971176915066 10.83013279108302562),276381,Panjapatty,110/11,NON GRID,6116,443,6,KARUR,Y
301,Point (79.21727881273206151 11.34974618168277516),276329,EACHANGADU SS,110/11,GRID,6540,440,6,PERAMBALUR,Y
302,Point (79.4851446429723012 11.27083223500031117),276340,PAPPAKUDI SS,110/11,GRID,6544,440,6,PERAMBALUR,Y
303,Point (77.99469140241528464 11.06309633918072954),276361,PUGALUR,110/11,NON GRID,6101,443,6,KARUR,Y
304,Point (77.32255387638889488 11.14965805421447342),277066,VELAMPALAYAM SS,110/11,Grid,1606,438,3,TIRUPUR,Y
305,Point (78.20236823001278026 10.80484563108115736),276357,KANIYALAMPATTY SS,110/11,NON GRID,6122,443,6,KARUR,Y
306,Point (79.04470929228391185 10.65553803438656821),276425,PUNALKULAM,110/11,GRID,6311,446,6,PUDUKOTTAI,Y
307,Point (78.7981008449550302 10.37359087924993872),276430,PUDUKKOTTAI SS,110/22,NON GRID,6306,446,6,PUDUKOTTAI,Y
308,Point (78.80403594957890334 10.38440682484944766),276428,PUDUKKOTTAI URBAN,110/22,NONGRID,6339,446,6,PUDUKOTTAI,Y
309,Point (79.06258751284454434 10.33332737656223266),276413,VADAKADU,110/22,NONGRID,6322,446,6,PUDUKOTTAI,Y
310,Point (78.99735226984968506 10.37973443578908039),276414,ALANGUDY,110/22,NONGRID,6301,446,6,PUDUKOTTAI,Y
311,Point (79.03353981859409316 10.43554570180268826),276415,MALAIYUR,110/22,NONGRID,6334,446,6,PUDUKOTTAI,Y
312,Point (77.61480302910790385 11.46554709558066598),267607,THALAVAIPETTAI,110/22,NON GRID,4116,436,4,GOBI,Y
313,Point (77.59925062523056738 11.56643295503946511),267605,ANTHIYUR SS,110/22,NON GRID,4106,436,4,GOBI,Y
314,Point (77.7415508 11.5743622),267606,LMHEP III,110/22,GENERATION,4107,436,4,GOBI,Y
315,Point (77.677430811871929 11.39784736866368675),267622,OLD SURIYAMPALAYAM SS,110/22,Non-Grid,4302,426,4,ERODE,Y
316,Point (77.5149164142245013 11.53492389289271536),267582,Athani SS,110/22,NON GRID,4136,436,4,GOBI,Y
317,Point (77.49811169095806918 11.47083182989301164),267583,KUGALUR SS,110/22,NON GRID,4105,436,4,GOBI,Y
318,Point (77.67717590361593238 11.59567042343893384),267593,POONACHI SS,110/22,NON GRID,4133,436,4,GOBI,Y
319,Point (77.69804038614805108 11.48089836640810901),267595,URACHIKOTTAI SS,110/22,NON GRID,4126,436,4,GOBI,Y
320,Point (78.94587483093772562 10.97234807180741534),276188,KALLAKUDI SS,110/22,NON-GRID,6634,442,6,TRICHY METRO,Y
321,Point (79.68454511607168911 11.70646030472028087),277195,VELLAKARAI,110/22,NON GRID,8161,418,2,CUDDALORE,Y
322,Point (79.6917991230586864 11.91505807858690069),277228,KANDAMANGALAM SS,110/22,NON GRID,8304,416,2,VILLUPURAM,Y
323,Point (79.46603039069260888 12.06816319740987176),277229,KANJANUR SS,110/22,GRID,8302,416,2,VILLUPURAM,Y
324,Point (79.63533847566493762 11.76516747127707596),277224,CHITHARASUR,110/22,NON GRID,8111,418,2,CUDDALORE,Y
325,Point (79.72152507013973377 11.76519426761200826),277171,NATHAPATTU,110/22,NON GRID,8102,418,2,CUDDALORE,Y
326,Point (79.73369554844988727 11.72786352325241666),277172,CAPPER HILLS,110/22,NON GRID,8113,418,2,CUDDALORE,Y
327,Point (79.55831213394171186 11.76194426286786765),277169,URBAN PANRUTI,110/22,NON GRID,8135,418,2,CUDDALORE,Y
328,Point (79.55495324635926124 11.78386967740889624),277170,RURAL PANRUTI,110/22,NON GRID,8101,418,2,CUDDALORE,Y
329,Point (79.75828117373943371 11.77077487749164675),277176,SEMMANDALAM,110/22,NON GRID,8153,418,2,CUDDALORE,Y
330,Point (79.70259900695253918 11.87004836979747324),277177,NALLATHUR,110/22,NON GRID,8136,418,2,CUDDALORE,Y
331,Point (79.60263510593334502 11.80689493802186973),277175,KEEZHKAVARAPATTU,110/22,NON GRID,8155,418,2,CUDDALORE,Y
332,Point (79.50987198089426045 11.81343469049319772),277180,ORAIYUR,110/22,NON GRID,8144,418,2,CUDDALORE,Y
333,Point (79.74076367948548238 11.65531916530117229),277178,SEMMANKUPPAM,110/22,NON GRID,8104,418,2,CUDDALORE,Y
334,Point (79.51961999236749534 11.65528390784238866),277179,KEEZHAKUPPAM,110/22,NON GRID,8140,418,2,CUDDALORE,Y
335,Point (78.99546139414974277 11.92038492074068223),277274,ARIYALUR SS,110/22,GRID,8401,417,2,KALLAKURICHI,Y
336,Point (78.89147872356211622 11.64905546282536797),277275,CHINNASALEM SS,110/22,NON GRID,8402,417,2,KALLAKURICHI,Y
337,Point (78.9420482631959004 11.81102200129792479),277272,ALATHUR SS,110/22,NON GRID,8418,417,2,KALLAKURICHI,Y
338,Point (79.42506400114677945 11.82290299376614939),277273,ARASUR SS,110/22,GRID,8400,417,2,KALLAKURICHI,Y
339,Point (78.91952037404301734 11.74614481162146618),277278,KALLAKURICHI SS,110/22,GRID,8404,417,2,KALLAKURICHI,Y
340,Point (79.31627952177812801 11.99839478982798013),277279,KARANAIPERICHANUR SS,110/22,GRID,8405,417,2,KALLAKURICHI,Y
341,Point (79.06827921703934692 12.02499294693446608),277276,DEVARADIYARKUPPAM SS,110/22,GRID,8417,417,2,KALLAKURICHI,Y
342,Point (78.82577597806432834 11.81377916714058252),277277,EDUTHAVOINATHAM SS,110/22,NON GRID,8403,417,2,KALLAKURICHI,Y
343,Point (78.88161600971042731 11.96353423180041098),277283,PUDUPATTU SS,110/22,NON GRID,8409,417,2,KALLAKURICHI,Y
344,Point (79.06170223107805839 11.67888882791640803),277280,NAGALUR SS,110/22,NON GRID,8406,417,2,KALLAKURICHI,Y
345,Point (78.8743567175352922 11.58041447469005369),277281,PETHASAMUDHRAM SS,110/22,NON GRID,8407,417,2,KALLAKURICHI,Y
346,Point (79.35074060016225417 11.84073461681966855),277286,THIRUVENNAINALLUR SS,110/22,GRID,8411,417,2,KALLAKURICHI,Y
347,Point (78.92731552513632209 11.86960297825693722),277284,SANKARAPURAM SS,110/22,GRID,8410,417,2,KALLAKURICHI,Y
348,Point (79.18617876076601192 11.95902433677204435),277285,TIRUKOILUR SS,110/22,GRID,8412,417,2,KALLAKURICHI,Y
349,Point (79.62268968937206637 11.82717407734685899),277239,SORNAVOOR SS,110/22,NON GRID,8353,416,2,VILLUPURAM,Y
350,Point (79.61275499936326128 11.99233383358123461),277231,MADHURAPAKKAM SS,110/22,NON GRID,8303,416,2,VILLUPURAM,Y
351,Point (79.78304902515058927 12.00124392438917376),277250,THIRUCHITRAMBALAM SS,110/22,NON GRID,8305,416,2,VILLUPURAM,Y
352,Point (79.49836455225025134 11.87965871804040319),277251,THIRUPACHANUR SS,110/22,NON GRID,8355,416,2,VILLUPURAM,Y
353,Point (79.54907291529812596 12.05698916154918443),277257,VIKRAVANDI SS,110/22,NON GRID,8326,416,2,VILLUPURAM,Y
354,Point (79.58561664563410432 11.91719113377513573),277255,VALAVANUR SS,110/22,NON GRID,8324,416,2,VILLUPURAM,Y
355,Point (79.72705810051351705 12.02532124332427799),277256,VANUR SS,110/22,NON GRID,8356,416,2,VILLUPURAM,Y
356,Point (79.48497674302396376 11.93977907217036893),277263,VILLUPURAM SS,110/22,GRID,8301,416,2,VILLUPURAM,Y
357,Point (78.85027420659122299 11.63677854417537283),277294,MOONGILPADY,110/22,NON GRID,8426,417,2,KALLAKURICHI,Y
358,Point (79.41668507172933289 11.76314867396584773),277288,THIRUNAVALUR SS,110/22,NON GRID,8419,417,2,KALLAKURICHI,Y
359,Point (79.07182695417343155 11.75073461031582767),277289,THIYAGADURGAM SS,110/22,NON GRID,8413,417,2,KALLAKURICHI,Y
360,Point (78.03368463359834095 11.4238027962544475),267643,PARUTHIPALLI SS,110/22,NON GRID,4519,437,4,NAMAKKAL,Y
361,Point (77.87713852301787654 11.38579371497744397),267644,THIRUCHENGODE SS,110/22,NON GRID,4506,437,4,NAMAKKAL,Y
362,Point (78.08474534867511352 11.31708439543080758),267641,MUSIRI SS,110/22,NON GRID,4526,437,4,NAMAKKAL,Y
363,Point (78.0412490 11.3047404),267642,ELANAGAR SS,110/22,NON GRID,4513,437,4,NAMAKKAL,Y
364,Point (78.04230225475596683 11.19493503870812035),267647,VILLIPALAYAM SS,110/22,NON GRID,4520,437,4,NAMAKKAL,N
365,Point (78.37844252722096883 11.47846018381763145),267648,METTALA SS,110/22,NON GRID,4523,437,4,NAMAKKAL,Y
366,Point (78.14329258129502875 11.53408392886377598),267651,MALLUR SS,110/22,NON GRID,4404,424,4,SALEM,N
367,Point (78.22884879125852819 11.27172327846921007),267649,SENDAMANGALAM SS,110/22,NON GRID,4522,437,4,NAMAKKAL,Y
368,Point (78.06310756225387593 11.54677783366514099),267650,VEERAPANDY SS,110/22,NON GRID,4427,424,4,SALEM,N
369,Point (77.84112012077184772 11.31216839920126205),267655,EMAPALLY SS,110/22,NON GRID,4527,437,4,NAMAKKAL,N
370,Point (77.81347265508111377 11.41836789423269316),267657,UPPUPALAYAM,110/22,NON GRID,4237,422,4,METTUR,Y
371,Point (77.78454048451919789 11.63431437799544277),267625,POOLAMPATTY,110/22,NON GRID,4224,422,4,METTUR,Y
372,Point (78.02592165796494328 11.49790802868366058),267628,MALLASAMUDRAM SS,110/22,NON GRID,4515,437,4,NAMAKKAL,N
373,Point (78.25539130405768162 11.34354859998118314),267631,KALAPPANAICKANPATTY S,110/22,NON GRID,4516,437,4,NAMAKKAL,Y
374,Point (78.30546948031488341 11.15602707414420713),267632,ERUMAPATTY SS,110/22,NON GRID,4512,437,4,NAMAKKAL,Y
375,Point (78.177061 11.320140),267630,PUDANSANTHAI SS,110/22,NON GRID,4509,437,4,NAMAKKAL,Y
376,Point (78.28651126741665678 11.46010314601723756),267635,NAMAGIRIPET SS,110/22,NON GRID,4514,437,4,NAMAKKAL,Y
377,Point (78.17023553507000599 11.4543343017011825),267636,RASIPURAM SS,110/22,NON GRID,4518,437,4,NAMAKKAL,Y
378,Point (78.15743399117040724 11.21915860566223166),267633,NAMAKKAL SS,110/22,NON GRID,4510,437,4,NAMAKKAL,Y
379,Point (78.2239819284510105 11.13354578161655972),267634,VALAYAPATTI,110/22,NON GRID,4505,437,4,NAMAKKAL,Y
380,Point (77.94972376726477137 11.25787963301183225),267639,NALLUR GRID SS,110/22,GRID,4511,437,4,NAMAKKAL,Y
381,Point (77.95514277068686226 11.35386887104857401),267640,UNJANAI SS,110/22,NON GRID,4504,437,4,NAMAKKAL,Y
382,Point (77.86619628768417556 11.24386318747578528),267637,SOLASIRAMANI SS,110/22,NON GRID,4524,437,4,NAMAKKAL,Y
383,Point (78.10614397414191501 11.13122684275557006),267638,S VALAVANTHI SS(GRID),110/22,GRID,4507,437,4,NAMAKKAL,N
384,Point (77.77587128895689261 11.39856932725411198),267673,VEPPADAI,110/22,NON GRID,4231,422,4,METTUR,Y
385,Point (77.89493140527743265 11.49536981187408813),267674,IYVELI,110/22,NON GRID,4232,422,4,METTUR,N
386,Point (77.96203998959776982 11.70091518148547927),267671,THARAMANGALAM,110/22,NON GRID,4227,422,4,METTUR,Y
387,Point (77.71558370271723959 11.38399033394318494),267672,SAMAYASINGILI,110/22,NON GRID,4228,422,4,METTUR,Y
388,Point (78.0404038750426281 11.93118889861851528),267676,THOPPUR,110/22,NON GRID,4234,422,4,METTUR,Y
389,,267677,PALLAKKAPALAYAM,110/22,NIN GRID,4236,422,4,METTUR,Y
390,Point (77.75584803148105095 11.52899377703013606),267675,THEVOOR,110/22,NON GRID,4233,422,4,METTUR,N
391,Point (77.81475259225054231 11.37655322983702355),267661,ANAGUR,110/22,NON GRID,4238,422,4,METTUR,N
392,Point (78.06072077677789878 11.80642879826215363),267663,THUMBIPADY,110/22,NON GRID,4203,422,4,METTUR,Y
393,Point (77.85922500006785185 11.58491440868608358),267662,EDAPPADY,110/22,NON GRID,4202,422,4,METTUR,Y
394,Point (77.82711364731984816 11.44486422826474303),267665,SANKARI,110/22,GRID,4206,422,4,METTUR,Y
395,Point (77.78530692062172136 11.36770656648773681),267668,PALLIPALAYAM,110/22,NON GRID,4208,422,4,METTUR,Y
396,Point (77.71181850296822802 11.44488202236792596),267666,KOMARAPALAYAM,110/22,NON GRID,4207,422,4,METTUR,Y
397,Point (77.93303110220577423 11.62025901384592608),267667,ETTIKUTTAIMEDU,110/22,NON GRID,4235,422,4,METTUR,Y
398,Point (78.41244699966550513 11.72973897590994774),267709,BELUR,110/22,NON GRID,4429,424,4,SALEM,N
399,Point (78.20645790004024889 11.6615068044882122),267706,UDAYAPATTY SS,110/22,NON GRID,4414,424,4,SALEM,Y
400,Point (78.13210493116081068 11.6343735935802961),267708,Salem,230/110,NON GRID,4415,424,4,SALEM,Y
401,Point (78.27221655740275708 11.69079569729118262),267717,MINNAMPALLI SS,110/22,NON GRID,4430,424,4,SALEM,N
402,Point (77.711227118210914 11.31656447518906461),267718,KASIPALAYAM SS,110/22,Non-Grid,4349,426,4,ERODE,Y
403,Point (77.71684135680979466 11.337380512359017),267719,ERODE SS,110/22,Grid,4301,426,4,ERODE,Y
404,Point (77.64739592942112267 11.31575645302326727),267720,METTUKADAI SS,110/22,Non-Grid,4336,426,4,ERODE,Y
405,Point (78.10146549032319285 11.65448640950688031),267688,KANDAMPATTY SS,110/22,NON GRID,4417,424,4,SALEM,Y
406,Point (78.56653677723973317 11.59383603921239647),267691,ATTUR SS,110/22,NON GRID,4410,424,4,SALEM,Y
407,Point (78.10583128259872865 11.70705809168254596),267686,KARUPPUR SS,110/22,NON GRID,4402,424,4,SALEM,Y
408,Point (78.01085947808930143 11.57699708670818239),267687,VEMPADIDHALAM SS,110/22,NON GRID,4405,424,4,SALEM,Y
409,Point (78.16747176010171927 11.64262631671239845),267696,KITCHIPALAYAM SS,110/22,NON GRID,4401,424,4,SALEM,Y
410,Point (78.4764117793603333 11.57627709538970251),267697,MALLIYAKARAI SS,110/22,NON GRID,4426,424,4,SALEM,Y
411,Point (78.58325170496542 11.46417926526745568),267692,GUDAMALAI SS,110/22,NON GRID,4425,424,4,SALEM,Y
412,Point (78.15911749091327465 11.6955675987583998),267693,HASTHAMPATTY SS,110/22,NON GRID,4419,424,4,SALEM,Y
413,Point (78.46000217224623441 11.64794169732979157),267700,PUTHARAGOUNDA PALAYAM SS,110/22,NON GRID,4422,424,4,SALEM,Y
414,Point (78.4082142 11.6377767),267701,SINGAPURAM SS,110/22,NON GRID,4408,424,4,SALEM,Y
415,Point (79.2336436208339876 12.08588399655464229),277109,VETTAVALAM,110/22,NON GRID,8217,414,2,THIRUVANNAMALAI,Y
416,Point (78.32455094804468843 11.66567632231832263),267699,METTUPATTY SS,110/22,NON GRID,4403,424,4,SALEM,Y
417,Point (78.69190895570524447 11.49548782719428885),267704,THEDAVUR SS,110/22,NON GRID,4413,424,4,SALEM,Y
418,Point (78.52441853864873167 11.78789794648916534),267705,THUMBAL SS,110/22,NON GRID,4409,424,4,SALEM,Y
419,Point (78.735903844155402 11.58409952230789486),267702,THALAIVASAL SS,110/22,NON GRID,4412,424,4,SALEM,Y
420,Point (78.48354758142208709 11.45449186724901303),267703,THAMMAMPATTY SS,110/22,NON GRID,4411,424,4,SALEM,Y
421,Point (79.17732304409402389 12.15057496968034023),277145,RAJANTHANGAL,110/22,NON GRID,8256,414,2,THIRUVANNAMALAI,Y
422,Point (77.75688482804845592 11.33061981025156761),267753,VENDIPALAYAM SS,110/22,Grid,4348,426,4,ERODE,Y
423,Point (77.82823388921703156 11.22618826676703208),267759,GANAPATHYPALAYAM SS,110/22,Non-Grid,4359,426,4,ERODE,N
424,Point (77.62894529344333705 11.36634325354526176),267725,GANGAPURAM SS,110/22,Non-Grid,4356,426,4,ERODE,N
425,Point (77.73993100716998583 11.26545634018889608),267743,KASPAPETTAI SS,110/22,Non-Grid,4307,426,4,ERODE,Y
426,Point (77.87300545550034769 10.28440324750520318),251187,SEMBATTY SS,110/22,NON GRID,3133,450,5,DINDIGUL,Y
427,Point (78.09356377362072976 10.44185267065321554),251196,VADAMADURAI,110/22,NON-GRID,3119,450,5,DINDIGUL,Y
428,Point (77.99628750098193564 10.33938004700456048),251199,DINDUKAL,110/22,NON GRID,3148,450,5,DINDIGUL,Y
429,Point (78.1297103087696172 10.71785446001915609),251197,PALAYAM,110/22,NON-GRID,3101,450,5,DINDIGUL,Y
430,Point (78.05549283840002772 10.50621851778133653),251198,ERIYODU,110/22,NON-GRID,3127,450,5,DINDIGUL,Y
