S.NO,Tower  No      ,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,49,,DB,T,24,48-49,305,304.8797496,1.66,354,"2⁰28'24"" RT",11.65931,78.26847,GOOD,GOOD,"LT LINE CROSSING  , 22KV LINE CROSSING ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26847 11.65931, 78.27116 11.65934)"
58,50,,DA,S,26,49-50,295,293.5339239,4.35,362,,11.65934,78.27116,GOOD,GOOD,,"SAND ROAD CROSSING,TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27116 11.65934, 78.27404 11.65935)"
59,51,,DA,S,26,50-51,314,314.2479145,5.15,3556,,11.65935,78.27404,GOOD,GOOD,"LT LINE CROSSING  , 22KV LINE CROSSING ",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27404 11.65935, 78.276929 11.659408)"
60,52 TAPPING POINT,2W,DB,T,24,51-52,329,315.2925926,8.85,349,"0⁰57'39"" RT",11.659408,78.276929,GOOD,GOOD,LT LINE CROSSING  ,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.276929 11.659408, 78.28033 11.65942)"
61,53,,DA,S,26,52-53,356,371.0944246,1.14,354,,11.65942,78.28033,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28033 11.65942, 78.28291 11.65944)"
62,54,,DA,S,26,53-54,273,281.5185953,5.07,361,,11.65944,78.28291,GOOD,GOOD,LT LINE CROSSING  ,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28291 11.65944, 78.28574 11.65946)"
63,55,,DA,S,26,54-55,309,308.7952264,2.5,358,,11.65946,78.28574,GOOD,GOOD,LT LINE CROSSING  ,,,HUTSUN MILK FACTORY BOUNDARY WALL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28574 11.65946, 78.28914 11.65951)"
64,56,,DA,S,26,55-56,374,371.0215121,3.98,361,,11.65951,78.28914,GOOD,GOOD,LT LINE CROSSING 2,"SAND ROAD CROSSING,TAR ROAD CROSSING",,HUTSUN MILK FACTORY INSIDE THE FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28914 11.65951, 78.29195 11.6595)"
65,57,,DA,S,26,56-57,307,306.6054629,1.44,363,,11.6595,78.29195,GOOD,GOOD,"LT LINE CROSSING  , 22KV LINE CROSSING ",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29195 11.6595, 78.29533 11.65955)"
66,58,,DA,S,26,57-58,368,368.8376436,13.26,374,,11.65955,78.29533,GOOD,GOOD,LT LINE CROSSING  ,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29533 11.65955, 78.29832 11.65957)"
67,59,,DA,S,26,58-59,326,326.2493603,4.3,379,,11.65957,78.29832,GOOD,GOOD,LT LINE CROSSING  ,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29832 11.65957, 78.30153 11.6596)"
68,60,,DA,S,26,59-60,352,350.2611137,1.76,387,,11.6596,78.30153,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30153 11.6596, 78.3045 11.65963)"
69,61,,DA,S,26,60-61,325,324.074986,1.16,389,,11.65963,78.3045,GOOD,GOOD,,,,"SMALL HILLS AREA,POLITECHNIC COLLEGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3045 11.65963, 78.3073 11.65964)"
70,62 TAPPING POINT,3W,DC,T,26,61-62,3055,305.5104827,1.3,405,"18⁰28'28"" RT",11.65964,78.3073,GOOD,GOOD,LT LINE CROSSING 2 ,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3073 11.65964, 78.31065 11.65855)"
71,63,,DA,S,26,62-63,383,384.9179518,2.08,378,,11.65855,78.31065,GOOD,GOOD,"LT LINE CROSSING 2  , 22KV LINE CROSSING 2",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31065 11.65855, 78.31358 11.65758)"
72,64,,DA,S,26,63-64,338,337.2423551,1.22,371,,11.65758,78.31358,GOOD,GOOD,LT LINE CROSSING 2 ,TAR ROAD CROSSING,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31358 11.65758, 78.31673 11.65655)"
73,65,,DA,S,26,64-65,361,362.1148462,10.18,366,,11.65655,78.31673,GOOD,GOOD,LT LINE CROSSING  ,SAND ROAD CROSSING,SMALL HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31673 11.65655, 78.31974 11.65557)"
74,66,,DA,S,26,65-66,368,345.8742647,1.57,381,,11.65557,78.31974,GOOD,GOOD,LT LINE CROSSING  ,ROAD CROSSING,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31974 11.65557, 78.32225 11.65475)"
75,67,,DA,S,26,66-67,289,288.517311,1.89,375,,11.65475,78.32225,GOOD,GOOD,LT LINE CROSSING  ,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32225 11.65475, 78.32471 11.65394)"
76,68,,DA,S,26,67-68,281,282.9915218,2.38,370,,11.65394,78.32471,GOOD,GOOD,LT LINE CROSSING  ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32471 11.65394, 78.32726 11.65312)"
77,69,,DA,S,26,68-69,293,292.6637425,3.12,360,,11.65312,78.32726,GOOD,GOOD,LT LINE CROSSING 3 ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32726 11.65312, 78.32997 11.65222)"
78,70,,DA,S,26,69-70,312,312.0217287,4.34,357,,11.65222,78.32997,GOOD,GOOD,LT LINE CROSSING 3 ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32997 11.65222, 78.33284 11.65129)"
79,71,2W,DB,T,24,70-71,328,329.63518,1.89,354,"3⁰52'17"" LT",11.65129,78.33284,GOOD,GOOD,LT LINE CROSSING 3 , ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33284 11.65129, 78.3357 11.65057)"
80,72,,DA,S,26,71-72,324,322.074192,3.78,356,,11.65057,78.3357,GOOD,GOOD,,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3357 11.65057, 78.33877 11.64979)"
81,73,,DA,S,26,72-73,347,345.9192819,14.02,362,,11.64979,78.33877,GOOD,GOOD,LT LINE CROSSING  ,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33877 11.64979, 78.340916 11.649248)"
82,74,,DA,S,26,73-74,245,241.7163055,4.34,352,,11.649248,78.340916,GOOD,GOOD,,TAR ROAD CROSSING,SMALL HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.340916 11.649248, 78.34303 11.64872)"
83,75,,DA,S,26,74-75,233,237.9502517,1.29,354,,11.64872,78.34303,GOOD,GOOD,"LT LINE CROSSING  , 22KV LINE CROSSING ",,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34303 11.64872, 78.34621 11.64792)"
