S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (mtrs),Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
97,T.NO-118,,S,DA,26,119-118,362.9448994,9.3,288,,11.4817,77.9558,RUSTED,GOOD,"LT-1,11KV-1","TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9558 11.4817, 77.9536 11.4799)"
98,T.NO-117,,S,DA,26,118-117,306.4147516,6.8,299,,11.4799,77.9536,RUSTED,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9536 11.4799, 77.9514 11.478)"
99,T.NO-116,,S,DA,26,117-116,315.8259014,6.2,306,,11.478,77.9514,RUSTED,GOOD,,,ROCKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9514 11.478, 77.9501 11.4768)"
100,T.NO-115,2W,T,DD,28,116-115,203.2166332,8.56,299,"29°10'21""",11.4768,77.9501,RUSTED,GOOD,,"MUD-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9501 11.4768, 77.9472 11.4762)"
101,T.NO-114,,S,DA,26,115-114,324.0987504,7.2,300,,11.4762,77.9472,RUSTED,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9472 11.4762, 77.944 11.4756)"
102,T.NO-113,,S,DA,26,114-113,347.7139629,8.1,295,,11.4756,77.944,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.944 11.4756, 77.9415 11.4751)"
103,T.NO-112,,S,DA,26,113-112,285.5906161,6.8,291,,11.4751,77.9415,RUSTED,GOOD,LT-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9415 11.4751, 77.9382 11.4744)"
104,T.NO-111,,S,DA,26,112-111,364.0219774,7.6,288,,11.4744,77.9382,RUSTED,GOOD,LT-1,"TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9382 11.4744, 77.9355 11.4739)"
105,T.NO-110,,S,DA,26,111-110,301.8625515,6.8,285,,11.4739,77.9355,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9355 11.4739, 77.9339 11.4736)"
106,T.NO-109,,T,DD,30,110-109,173.3666635,6.9,284,,11.4736,77.9339,RUSTED,GOOD,,"MUD-1,ELECTRIC RW-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9339 11.4736, 77.9327 11.4734)"
107,T.NO-109 A,2W,T,DD,30,109-109A,141.5980226,8.5,277,,11.4734,77.9327,RUSTED,GOOD,230KV-1 XING ABOVE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9327 11.4734, 77.9296 11.4728)"
108,T.NO-108,,S,DA,26,109A-108,336.1577011,7.3,273,,11.4728,77.9296,RUSTED,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9296 11.4728, 77.9268 11.4722)"
109,T.NO-107,,S,DA,26,108-107,315.2031091,6.7,270,,11.4722,77.9268,RUSTED,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9268 11.4722, 77.9242 11.4717)"
110,T.NO-106,,S,DA,26,107-106,294.8101084,8.1,271,,11.4717,77.9242,RUSTED,GOOD,LT-1, ,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9242 11.4717, 77.9212 11.4711)"
111,T.NO-105,,S,DA,26,106-105,332.6138903,6.9,274,,11.4711,77.9212,RUSTED,GOOD,"LT-1,TAR-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9212 11.4711, 77.9183 11.4705)"
112,T.NO-104,,S,DA,26,105-104,316.1803283,5.9,273,,11.4705,77.9183,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9183 11.4705, 77.9158 11.47)"
113,T.NO-103,,S,DA,26,104-103,283.9859151,6.4,276,,11.47,77.9158,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9158 11.47, 77.913 11.4695)"
114,T.NO-102,,S,DA,26,103-102,309.6853242,8.2,280,,11.4695,77.913,RUSTED,GOOD,11KV-1,"MUD-1,POND-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.913 11.4695, 77.9102 11.4689)"
115,T.NO-101,,S,DA,26,102-101,315.4171841,9.2,286,,11.4689,77.9102,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9102 11.4689, 77.9075 11.4684)"
116,T.NO-100,,S,DA,26,101-100,299.2824753,8.7,292,,11.4684,77.9075,RUSTED,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9075 11.4684, 77.9047 11.4678)"
117,T.NO-99,,S,DA,28,100-99,310.6638054,6.8,295,,11.4678,77.9047,RUSTED,GOOD,"LT-2,400KV-1 XING ABOVE",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9047 11.4678, 77.902 11.4673)"
118,T.NO-98,,S,DA,26,99-98,298.5096313,6.25,301,,11.4673,77.902,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.902 11.4673, 77.8993 11.4667)"
119,T.NO-97,,S,DA,26,98-97,303.0528007,6.8,300,,11.4667,77.8993,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8993 11.4667, 77.8972 11.4663)"
120,T.NO-96,2W,T,DD,28,97-96,234.5548976,6.4,299,"39°57'51""",11.4663,77.8972,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8972 11.4663, 77.8955 11.4672)"
121,T.NO-95,,S,DA,26,96-95,208.540164,5.9,294,,11.4672,77.8955,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8955 11.4672, 77.8939 11.4681)"
122,T.NO-94,,S,DA,26,95-94,207.1183237,5.7,288,,11.4681,77.8939,RUSTED,GOOD,LT-1,TAR-1,ROCKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8939 11.4681, 77.8907 11.4699)"
123,T.NO-93,,T,DD,28,94-93,398.151981,8.2,289,,11.4699,77.8907,RUSTED,GOOD,,"TAR-1,ELECTRIC RW-2",PLAIN,JOINT BOX AVAILABLE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8907 11.4699, 77.889 11.4709)"
124,T.NO-92,,T,DD,28,93-92,213.4900466,7.6,285,,11.4709,77.889,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.889 11.4709, 77.8865 11.4723)"
125,T.NO-91,,S,DA,26,92-91,312.4627978,6.2,297,,11.4723,77.8865,RUSTED,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8865 11.4723, 77.8837 11.4739)"
126,T.NO-90,,S,DA,26,91-90,351.4114398,6.9,302,,11.4739,77.8837,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8837 11.4739, 77.8814 11.4751)"
127,T.NO-89,,S,DA,26,90-89,288.669361,5.9,301,,11.4751,77.8814,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8814 11.4751, 77.879 11.4765)"
128,T.NO-88,,T,DD,28,89-88,304.5077996,8.1,302,"60°36'47""",11.4765,77.879,RUSTED,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.879 11.4765, 77.8762 11.4749)"
129,T.NO-87,,S,DA,26,88-87,356.2035935,5.9,302,,11.4749,77.8762,RUSTED,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8762 11.4749, 77.874 11.4736)"
130,T.NO-86,2W,T,DD,28,87-86,279.5782538,5.7,302,,11.4736,77.874,RUSTED,GOOD,LT-1,TAR-1,PLAIN,JOINT BOX AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.874 11.4736, 77.8715 11.4722)"
131,T.NO-85,,S,DA,26,86-85,315.7293144,5.3,297,,11.4722,77.8715,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8715 11.4722, 77.8691 11.4708)"
132,T.NO-84,,S,DA,26,85-84,302.1853736,6.4,302,,11.4708,77.8691,RUSTED,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8691 11.4708, 77.8666 11.4694)"
133,T.NO-83,,S,DA,26,84-83,311.2699793,8.2,303,,11.4694,77.8666,RUSTED,GOOD,11KV-1,"TAR-2,MUD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8666 11.4694, 77.864 11.4679)"
134,T.NO-82,,S,DA,26,83-82,337.17058,6.8,301,,11.4679,77.864,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.864 11.4679, 77.8612 11.4663)"
135,T.NO-81,,S,DA,26,82-81,345.0797009,9.8,301,,11.4663,77.8612,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8612 11.4663, 77.8586 11.4648)"
136,T.NO-80,,S,DA,26,81-80,328.7628324,7.5,296,,11.4648,77.8586,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8586 11.4648, 77.8564 11.4636)"
137,T.NO-79,,S,DA,26,80-79,274.7544358,8.1,300,,11.4636,77.8564,RUSTED,GOOD,"LT-1,11KV-1",MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8564 11.4636, 77.8544 11.4624)"
138,T.NO-78,,S,DA,26,79-78,257.5965838,8.3,297,,11.4624,77.8544,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8544 11.4624, 77.8515 11.4608)"
139,T.NO-77,,S,DA,26,78-77,360.8462276,9.5,283,,11.4608,77.8515,RUSTED,GOOD,"LT-1,11KV-1","MUD-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8515 11.4608, 77.8494 11.4596)"
140,T.NO-76,,S,DA,26,77-76,272.5233935,8.22,273,,11.4596,77.8494,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8494 11.4596, 77.8469 11.4581)"
141,T.NO-75,,S,DA,26,76-75,314.0143309,5.9,273,,11.4581,77.8469,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8469 11.4581, 77.8443 11.4566)"
142,T.NO-74,2W,S,DA,26,75-74,329.2779981,8.5,270,,11.4566,77.8443,RUSTED,GOOD,LT-2,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8443 11.4566, 77.8419 11.4552)"
143,T.NO-73,,S,DA,26,74-73,308.0162333,7.8,263,,11.4552,77.8419,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8419 11.4552, 77.8391 11.4536)"
144,T.NO-72,,S,DA,26,73-72,350.5538475,6.5,256,,11.4536,77.8391,RUSTED,GOOD,11KV-1,SH-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8391 11.4536, 77.8364 11.4521)"
145,T.NO-71,,S,DA,26,72-71,332.710084,8.9,252,,11.4521,77.8364,RUSTED,GOOD,"11KV-1,LT-1","TAR-1,MUD-2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8364 11.4521, 77.8338 11.4506)"
146,T.NO-70,,S,DA,26,71-70,339.4009428,6.4,249,,11.4506,77.8338,RUSTED,GOOD,"11KV-1,LT-1","TAR-1,MUD-2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8338 11.4506, 77.832 11.4496)"
147,T.NO-69,,S,DA,26,70-69,215.7452201,8.2,245,,11.4496,77.832,RUSTED,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832 11.4496, 77.8306 11.4487)"
148,T.NO-68,,T,DD,28,69-68,186.1021225,2.9,243,"8°46'33""",11.4487,77.8306,GOOD,GOOD,LT-1,"TAR-1,RAILWAY-1(TO COMPANY)",PLAIN,"FROM T.NO-68 DC TOWER STARTS ,CONNECTS TO T.NO-68A AND T.NO-67A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8306 11.4487, 77.8291 11.4474)"
149,T.NO-68 A,,T,DD,28,68-68A,216.6010157,2.4,242,"16°48'14""",11.4474,77.8291,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8291 11.4474, 77.8288 11.4469)"
150,T.NO-67 A,,T,DC,26,68A-67A,66.37017402,1.9,241,"14°56'0""",11.4469,77.8288,GOOD,GOOD,LT-1,,PLAIN,"NEED THREE WAY JUNCTION BOX ,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8288 11.4469, 77.8274 11.4455)"
151,T.NO-67,,T,DD,28,67A-67,216.3931607,2.8,241,"57°41'45""",11.4455,77.8274,GOOD,GOOD,,,PLAIN,"NEED THREE WAY JUNCTION,ONE EARTH WIRE CONNECTS TO T.NO-66 AND OTHER EARTH WIRE TO NEAREST TOWER WHICH IS INSIDE SS ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8274 11.4455, 77.8274 11.4451)"
152,T.NO-66,,T,DD,28,67-66,48.25971405,1.7,242,"62°48'9""",11.4451,77.8274,GOOD,GOOD,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8274 11.4451, 77.8273 11.4452)"
153,GANTRY SANKAGIRI 110KV SS,3W,GT,GT,15,66-GT,19.31320792,,241,,11.4452,77.8273,,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark : 230kV Salem Gnatry to T No 88 Is Under Salem/Lines Juridiction (35.830Km) & T No 88 to 110kV Sankagiri Is Under KR Thoppur Juridiction (6.684Km).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
