Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-28,,DA,S,26,27-28,256.3825267,3.1,344,,77.30241667,10.53408333,GOOD,GOOD,NO,22KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30241666666666 10.534083333333333, 77.3025 10.531666666666668)"
T.NO-29,,DC,T,26,28-29,266.2273465,2.38,349,"22°7'19.39""",77.3025,10.53166667,GOOD,GOOD,NO,"LT, 2nos 22KV",2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3025 10.531666666666668, 77.30188888888888 10.530027777777779)"
T.NO-30,,DD,T,28,29-30,192.3174459,2.17,349,"41°55'11.35""",77.30188889,10.53002778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30188888888888 10.530027777777779, 77.29941666666666 10.52875)"
T.NO-31,,DD,T,28,30-31,305.5912302,2.3,354,"40°19'15.63""",77.29941667,10.52875,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29941666666666 10.52875, 77.29852777777778 10.526555555555557)"
T.NO-32,,DA,S,26,31-32,260.9099462,2.17,357,,77.29852778,10.52655556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29852777777778 10.526555555555557, 77.29752777777777 10.524166666666668)"
T.NO-33,,DA,S,26,32-33,287.4665198,1.72,356,,77.29752778,10.52416667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29752777777777 10.524166666666668, 77.29652777777778 10.521666666666668)"
T.NO-34,,DA,S,26,33-34,295.6552046,2.45,361,,77.29652778,10.52166667,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29652777777778 10.521666666666668, 77.29555555555555 10.519333333333334)"
T.NO-35,2W,DB,T,24,34-35,280.4014979,1.47,363,"2°45'4.11""",77.29555556,10.51933333,GOOD,GOOD,NO,,"CANAL, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29555555555555 10.519333333333334, 77.29472222222222 10.517027777777779)"
T.NO-36,,DA,S,26,35-36,270.0851718,1.12,363,,77.29472222,10.51702778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29472222222222 10.517027777777779, 77.29388888888889 10.51475)"
T.NO-37,,DA,S,26,36-37,267.9272289,2.71,364,,77.29388889,10.51475,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29388888888889 10.51475, 77.2931111111111 10.5125)"
T.NO-38,,DA,S,26,37-38,264.6828291,1.15,367,,77.29311111,10.5125,GOOD,GOOD,NO,22KV,"MUD ROAD, CANAL",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2931111111111 10.5125, 77.29225 10.510222222222222)"
T.NO-39,,DB,T,24,38-39,266.9868911,2.61,370,"0°12'50.49""",77.29225,10.51022222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29225 10.510222222222222, 77.29127777777778 10.50763888888889)"
T.NO-40,,DD,T,28,39-40,307.8262497,2.86,363,"49°40'5.22""",77.29127778,10.50763889,GOOD,GOOD,NO,2nos 22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29127777777778 10.50763888888889, 77.29241666666667 10.505583333333334)"
