S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,59,A,S,26,60-59,299.381150376416,5.88,444,,11.49375,78.36408,GOOD,GOOD,LT LINE -1,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36408 11.49375, 78.36626 11.49179)"
33,58,A,S,26,59-58,322.03325512907,5.09,447,,11.49179,78.36626,GOOD,GOOD,LT LINE -2,,ZIG-ZAG LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36626 11.49179, 78.36819 11.49002)"
34,57,A,S,26,58-57,287.710201866623,2.34,454,,11.49002,78.36819,GOOD,GOOD,"LT LINE -3,22  KV LINE -2",TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36819 11.49002, 78.37032 11.48804)"
35,56,C,T,26,57-56,319.53601291902,1.82,456,"17⁰1'3"" LT",11.48804,78.37032,GOOD,GOOD,LT LINE -1,TAR ROAD CROSSING,ZIG-ZAG LAND,RESIDENCE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37032 11.48804, 78.37227 11.48709)"
36,55,A,S,26,56-55,237.437809962146,2.97,442,,11.48709,78.37227,GOOD,GOOD,"LT LINE -2,22 KV LINE 1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37227 11.48709, 78.37465 11.48585)"
37,54,A,S,26,55-54,293.851588775619,1.06,444,,11.48585,78.37465,GOOD,GOOD,"LT LINE -1,22 KV LINE 1",SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37465 11.48585, 78.37711 11.48464)"
38,53,B,T,24,54-53,300.10561329193,1.46,446,"11⁰58'23"" RT",11.48464,78.37711,GOOD,GOOD,,SAND ROAD CROSSING,,TOWER IN HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37711 11.48464, 78.37873 11.48337)"
39,52,B,T,24,53-52,225.919002282796,4.13,428,"6⁰44'38"" LT",11.48337,78.37873,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37873 11.48337, 78.38073 11.48215)"
40,1 LILO POINT,D,T,28,52-1 LILO,256.728491399028,9.28,425,"77⁰56'46"" RT",11.48215,78.38073,GOOD,GOOD,"LT LINE 2,22KV LINE-1","SAND ROAD CROSSING, TAR ROAD CROSSING",,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38073 11.48215, 78.38007 11.48033)"
41,2,B,T,24,1 LILO-2,213.946721711443,1.92,418,"2⁰43'36"" LT",11.48033,78.38007,GOOD,GOOD,LT LINE 1,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38007 11.48033, 78.37973 11.47923)"
42,3,D,T,28,2-3,127.286966954033,3.95,418,"65⁰36'39"" RT",11.47923,78.37973,GOOD,GOOD,22 KV LINE -1 ,"TAR ROAD CROSSING,WIRE CABLE CROSSING",,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37973 11.47923, 78.37872 11.4791)"
43,4,D,T,28,3-4,111.200616928549,2.39,430,"51⁰56'53"" LT",11.4791,78.37872,GOOD,GOOD,,,,S.S INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37872 11.4791, 78.3786 11.4789)"
44,METTALA GANTRY,GANTRY,T,20,4-GANTRY,25.7233108577377,,431,,11.4789,78.3786,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAL SPAN LENGTH ,,,,,,=SUM(G7:G67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
