S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,60,,Suspension,DA+0,26,63-64,295,2.1,335,,11.27745278,76.91741667,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91741666666667 11.277452777777778, 76.91546111111111 11.276680555555556)"
62,61,2W,Tension,DB+0,24,64-65,235,2.5,346, 3°8’7.95”RT,11.27668056,76.91546111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91546111111111 11.276680555555556, 76.91325 11.275952777777778)"
63,62,,Suspension,DA+0,26,65-66,257,2,355,,11.27595278,76.91325,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91325 11.275952777777778, 76.91078055555556 11.275136111111111)"
64,63,,Suspension,DA+0,26,66-67,284,8.5,359,,11.27513611,76.91078056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91078055555556 11.275136111111111, 76.90803611111112 11.274152777777779)"
65,64,,Suspension,DA+0,26,67-68,327,2,362,,11.27415278,76.90803611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90803611111112 11.274152777777779, 76.9049888888889 11.273150000000001)"
66,65,,Suspension,DA+0,26,68-69,354,3,364,,11.27315,76.90498889,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9049888888889 11.273150000000001, 76.90288611111112 11.272430555555557)"
67,66,,Suspension,DA+0,26,69-70,248,4,364,,11.27243056,76.90288611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90288611111112 11.272430555555557, 76.89998611111112 11.271500000000001)"
68,67,,Tension,DD+0,28,70-71,341,5.5,366, 39°45’58.16”RT,11.2715,76.89998611,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89998611111112 11.271500000000001, 76.89776666666667 11.272319444444445)"
69,68,,Suspension,DA+0,26,71-72-LILO-THUDIYALUR-PYKRA,260,2.2,359,,11.27231944,76.89776667,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89776666666667 11.272319444444445, 76.89561111111112 11.273219444444445)"
70,69,,Suspension,DA+0,26,72-LILO-THUDIYALUR-PYKRA-1,261,1.8,360,,11.27321944,76.89561111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89561111111112 11.273219444444445, 76.89333611111111 11.27406388888889)"
