S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
44,43,DC,26,42-43,,313.5577478180942,0.87,704,"26°47'09""(LT)",12.6548,78.00938,GOOD,GOOD,,"TOWER IN SMALL HILLS, APPARTMENT AREA, PIT CROSSING",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00938 12.6548, 78.01191 12.6545)"
45,44,DA,26,43-44,,277.08805383774256,0.79,702,,12.6545,78.01191,GOOD,GOOD,11KV-1,"HILLS AREA, TAR ROAD CROSSING(SHOOLAGIRI TO RAYAKOTTAI)",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01191 12.6545, 78.01437 12.65419)"
46,45,DA,26,44-45,,269.6717457659037,1.32,691,,12.65419,78.01437,GOOD,GOOD,LT-3,"SAND ROAD CROSSING, HILLS AREA",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01437 12.65419, 78.01704 12.65382)"
47,46,DA,26,45-46,,293.18803395849676,1.05,702,,12.65382,78.01704,GOOD,GOOD,,"TOWER IN SMALL HILLS, HILLS AREA",FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01704 12.65382, 78.01882 12.65359)"
48,47,DB,24,46-47,,195.2092113924879,0.92,711,"08°54'59""(RT)",12.65359,78.01882,GOOD,GOOD,,"HILLS AREA, PIT AREA",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01882 12.65359, 78.02124 12.65289)"
49,48,DA,26,47-48,,274.30684109164065,1.21,695,,12.65289,78.02124,GOOD,GOOD,LT-1,"TOWER IN PIT LINE GOING DOWN PLACE,SAND ROAD CROSSING,TOWER IN MANGO FARM",FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02124 12.65289, 78.02327 12.65234)"
50,49,DA,26,48-49,,228.97094391334844,0.96,684,,12.65234,78.02327,GOOD,GOOD,"LT-2,11KV-2","TAR ROAD CROSSING,CANAL CROSSING, HILLS AREA,MANGO FARM INSIDE TOWER",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02327 12.65234, 78.02544 12.65169)"
51,50,DA,26,49-50,,246.679037194846,6.38,677,,12.65169,78.02544,GOOD,GOOD,"765KV DPR TO TKR  LINE CROSSING, HIGH DISTANCE: 5M( T.173TO T.172)",HILLS AREA,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02544 12.65169, 78.02781 12.65103)"
52,51,DA,26,50-51,,267.8543720617468,0.31,680,,12.65103,78.02781,GOOD,GOOD,11KV-1,"SAND ROAD CROSSING,HILLS AREA,GRANITE ZONE INDIA COMPANY INSIDE TOWER",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02781 12.65103, 78.03019 12.65034)"
53,52,DA,26,51-52,,269.82239188290725,0.54,676,,12.65034,78.03019,GOOD,GOOD,"LT LINE,11KV LINE","TAR ROAD CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03019 12.65034, 78.03261 12.64969)"
