S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
79,T.NO 77,S,SA,26,78-77,328.34280866192273,3.4,398,,77.07025,11.20211111111111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07025 11.20211111111111, 77.06769444444444 11.203333333333333)",,,,,,,,,,,,,
80,T.NO 76,T,SD,28,77-76,310.8858311341963,5.5,399,"53°21'41""",77.06769444444444,11.203333333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06769444444444 11.203333333333333, 77.06725 11.205638888888888)",,,,,,,,,,,,,
81,T.NO 75,S,SA,26,76-75,260.049995193232,2.11,406,,77.06725,11.205638888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06725 11.205638888888888, 77.06680555555555 11.208055555555555)",,,,,,,,,,,,,
82,T.NO 74,T,SD,28,75-74,270.29613389761977,2.7,404,"39°20'27""",77.06680555555555,11.208055555555555,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06680555555555 11.208055555555555, 77.06813888888888 11.21036111111111)",,,,,,,,,,,,,
83,T.NO 73 LILO,T,DD,28,74-73,291.8715470887836,3.19,400,"137°26'21""",77.06813888888888,11.21036111111111,GOOD,GOOD,,,CULTIVACTION,KARAMADI-GOPI FEEDER TO CONNECT FOR PASUR AND KANUR PUDHUR SS.             NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06813888888888 11.21036111111111, 77.06666666666666 11.209888888888889)",,,,,,,,,,,,,
84,T.NO 2,T,DB,24,73-2,168.5496959356498,9.5,402,"12°48'0""",77.06666666666666,11.209888888888889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06666666666666 11.209888888888889, 77.06497222222222 11.209722222222222)",,,,,,,,,,,,,
85,T.NO 3,T,DD,28,2-3,186.86893802876924,3.49,403,"101°35'33""",77.06497222222222,11.209722222222222,GOOD,GOOD,"2nosLT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06497222222222 11.209722222222222, 77.06513888888888 11.211166666666665)",,,,,,,,,,,,,
86,T.NO 4,T,DB,24,3-4,160.90059042775448,3.08,402,"1°9'55""",77.06513888888888,11.211166666666665,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06513888888888 11.211166666666665, 77.06530555555555 11.212388888888889)",,,,,,,,,,,,,
87,T.NO 5,T,DD,28,4-5,135.07405376311175,4.92,402,"110°5'18""",77.06530555555555,11.212388888888889,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06530555555555 11.212388888888889, 77.06361111111111 11.212027777777777)",,,,,,,,,,,,,
88,T.NO 6,S,DA,26,5-6,188.73261509341728,4.37,403,,77.06361111111111,11.212027777777777,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06361111111111 11.212027777777777, 77.06191666666666 11.211666666666666)",,,,,,,,,,,,,
89,T.NO 7,S,DA,26,6-7,187.1095935541521,2.7,403,,77.06191666666666,11.211666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06191666666666 11.211666666666666, 77.06005555555555 11.211083333333333)",,,,,,,,,,,,,
90,T.NO 8,T,DD,28,7-8,215.67104580819372,4.3,407,"31°56'37""",77.06005555555555,11.211083333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06005555555555 11.211083333333333, 77.05975 11.210749999999999)",,,,,,,,,,,,,
91,T.NO 9DP,T,DP,20,8-9,48.27007354458868,,410,,77.05975,11.210749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05975 11.210749999999999, 77.05958333333334 11.210583333333332)",,,,,,,,,,,,,
92,T.NO 10DP,T,DP,20,9-10,27.586228448267445,,409,,77.05958333333334,11.210583333333332,GOOD,GOOD,230 KV CROSSING ABOVE,,PLAIN,230KV PH II - ARASUR GOPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05958333333334 11.210583333333332, 77.05905555555556 11.210027777777777)",,,,,,,,,,,,,
93,T.NO 11,T,DD,28,10-11,85.58621384311844,5.9,410,"68°56'11""",77.05905555555556,11.210027777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05905555555556 11.210027777777777, 77.05652777777777 11.211055555555555)",,,,,,,,,,,,,
94,T.NO 12,T,DD,28,11-12,297.6927946726289,3.83,406,"31°33'50""",77.05652777777777,11.211055555555555,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05652777777777 11.211055555555555, 77.05508333333333 11.210861111111111)",,,,,,,,,,,,,
95,T.NO 13,S,DA,26,12-13,158.97798589741913,3.5,412,,77.05508333333333,11.210861111111111,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05508333333333 11.210861111111111, 77.05255555555556 11.210583333333332)",,,,,,,,,,,,,
96,T.NO 14,S,DA,26,13-14,279.6140196771256,4.1,413,,77.05255555555556,11.210583333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05255555555556 11.210583333333332, 77.04997222222222 11.210388888888888)",,,,,,,,,,,,,
97,T.NO 15,T,DB,24,14-15,283.1960451701259,4.7,412,"7°13'13""",77.04997222222222,11.210388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04997222222222 11.210388888888888, 77.0483611111111 11.210444444444443)",,,,,,,,,,,,,
98,T.NO 16,T,DD,28,15-16,176.10224302944013,3.72,411,"47°40'23""",77.0483611111111,11.210444444444443,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0483611111111 11.210444444444443, 77.04691666666666 11.209)",,,,,,,,,,,,,
99,T.NO 17,S,DA,26,16-17,224.8777445635739,2.34,404,,77.04691666666666,11.209,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04691666666666 11.209, 77.0455 11.207527777777777)",,,,,,,,,,,,,
100,T.NO 18,T,DD,28,17-18,224.34125790857107,4.72,402,"51°9'45""",77.0455,11.207527777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0455 11.207527777777777, 77.04275 11.207722222222221)",,,,,,,,,,,,,
101,T.NO 19,S,DA,26,18-19,300.66592756745814,3.97,395,,77.04275,11.207722222222221,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04275 11.207722222222221, 77.04086111111111 11.20786111111111)",,,,,,,,,,,,,
102,T.NO 20,T,DB,24,19-20,207.40781084616847,2.95,406,"5°12'14""",77.04086111111111,11.20786111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04086111111111 11.20786111111111, 77.03858333333334 11.207805555555554)",,,,,,,,,,,,,
103,T.NO 21,T,DB,24,20-21,249.09837414162303,4.05,406,"4°17'19""",77.03858333333334,11.207805555555554,GOOD,GOOD,11KV,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03858333333334 11.207805555555554, 77.03611111111111 11.207555555555555)",,,,,,,,,,,,,
104,T.NO 22,T,DB,24,21-22,272.44265451650557,5.9,409,"9°19'32""",77.03611111111111,11.207555555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03611111111111 11.207555555555555, 77.03319444444445 11.206805555555555)",,,,,,,,,,,,,
105,T.NO 23,S,DA,26,22-23,327.49351138610365,6.02,415,,77.03319444444445,11.206805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03319444444445 11.206805555555555, 77.03105555555555 11.206277777777776)",,,,,,,,,,,,,
106,T.NO 24,T,DD,28,23-24,241.32343441945292,5.01,421,"34°3'29""",77.03105555555555,11.206277777777776,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03105555555555 11.206277777777776, 77.02830555555555 11.207277777777778)",,,,,,,,,,,,,
107,T.NO 25,S,DA,26,24-25,320.12809936024047,2.45,423,,77.02830555555555,11.207277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02830555555555 11.207277777777778, 77.02622222222222 11.208083333333333)",,,,,,,,,,,,,
108,T.NO 26 KUPPEYAMPALAYAM LILO,T,DD,28,25-26,243.32899539512343,7.35,427,"75°9'13""",77.02622222222222,11.208083333333333,GOOD,GOOD,,,PLAIN,KUPPEYAMPALAYAM LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02622222222222 11.208083333333333, 77.02627777777778 11.208527777777777)",,,,,,,,,,,,,
109,T.NO 55,T,DD,28,26-55,51.24451190127583,2.85,424,"56°44'45""",77.02627777777778,11.208527777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02627777777778 11.208527777777777, 77.02497222222222 11.209583333333333)",,,,,,,,,,,,,
110,T.NO 54,T,DC,26,55-54,184.91078930121952,3.72,417,"16°9'17""",77.02497222222222,11.209583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02497222222222 11.209583333333333, 77.02374999999999 11.211305555555555)",,,,,,,,,,,,,
111,T.NO 53,S,DA,26,54-53,231.92455669894036,4.49,406,,77.02374999999999,11.211305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02374999999999 11.211305555555555, 77.02252777777778 11.213166666666666)",,,,,,,,,,,,,
112,T.NO 52,T,DD,28,53-52,244.3460660620506,3.3,410,"50°55'3""",77.02252777777778,11.213166666666666,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02252777777778 11.213166666666666, 77.02113888888888 11.213305555555555)",,,,,,,,,,,,,
113,T.NO 51,T,DC,26,52-51,152.64337522473747,4.12,399,"24°24'24""",77.02113888888888,11.213305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02113888888888 11.213305555555555, 77.01891666666667 11.214555555555554)",,,,,,,,,,,,,
114,T.NO 50 ,T,MD,45,51-50,280.81488564533043,4.01,402,"62°54'6""",77.01891666666667,11.214555555555554,GOOD,GOOD,2nos LT ,,PLAIN,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01891666666667 11.214555555555554, 77.01902777777778 11.216777777777779)",,,,,,,,,,,,,
115,T.NO 49,S,MA,45,50-49,245.246814454337,3.75,395,,77.01902777777778,11.216777777777779,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01902777777778 11.216777777777779, 77.01911111111112 11.218861111111112)",,,,,,,,,,,,,
116,T.NO 48,S,MA,45,49-48,231.1384866265244,5.02,388,,77.01911111111112,11.218861111111112,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01911111111112 11.218861111111112, 77.01922222222223 11.221222222222222)",,,,,,,,,,,,,
117,T.NO 47,S,MA,45,48-47,259.15632348063593,2.58,383,,77.01922222222223,11.221222222222222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01922222222223 11.221222222222222, 77.01933333333334 11.2235)",,,,,,,,,,,,,
118,T.NO 46,T,MC,45,47-46,254.2833065696606,3.01,377,"23°34'35""",77.01933333333334,11.2235,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01933333333334 11.2235, 77.0183888888889 11.226027777777778)",,,,,,,,,,,,,
119,T.NO 45,T,MD,45,46-45,297.5231083462258,3.22,371,"35°2'19""",77.0183888888889,11.226027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0183888888889 11.226027777777778, 77.01888888888888 11.22788888888889)",,,,,,,,,,,,,
120,T.NO 44,T,MB,45,45-44,212.46176126540982,4.02,369,"13°57'24""",77.01888888888888,11.22788888888889,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01888888888888 11.22788888888889, 77.01975 11.229444444444445)",,,,,,,,,,,,,
121,T.NO 43,T,MC,45,44-43,197.29419656948858,2.7,367,"19°6'27""",77.01975,11.229444444444445,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01975 11.229444444444445, 77.02158333333334 11.231111111111112)",,,,,,,,,,,,,
122,T.NO 42,T,MD,45,43-42,272.44265451650557,2.25,364,"34°11'52""",77.02158333333334,11.231111111111112,GOOD,GOOD,11KV,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02158333333334 11.231111111111112, 77.02205555555555 11.233055555555556)",,,,,,,,,,,,,
123,T.NO 41,T,MD,45,42-41,221.71152428324515,6.02,363,"84°5'30""",77.02205555555555,11.233055555555556,GOOD,GOOD,2nosLT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02205555555555 11.233055555555556, 77.02416666666666 11.232777777777779)",,,,,,,,,,,,,
124,T.NO 40,T,MD,45,41-40,233.80547470065795,7.88,363,"46°3'41""",77.02416666666666,11.232777777777779,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02416666666666 11.232777777777779, 77.02555555555556 11.23386111111111)",,,,,,,,,,,,,
125,T.NO 39,T,MD,45,40-39,194.12624758130983,6.76,369,"52°57'57""",77.02555555555556,11.23386111111111,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02555555555556 11.23386111111111, 77.0255 11.236333333333333)",,,,,,,,,,,,,
126,T.NO 38,S,MA,45,39-38,271.14940531006147,2.05,374,,77.0255,11.236333333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0255 11.236333333333333, 77.02538888888888 11.238499999999998)",,,,,,,,,,,,,
127,T.NO 37,T,MD,45,38-37,240.3518254559345,2.75,376,"44°53'55""",77.02538888888888,11.238499999999998,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02538888888888 11.238499999999998, 77.02330555555555 11.240388888888887)",,,,,,,,,,,,,
128,T.NO 36,S,MA,45,37-36,310.84562084739105,2.58,369,,77.02330555555555,11.240388888888887,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02330555555555 11.240388888888887, 77.02122222222222 11.242249999999999)",,,,,,,,,,,,,
129,T.NO 35,T,MD,45,36-35,304.52914474644297,2.9,370,"50°18'56""",77.02122222222222,11.242249999999999,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02122222222222 11.242249999999999, 77.02133333333333 11.244666666666665)",,,,,,,,,,,,,
130,T.NO 34,S,MA,45,35-34,270.1851217221259,4.02,364,,77.02133333333333,11.244666666666665,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02133333333333 11.244666666666665, 77.0213888888889 11.246777777777776)",,,,,,,,,,,,,
131,T.NO 33,S,MA,45,34-33,233.03433223454437,3.09,361,,77.0213888888889,11.246777777777776,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0213888888889 11.246777777777776, 77.02144444444444 11.249138888888888)",,,,,,,,,,,,,
132,T.NO 32,S,MA,45,33-32,261.01724080987447,4.75,359,,77.02144444444444,11.249138888888888,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02144444444444 11.249138888888888, 77.02161111111111 11.251916666666666)",,,,,,,,,,,,,
133,T.NO 31,T,MD,45,32-31,308.46879907050567,7.45,367,"41°39'8""",77.02161111111111,11.251916666666666,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02161111111111 11.251916666666666, 77.02008333333333 11.253833333333333)",,,,,,,,,,,,,
134,T.NO 30,S,MA,45,31-30,268.3076592272386,4.01,365,,77.02008333333333,11.253833333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02008333333333 11.253833333333333, 77.01875 11.255666666666666)",,,,,,,,,,,,,
135,T.NO 29,T,MD,45,30-29,250.4156544627352,3.75,360,"54°2'31""",77.01875,11.255666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01875 11.255666666666666, 77.01966666666667 11.258416666666667)",,,,,,,,,,,,,
136,T.NO 28,S,MA,45,29-28,320.3576126768334,2.88,346,,77.01966666666667,11.258416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01966666666667 11.258416666666667, 77.02061111111111 11.260861111111112)",,,,,,,,,,,,,
137,T.NO 27,S,MA,45,28-27,289.20926679482454,8.8,350,,77.02061111111111,11.260861111111112,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02061111111111 11.260861111111112, 77.0213611111111 11.262833333333333)",,,,,,,,,,,,,
138,T.NO 26,T,MC,45,27-26,233.49946466748057,5.96,359,"28°26'55""",77.0213611111111,11.262833333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0213611111111 11.262833333333333, 77.02088888888889 11.266305555555556)",,,,,,,,,,,,,
139,T.NO 25,T,MB,45,26-25,387.9188059375312,2.4,349,"6°3'21""",77.02088888888889,11.266305555555556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02088888888889 11.266305555555556, 77.02086111111112 11.267055555555556)",,,,,,,,,,,,,
140,T.NO 24,T,MB,45,25-24,82.05485969764375,3.95,350,"6°3'10""",77.02086111111112,11.267055555555556,GOOD,GOOD,230KV CROSSING BELOW,,PLAIN,230 KPH II - ARASUR FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02086111111112 11.267055555555556, 77.02108333333334 11.269916666666667)",,,,,,,,,,,,,
141,T.NO 23,T,MB,45,24-23,318.76009787926716,2.76,347,"14°21'39""",77.02108333333334,11.269916666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02108333333334 11.269916666666667, 77.02066666666667 11.272250000000001)",,,,,,,,,,,,,
142,T.NO 22,T,MB,45,23-22,260.2786967848118,6.48,341,"13°11'46""",77.02066666666667,11.272250000000001,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02066666666667 11.272250000000001, 77.02077777777778 11.274083333333333)",,,,,,,,,,,,,
143,T.NO 21,T,MC,45,22-21,205.24375751773792,7.05,336,"19°11'23""",77.02077777777778,11.274083333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02077777777778 11.274083333333333, 77.02158333333334 11.276055555555557)",,,,,,,,,,,,,
144,T.NO 20,S,MA,45,21-20,235.0914715594762,4.07,328,,77.02158333333334,11.276055555555557,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02158333333334 11.276055555555557, 77.02283333333334 11.278722222222223)",,,,,,,,,,,,,
145,T.NO 19,T,MB,45,20-19,324.5073188696982,4.61,327,"12°8'30""",77.02283333333334,11.278722222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02283333333334 11.278722222222223, 77.02322222222222 11.280444444444445)",,,,,,,,,,,,,
146,T.NO 18,T,MD,45,19-18,196.32880583347927,8.25,331,"53°10'46""",77.02322222222222,11.280444444444445,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02322222222222 11.280444444444445, 77.02216666666666 11.281666666666668)",,,,,,,,,,,,,
147,T.NO 17,T,MB,45,18-17,177.89041570584965,2.25,330,"13°28'46""",77.02216666666666,11.281666666666668,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02216666666666 11.281666666666668, 77.02186111111111 11.282250000000001)",,,,,,,,,,,,,
148,T.NO 16,T,MB,45,17-16,71.11961754677819,3.25,328,"6°0'17""",77.02186111111111,11.282250000000001,GOOD,GOOD,230 KV CROSSING BELOW,,PLAIN,KARAMADAI-INGUR FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02186111111111 11.282250000000001, 77.02097222222223 11.284472222222222)",,,,,,,,,,,,,
149,T.NO 15,S,MA,45,16-15,265.73106705840775,2.45,328,,77.02097222222223,11.284472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02097222222223 11.284472222222222, 77.02002777777777 11.286722222222222)",,,,,,,,,,,,,
150,T.NO 14,T,MC,45,15-14,269.7035409482048,7.88,328,"27°15'51""",77.02002777777777,11.286722222222222,GOOD,GOOD,"230KV CROSSING BELOW,LT",TAAR ROAD,PLAIN,KARAMADAI-ARASUR (SHENBAGAPUDUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02002777777777 11.286722222222222, 77.01880555555556 11.287749999999999)",,,,,,,,,,,,,
151,T.NO 13,S,MA,45,14-13,172.59490143106777,6.89,322,,77.01880555555556,11.287749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01880555555556 11.287749999999999, 77.01733333333333 11.28886111111111)",,,,,,,,,,,,,
152,T.NO 12,T,MD,45,13-12,202.6079958935481,1.75,321,"67°34'7""",77.01733333333333,11.28886111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01733333333333 11.28886111111111, 77.01788888888889 11.290861111111111)",,,,,,,,,,,,,
153,T.NO 11,T,MB,45,12-11,228.74002710500844,4.75,317,"12°51'14""",77.01788888888889,11.290861111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01788888888889 11.290861111111111, 77.01869444444445 11.292333333333334)",,,,,,,,,,,,,
154,T.NO 10,T,MD,45,11-10,186.53149868051776,2.72,317,"41°46'40""",77.01869444444445,11.292333333333334,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01869444444445 11.292333333333334, 77.01819444444445 11.294361111111112)",,,,,,,,,,,,,
155,T.NO 9,T,MD,45,10-9,231.8641843838759,4.92,315,"35°47'55""",77.01819444444445,11.294361111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01819444444445 11.294361111111112, 77.01613888888889 11.296111111111111)",,,,,,,,,,,,,
156,T.NO 8,T,MD,45,9-8,297.30960293942746,6.12,328,"54°50'45""",77.01613888888889,11.296111111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01613888888889 11.296111111111111, 77.01361111111112 11.2955)",,,,,,,,,,,,,
157,T.NO 7,T,MC,45,8-7,285.2367437761131,2.75,328,"28°47'46""",77.01361111111112,11.2955,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01361111111112 11.2955, 77.01183333333333 11.295944444444444)",,,,,,,,,,,,,
158,T.NO 6,T,MB,45,7-6,200.09247861926244,3.11,322,"4°15'35""",77.01183333333333,11.295944444444444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01183333333333 11.295944444444444, 77.0105 11.296388888888888)",,,,,,,,,,,,,
159,T.NO 3,T,MD,45,6-3,154.95160534825058,4.89,327,"75°23'22""",77.0105,11.296388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0105 11.296388888888888, 77.0093611111111 11.294722222222221)",,,,,,,,,,,,,
160,T.NO 2,T,MD,45,3-2,221.89411889457548,9.11,328,"64°41'57""",77.0093611111111,11.294722222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0093611111111 11.294722222222221, 77.00822222222222 11.294888888888888)",,,,,,,,,,,,,
