Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Between Tower No.,Span Between Tower No.,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,JB Location,Earthing Location,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,
24,S,26,23 to 24 ,,"=A51&""-""&A52",197.13901496442293,,4.2,313,11.22612,77.41528,,,,GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41528 11.22612, 77.41463 11.22784)",,,,,,,,,,,,,,,,,
25,T,24,24 to 25 ,,"=A52&""-""&A53",203.1633786358711,,4.7,310,11.22784,77.41463,,,"12°4'45"" LT",GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41463 11.22784, 77.41315 11.23013)",,,,,,,,,,,,,,,,,
26,S,26,25 to 26 ,,"=A53&""-""&A54",300.6170391191307,,4.5,311,11.23013,77.41315,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41315 11.23013, 77.41208 11.23182)",,,,,,,,,,,,,,,,,
27,S,26,26 to 27 ,,"=A54&""-""&A55",220.55549293063837,,4.2,312,11.23182,77.41208,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41208 11.23182, 77.41089 11.23368)",,,,,,,,,,,,,,,,,
28,T,24,27 to 28 ,,"=A55&""-""&A56",243.45975549492354,,5,317,11.23368,77.41089,,,"3°29'6"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41089 11.23368, 77.409196 11.236002)",,,,,,,,,,,,,,,,,
29,T,24,28 to 29,,"=A56&""-""&A57",316.6759450018421,,4.7,310,11.236002,77.409196,,,"0°40'42"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.409196 11.236002, 77.40781 11.23795)",,,,,,,,,,,,,,,,,
30,S,26,29 to 30 ,,"=A57&""-""&A58",263.4428199592122,,5.5,316,11.23795,77.40781,,,"57°3'4"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40781 11.23795, 77.40819 11.23888)",,,,,,,,,,,,,,,,,
31,S,26,30 to 31,,"=A58&""-""&A59",110.97750426692112,,4.95,318,11.23888,77.40819,,,"11°52'31""RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40819 11.23888, 77.40963 11.241)",,,,,,,,,,,,,,,,,
32,T,28,31 to 32 ,,"=A59&""-""&A60",282.47538384864816,,5.5,321,11.241,77.40963,,,"50°53'42"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40963 11.241, 77.41062 11.24109)",,,,,,,,,,,,,,,,,
33,T,28,32 to 33 ,,"=A60&""-""&A61",108.61285474112915,,5.13,323,11.24109,77.41062,,,"79°48'6"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41062 11.24109, 77.41076 11.24269)",,,,,,,,,,,,,,,,,
34,T,28,33 to 34 ,,"=A61&""-""&A62",177.72663887466504,,4.66,327,11.24269,77.41076,,,"73°36'35"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41076 11.24269, 77.41231 11.243)",,,,,,,,,,,,,,,,,
35,T,28,34 to 35 ,,"=A62&""-""&A63",172.77336101084282,,3.3,324,11.243,77.41231,,,"86°22'59"" LT",GOOD,GOOD,,,Plain,Inside the110 kv  Kunnathoor SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41231 11.243, 77.412275 11.243251)",,,,,,,,,,,,,,,,,
Kunnathur Gantry,T,20,35 to Gantry  ,,"=A63&""-""&A64",28.039401285985853,,0.99,325,11.243251,77.412275,Yes,,,GOOD,GOOD,,,Plain,Inside the110 kv  Kunnathoor SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,=SUM(G7:G64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
