Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 8,,T,DC,26,07-Aug,232.1745033,7.25,208,"24°4'45""",77.65219444,11.38013889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65219444444445 11.38013888888889, 77.65080555555556 11.37963888888889)"
T.NO 9,,S,DA,26,08-Sep,162.1172415,9.32,214,,77.65080556,11.37963889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65080555555556 11.37963888888889, 77.64894444444445 11.378916666666667)"
T.NO 10,,S,DA,26,09-Oct,215.4065923,12.94,220,,77.64894444,11.37891667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64894444444445 11.378916666666667, 77.64719444444445 11.378222222222222)"
T.NO 11,,S,DA,26,10-Nov,207.0772803,9.43,213,,77.64719444,11.37822222,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64719444444445 11.378222222222222, 77.64572222222223 11.377666666666666)"
T.NO 12,,T,DD,28,11-Dec,172.8872465,7.11,209,"61°11'22""",77.64572222,11.37766667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64572222222223 11.377666666666666, 77.64547222222222 11.375805555555557)"
T.NO 13,,T,DC,26,Dec-13,206.5187643,7.21,211,"22°15'54""",77.64547222,11.37580556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64547222222222 11.375805555555557, 77.64444444444445 11.374)"
T.NO 14,,S,DA,26,13-14,228.2542442,5.43,206,,77.64444444,11.374,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64444444444445 11.374, 77.64352777777779 11.372388888888889)"
T.NO 15,,S,DA,26,14-15,205.9126028,9.48,224,,77.64352778,11.37238889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64352777777779 11.372388888888889, 77.64252777777779 11.370722222222224)"
T.NO 16,,T,DD,34,15-16,213.2158531,5.79,228,"34°8'29""",77.64252778,11.37072222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64252777777779 11.370722222222224, 77.64122222222223 11.370111111111111)"
T.NO 17,,S,DA,32,16-17,158.3161394,4.51,230,,77.64122222,11.37011111,GOOD,GOOD,"LT,HT","TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64122222222223 11.370111111111111, 77.63975 11.369388888888889)"
T.NO 18,2W,T,DB,24,17-18,180.6792739,3.23,231,"11°48'51""",77.63975,11.36938889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63975 11.369388888888889, 77.63880555555556 11.36913888888889)"
T.NO 19,,T,DC,26,18-19,105.5130324,1.83,230,"15°23'16""",77.63880556,11.36913889,GOOD,GOOD,"LT,230KV CROSSING",,PLAIN,MPTS - INGUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63880555555556 11.36913888888889, 77.63616666666667 11.369166666666667)"
T.NO 20,,S,DA,26,19-20,289,4.32,232,,77.63616667,11.36916667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63616666666667 11.369166666666667, 77.63327777777778 11.369250000000001)"
T.NO 21,,S,DA,26,20-21,317.0394297,5.83,235,,77.63327778,11.36925,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63327777777778 11.369250000000001, 77.63074999999999 11.369333333333334)"
T.NO 22,,S,DA,26,21-22,274.0656856,3.21,227,,77.63075,11.36933333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63074999999999 11.369333333333334, 77.62852777777778 11.369333333333334)"
T.NO 23,,T,DB,24,22-23,243,3.23,234,"14°2'7""",77.62852778,11.36933333,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62852777777778 11.369333333333334, 77.62677777777778 11.369805555555557)"
T.NO 24,,T,DC,26,23-24,198.403629,7.93,239,"27°5'48""",77.62677778,11.36980556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62677777777778 11.369805555555557, 77.62483333333333 11.369388888888889)"
T.NO 25,,T,DD,28,24-25,217.1474154,11.23,241,"59°10'44""",77.62483333,11.36938889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62483333333333 11.369388888888889, 77.6243611111111 11.368027777777778)"
T.NO 26,,T,DC,26,25-26,159.0628806,9.1,247,"16°22'27""",77.62436111,11.36802778,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6243611111111 11.368027777777778, 77.6241111111111 11.367694444444444)"
T.NO 27,,T,DD,28,26-27,47.4341649,4.32,253,"30°9'53""",77.62411111,11.36769444,GOOD,GOOD,"LT,110KV CROSSING",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6241111111111 11.367694444444444, 77.62213888888888 11.366666666666667)"
T.NO 28,,S,DA,26,27-28,243.8237068,5.83,242,,77.62213889,11.36666667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62213888888888 11.366666666666667, 77.61991666666665 11.365722222222223)"
T.NO 29,,S,DA,26,28-29,264.1968963,9.46,248,,77.61991667,11.36572222,GOOD,GOOD,,"MUD ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61991666666665 11.365722222222223, 77.61858333333333 11.36511111111111)"
T.NO 30,,S,DA,26,29-30,161.0124219,8.93,249,,77.61858333,11.36511111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61858333333333 11.36511111111111, 77.61663888888889 11.364305555555555)"
T.NO 31,,T,DC,26,30-31,230.7054399,6.53,251,"17°14'8""",77.61663889,11.36430556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61663888888889 11.364305555555555, 77.61416666666666 11.363999999999999)"
T.NO 32,,S,DA,26,31-32,272.3894271,7.52,238,,77.61416667,11.364,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61416666666666 11.363999999999999, 77.61141666666666 11.363638888888888)"
T.NO 33,,T,DD,28,32-33,302.0761493,9.13,239,"38°12'14""",77.61141667,11.36363889,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61141666666666 11.363638888888888, 77.61016666666666 11.362361111111111)"
T.NO 34,,S,DA,32,33-34,195.2434378,5.47,247,,77.61016667,11.36236111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61016666666666 11.362361111111111, 77.60875 11.360916666666666)"
T.NO 35,,S,DA,32,34-35,223.5173371,6.93,250,,77.60875,11.36091667,GOOD,GOOD,LT,"MUD ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60875 11.360916666666666, 77.60727777777777 11.359444444444444)"
T.NO 36,,S,DA,26,35-36,227.7059507,7.42,242,,77.60727778,11.35944444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60727777777777 11.359444444444444, 77.60602777777777 11.358222222222222)"
T.NO 37,2W,T,DD,28,36-37,194.4659353,6.38,243,"32°45'6""",77.60602778,11.35822222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60602777777777 11.358222222222222, 77.60449999999999 11.357805555555554)"
T.NO 38,,S,DA,26,37-38,171.5633994,9.47,238,,77.6045,11.35780556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60449999999999 11.357805555555554, 77.60275 11.357472222222222)"
T.NO 39,,T,DD,28,38-39,196.7053634,6.31,239,"53°54'3""",77.60275,11.35747222,GOOD,GOOD,110KV CROSSING,,PLAIN,THINGALUR - K.R THOPPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60275 11.357472222222222, 77.60199999999999 11.35811111111111)"
T.NO 40,,T,DD,28,39-40,109.2245394,11.89,236,"40°56'26""",77.602,11.35811111,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60199999999999 11.35811111111111, 77.60022222222221 11.358166666666666)"
T.NO 41,,S,DA,26,40-41,192.0104164,4.82,243,,77.60022222,11.35816667,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60022222222221 11.358166666666666, 77.598 11.358138888888888)"
T.NO 42,,T,DB,24,41-42,242.0516474,3.49,241,"7°51'48""",77.598,11.35813889,GOOD,GOOD,2 NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.598 11.358138888888888, 77.59630555555555 11.357888888888889)"
T.NO 43,,T,DD,28,42-43,187.9494613,10.02,245,"42°6'42""",77.59630556,11.35788889,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59630555555555 11.357888888888889, 77.59533333333333 11.35675)"
T.NO 44,,T,DD,28,43-44,166.1926593,4.52,246,"36°29'36""",77.59533333,11.35675,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59533333333333 11.35675, 77.59299999999999 11.356194444444444)"
T.NO 45,,T,DC,32,44-45,262.6670897,5.05,245,"18°3'21""",77.593,11.35619444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59299999999999 11.356194444444444, 77.59094444444445 11.354888888888889)"
T.NO 46,,S,DA,32,45-46,267.6434195,7.13,245,,77.59094444,11.35488889,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59094444444445 11.354888888888889, 77.58902777777777 11.353805555555555)"
T.NO 47,,T,DC,26,46-47,239.2676326,9.96,252,"22°39'50""",77.58902778,11.35380556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58902777777777 11.353805555555555, 77.58749999999999 11.35361111111111)"
T.NO 48,,S,DA,26,47-48,167.871975,8.67,240,,77.5875,11.35361111,GOOD,GOOD,"2 NOS LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58749999999999 11.35361111111111, 77.5855 11.353277777777777)"
T.NO 49,,T,DC,26,48-49,223.2576986,5.91,245,"29°30'53""",77.5855,11.35327778,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5855 11.353277777777777, 77.58444444444444 11.352472222222222)"
T.NO 50,,T,DC,26,49-50,143.6802004,6.53,248,"25°31'56""",77.58444444,11.35247222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58444444444444 11.352472222222222, 77.58141666666667 11.351638888888889)"
T.NO 51,,S,DA,26,50-51,345.6009259,8.74,247,,77.58141667,11.35163889,GOOD,GOOD,2 NOS LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58141666666667 11.351638888888889, 77.57897222222222 11.351166666666666)"
T.NO 52,,S,DA,32,51-52,270.2480342,11.42,255,,77.57897222,11.35116667,GOOD,GOOD,2 NOS LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57897222222222 11.351166666666666, 77.57708333333333 11.350722222222222)"
T.NO 53,,S,DA,32,52-53,212.2192263,7.96,257,,77.57708333,11.35072222,GOOD,GOOD,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57708333333333 11.350722222222222, 77.57447222222221 11.350249999999999)"
T.NO 54,,T,DC,26,53-54,289.4684784,4.72,250,"22°56'35""",77.57447222,11.35025,GOOD,GOOD,LT,"MUD ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57447222222221 11.350249999999999, 77.5726111111111 11.34888888888889)"
T.NO 55,,S,DA,26,54-55,254.4012579,7.94,246,,77.57261111,11.34888889,GOOD,GOOD,"2 NOS LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5726111111111 11.34888888888889, 77.57055555555556 11.347472222222223)"
T.NO 56,2W,T,DB,24,55-56,272.2535583,6.38,252,"7°59'24""",77.57055556,11.34747222,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57055555555556 11.347472222222223, 77.56958333333333 11.346527777777778)"
T.NO 57,,T,DC,26,56-57,149.2146105,3.47,258,"15°52'59""",77.56958333,11.34652778,GOOD,GOOD,,"MUD ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56958333333333 11.346527777777778, 77.56852777777777 11.344750000000001)"
T.NO 58,,T,DD,28,57-58,228.4731932,9.26,263,"47°53'5""",77.56852778,11.34475,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56852777777777 11.344750000000001, 77.56611111111111 11.344277777777778)"
T.NO 59,,T,DB,24,58-59,270.0833205,13.72,260,"5°22'16""",77.56611111,11.34427778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56611111111111 11.344277777777778, 77.564 11.343611111111112)"
T.NO 60,,S,DA,26,59-60,240.0187493,6.57,268,,77.564,11.34361111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.564 11.343611111111112, 77.56177777777778 11.342972222222222)"
T.NO 61,,T,DB,24,60-61,254.0177159,7.42,264,"2°15'17""",77.56177778,11.34297222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56177777777778 11.342972222222222, 77.55919444444444 11.342305555555557)"
T.NO 62,,S,DA,26,61-62,290.1310049,4.69,274,,77.55919444,11.34230556,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55919444444444 11.342305555555557, 77.55680555555556 11.341666666666667)"
T.NO 63,,T,DB,24,62-63,270.7489612,14.36,281,"9°25'42""",77.55680556,11.34166667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55680555555556 11.341666666666667, 77.55449999999999 11.340611111111112)"
T.NO 64,,S,DA,26,63-64,279.1128804,12.73,275,,77.5545,11.34061111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55449999999999 11.340611111111112, 77.55227777777777 11.339638888888889)"
T.NO 65,,S,DA,26,64-65,265.0056603,8.63,266,,77.55227778,11.33963889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55227777777777 11.339638888888889, 77.54969444444444 11.3385)"
T.NO 66,,T,DC,26,65-66,306.9609096,10.76,262,"26°39'45""",77.54969444,11.3385,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54969444444444 11.3385, 77.54772222222222 11.338611111111112)"
T.NO 67,,S,DA,26,66-67,216.1874187,7.09,265,,77.54772222,11.33861111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54772222222222 11.338611111111112, 77.54561111111111 11.338694444444444)"
T.NO 68,,S,DA,26,67-68,231.1060363,8.76,257,,77.54561111,11.33869444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54561111111111 11.338694444444444, 77.54416666666667 11.338777777777779)"
T.NO 69,,S,DA,26,68-69,157.2577502,6.49,257,,77.54416667,11.33877778,GOOD,GOOD,LT,"TAAR ROAD,POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54416666666667 11.338777777777779, 77.54211111111111 11.338833333333334)"
T.NO 70,2W,T,DB,24,69-70,225.0199991,2.56,249,"3°50'53""",77.54211111,11.33883333,GOOD,GOOD,,"MUD ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54211111111111 11.338833333333334, 77.54063888888889 11.339)"
T.NO 71,,S,DA,26,70-71,162.9969325,6.92,257,,77.54063889,11.339,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54063888888889 11.339, 77.5385 11.339222222222222)"
T.NO 72,,T,DC,26,71-72,234.036322,4.59,249,"19°28'49""",77.5385,11.33922222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5385 11.339222222222222, 77.53625 11.338666666666667)"
T.NO 73,,S,DA,26,72-73,253.2212471,7.26,248,,77.53625,11.33866667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53625 11.338666666666667, 77.53375 11.338111111111111)"
T.NO 74,,S,DA,26,73-74,281.3751944,5.07,261,,77.53375,11.33811111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53375 11.338111111111111, 77.53191666666666 11.337694444444445)"
T.NO 75,,T,DD,28,74-75,204.4749373,4.78,260,"44°10'19""",77.53191667,11.33769444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53191666666666 11.337694444444445, 77.52925 11.33927777777778)"
T.NO 76,,T,DD,28,75-76,341.1231449,3.26,261,"70°2'1""",77.52925,11.33927778,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52925 11.33927777777778, 77.52730555555556 11.337694444444445)"
T.NO 77,,S,DA,26,76-77,273.2343317,6.49,259,,77.52730556,11.33769444,GOOD,GOOD,,"MUD ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52730555555556 11.337694444444445, 77.52541666666667 11.336222222222222)"
T.NO 78,,T,DB,24,77-78,263.7821071,7.82,265,"1°6'40""",77.52541667,11.33622222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52541666666667 11.336222222222222, 77.52358333333333 11.334805555555556)"
T.NO 79,,T,DC,26,78-79,254.0964384,9.26,275,"22°42'49""",77.52358333,11.33480556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52358333333333 11.334805555555556, 77.52147222222222 11.334194444444446)"
T.NO 80,,S,DA,26,79-80,241.3731551,5.42,275,,77.52147222,11.33419444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52147222222222 11.334194444444446, 77.51894444444444 11.3335)"
T.NO 81,,S,DA,26,80-81,287.0836115,8.63,271,,77.51894444,11.3335,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51894444444444 11.3335, 77.5165 11.332888888888888)"
T.NO 82,,S,DA,26,81-82,275.5721321,10.79,272,,77.5165,11.33288889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5165 11.332888888888888, 77.51433333333334 11.332333333333333)"
T.NO 83,2W,T,DD,28,82-83,243.298171,9.04,271,"42°35'33""",77.51433333,11.33233333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51433333333334 11.332333333333333, 77.51313888888889 11.330583333333333)"
T.NO 84,,S,DA,26,83-84,233.2573686,12.38,283,,77.51313889,11.33058333,GOOD,GOOD,400KV CROSSING,TAAR ROAD,PLAIN,RASIPALAYAM - PALAVADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51313888888889 11.330583333333333, 77.51202777777777 11.328722222222222)"
T.NO 85,,S,DA,26,84-85,237.0358623,7.42,277,,77.51202778,11.32872222,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51202777777777 11.328722222222222, 77.51094444444445 11.327027777777777)"
T.NO 86,,T,DD,28,85-86,223.1344886,9.63,278,"32°13'31""",77.51094444,11.32702778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51094444444445 11.327027777777777, 77.50883333333333 11.326027777777778)"
T.NO 87,,S,DA,26,86-87,256.2849976,6.14,287,,77.50883333,11.32602778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50883333333333 11.326027777777778, 77.50672222222222 11.325)"
T.NO 88,,S,DA,26,87-88,258.5033849,11.32,276,,77.50672222,11.325,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50672222222222 11.325, 77.50486111111111 11.324111111111112)"
T.NO 89,,S,DA,26,88-89,224.5172599,13.62,279,,77.50486111,11.32411111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50486111111111 11.324111111111112, 77.50319444444445 11.323361111111112)"
T.NO 90,,T,DB,24,89-90,201.7250604,10.07,278,"10°55'52""",77.50319444,11.32336111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50319444444445 11.323361111111112, 77.50111111111111 11.321833333333332)"
T.NO 91,,T,DB,24,90-91,280.6011404,9.42,288,"10°55'55""",77.50111111,11.32183333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50111111111111 11.321833333333332, 77.4991388888889 11.320916666666667)"
T.NO 92,,S,DA,26,91-92,241.068455,7.72,284,,77.49913889,11.32091667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4991388888889 11.320916666666667, 77.49702777777777 11.319916666666666)"
T.NO 93,,S,DA,26,92-93,255.3624875,7.34,281,,77.49702778,11.31991667,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49702777777777 11.319916666666666, 77.49519444444445 11.319027777777778)"
T.NO 94,,T,DD,28,93-94,221.8220007,11.02,279,"41°8'52""",77.49519444,11.31902778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49519444444445 11.319027777777778, 77.49483333333333 11.318194444444444)"
T.NO 95,,T,DB,24,94-95,100.8464179,8.26,277,"9°54'44""",77.49483333,11.31819444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49483333333333 11.318194444444444, 77.49436111111112 11.31625)"
T.NO 96,,T,DB,24,95-96,220.5130382,6.94,280,"6°52'32""",77.49436111,11.31625,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49436111111112 11.31625, 77.49397222222223 11.315166666666668)"
T.NO 97,,T,DD,28,96-97,127.4715655,5.52,289,"56°22'59""",77.49397222,11.31516667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49397222222223 11.315166666666668, 77.49302777777778 11.314944444444444)"
T.NO 98,,T,DD,28,97-98,104.0480658,4.83,300,"49°31'56""",77.49302778,11.31494444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49302777777778 11.314944444444444, 77.49294444444445 11.314777777777778)"
T.NO 99,,T,DC,26,98-99,22.36067977,7.09,301,"18°26'6""",77.49294444,11.31477778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49294444444445 11.314777777777778, 77.49294444444445 11.314694444444445)"
GANTRY 230KV THINGALUR SS,2W,T,GANTRY,20,99-GANTRY,9.219544457,,296,,77.49294444,11.31469444,GOOD,MISSING,,,PLAIN,230KV THINGALUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
