S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,T.NO-36,T,DB,24,35-36,288.7801932266131,2.71,362,"4°33'59.04""",77.28830555555555,10.663388888888889,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28830555555555 10.663388888888889, 77.28919444444445 10.6645)"
39,T.NO-37 KOTTAMANGALAM LILO,T,MB,45,36-37,154.62535367784935,3.4,363,"10°18'28.80""",77.28919444444445,10.6645,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,NEED 3WAY JUNCTION BOX. 2 EARTH WIRE .1 EARTH WIRE CONTINUE TO T.NO-38 ANOTHER ONE CONNECT TO KOTTAMANGALAM T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28919444444445 10.6645, 77.29047222222222 10.665611111111112)"
40,T.NO-38,T,DB,24,37-38,189.0952141118331,3.25,365,"6°19'10.52""",77.29047222222222,10.665611111111112,GOOD,GOOD,LT,"CANAL,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29047222222222 10.665611111111112, 77.2925 10.667805555555555)"
41,T.NO-39,S,DA,26,38-39,326.45520366506645,3.1,365,,77.2925,10.667805555555555,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2925 10.667805555555555, 77.29463888888888 10.670083333333332)"
42,T.NO-40,S,DA,26,39-40,345.30276569989996,2.6,364,,77.29463888888888,10.670083333333332,GOOD,GOOD,LT,"NALA,MUD ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29463888888888 10.670083333333332, 77.29652777777778 10.672027777777776)"
43,T.NO-41,S,DA,26,40-41,298.6134625230417,3.6,373,,77.29652777777778,10.672027777777776,GOOD,GOOD,,"NALA ,CANAL",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29652777777778 10.672027777777776, 77.29847222222222 10.674111111111111)"
44,T.NO-42,S,DA,26,41-42,312.1233730434169,2.02,369,,77.29847222222222,10.674111111111111,GOOD,GOOD,LT,"MUD ROAD, CEMENT ROAD",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29847222222222 10.674111111111111, 77.30047222222223 10.676222222222222)"
45,T.NO-43,S,DA,26,42-43,321.27869521647403,2.87,373,,77.30047222222223,10.676222222222222,GOOD,GOOD,LT,"MUD ROAD, CEMENT ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30047222222223 10.676222222222222, 77.30236111111111 10.678222222222221)"
46,T.NO-44,T,DD,28,43-44,302.90922732726386,1.1,373,"36°56'13.40""",77.30236111111111,10.678222222222221,GOOD,GOOD,LT,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30236111111111 10.678222222222221, 77.30513888888889 10.678722222222222)"
47,T.NO-45,S,DA,26,44-45,308.13146544940844,2.8,364,,77.30513888888889,10.678722222222222,GOOD,GOOD,,"3nos MUD ROAD,CANAL",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30513888888889 10.678722222222222, 77.30766666666666 10.679166666666665)"
