Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-9,,T,DC,26,10-Sep,226.126071,1.17,327,"20°43'32.90""",10.71347222,77.39280556,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39280555555557 10.713472222222222, 77.39561111111112 10.713916666666666)"
T.NO-8,,T,DD,28,09-Aug,312.5267989,1.34,324,"81°1'19.33""",10.71391667,77.39561111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39561111111112 10.713916666666666, 77.3961388888889 10.712305555555554)"
T.NO-7,,T,DB,24,08-Jul,188.7882412,1.17,322,"6°16'30.76""",10.71230556,77.39613889,GOOD,GOOD,NO,,"MUDROAD,CANAL",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3961388888889 10.712305555555554, 77.3968888888889 10.710749999999999)"
T.NO-6,,S,DA,26,07-Jun,190.1183842,1.31,322,,10.71075,77.39688889,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3968888888889 10.710749999999999, 77.39744444444445 10.709527777777778)"
T.NO-5,,S,DA,26,06-May,148.9765082,1.1,322,,10.70952778,77.39744444,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39744444444445 10.709527777777778, 77.39858333333333 10.707166666666666)"
T.NO-4,,T,DC,26,05-Apr,287.1236667,0.8,319,"21°21'50.45""",10.70716667,77.39858333,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39858333333333 10.707166666666666, 77.40005555555557 10.705833333333333)"
T.NO-3,,T,DD,28,04-Mar,220.102249,0.87,322,"40°25'2.68""",10.70583333,77.40005556,GOOD,GOOD,NO,"LT,22KV",CANAL,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40005555555557 10.705833333333333, 77.40030555555556 10.703666666666665)"
T.NO-2,,T,DC,26,03-Feb,238.7676695,0.97,326,"24°52'20.39""",10.70366667,77.40030556,GOOD,GOOD,NO,"LT,22KV","CANAL,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40030555555556 10.703666666666665, 77.4 10.702805555555555)"
T.NO-1,,T,DD,28,02-Jan,100.8811182,0.71,330,"72°6'13.92""",10.70280556,77.4,GOOD,GOOD,YES,"2nos 22KV,11KV",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4 10.702805555555555, 77.39986111111112 10.702805555555555)"
GANTRY PONNAPURAM,2W,GANTRY,GANTRY,20,GANTRY-1,15,,338,,10.70280556,77.39986111,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
