Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs)As per tower schedule ,Span length (mtrs),Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,
34,DPI/ T,T,20,33 TO 34,27,33.01479386967758,=F40-G40,6.5,481,12.31817,78.14258,,,,,19⁰5′29″  RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14258 12.31817, 78.14245 12.31858)",,,,,,,,,,,,,,,,,,,
35,DPII/ T,T,20,34 TO35 ,47,47.547123581806254,=F41-G41,6,482,12.31858,78.14245,,,,,8⁰50′28″   RT,GOOD,GOOD,"230 kv Karimangalam to Shoolagiri ,230 kv Karimangalam to Palavadi Line ",,Agri land,"230 kv Karimangalam to Shoolagiri ,  230 kv Karimangalam to Palavadi Line ",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14245 12.31858, 78.1424 12.31891)",,,,,,,,,,,,,,,,,,,
36,KCR/T,T,26.24,35 TO 36 ,39,36.9384516223575,=F42-G42,4.2,476,12.31891,78.1424,,,,,51⁰34′58″  LT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1424 12.31891, 78.14014 12.32019)",,,,,,,,,,,,,,,,,,,
37,KCR/T,T,26.24,36 TO 37 ,279,283.9177633149126,=F43-G43,3,489,12.32019,78.14014,,,,,18⁰14′20″  LT,GOOD,GOOD,LT LINE CROSSING-2,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14014 12.32019, 78.137716 12.320684)",,,,,,,,,,,,,,,,,,,
38,GCR/S ,S,25.64,37 TO 38,272,269.49417038587706,=F44-G44,5.1,492,12.320684,78.137716,,,,,4⁰55′01″   LT,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.137716 12.320684, 78.13533 12.32124)",,,,,,,,,,,,,,,,,,,
39,GCR/S ,S,25.64,38 TO 39,268,266.92226016048437,=F45-G45,6.2,488,12.32124,78.13533,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13533 12.32124, 78.13263 12.32182)",,,,,,,,,,,,,,,,,,,
40,GCR/S ,S,25.64,39 TO 40 ,296,300.85251629494854,=F46-G46,3.6,493,12.32182,78.13263,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13263 12.32182, 78.13029 12.32232)",,,,,,,,,,,,,,,,,,,
41,HCR/T,T,24.64,40 TO 41 ,266,260.6760333536517,=F47-G47,5.4,488,12.32232,78.13029,,,,,0⁰12′40″  LT,GOOD,GOOD,11V/LT LINE CROSSING ,ROAD,Agri land,SUITABLE DRUM POINT ,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13029 12.32232, 78.12786 12.32283)",,,,,,,,,,,,,,,,,,,
42,GCR/S ,S,25.64,41 TO 42,267,270.4868991586249,=F48-G48,3.2,488,12.32283,78.12786,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12786 12.32283, 78.12546 12.32333)",,,,,,,,,,,,,,,,,,,
43,GCR/S ,S,25.64,42 TO 43,270,267.0623099897834,=F49-G49,5.6,489,12.32333,78.12546,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12546 12.32333, 78.12315 12.32385)",,,,,,,,,,,,,,,,,,,
