Tower No,JOINT BOX,Tower Type,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,,SA,S,26,23-24,249,248.5538102,10.53,191,,11.31951,77.9903,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9903 11.31951, 77.99239 11.31919)"
25,,SB,T,24,24-25,231,231.103453,13.87,194,"08°05'21""(RT)",11.31919,77.99239,GOOD,GOOD,, ,ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99239 11.31919, 77.99469 11.3185)"
26,,SA,S,26,25-26,266,262.6737588,4.11,190,,11.3185,77.99469,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99469 11.3185, 77.99741 11.31767)"
27,,SA,S,26,26-27,314,311.0960679,2.14,190,,11.31767,77.99741,GOOD,GOOD,,,SMALL LAKE CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99741 11.31767, 78.00005 11.31688)"
28,,SA,S,26,27-28,304,302,0.96,191,,11.31688,78.00005,GOOD,GOOD,"22KV-1, LT-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00005 11.31688, 78.00253 11.31611)"
29,,SB,T,24,28-29,286,284.0848364,6.47,187,"14°16'39""(LT)",11.31611,78.00253,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00253 11.31611, 78.00435 11.31601)"
30,,SA,S,26,29-30,200,199.180081,12.95,184,,11.31601,78.00435,GOOD,GOOD,,,CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00435 11.31601, 78.00627 11.31594)"
31,,SD,T,28,30-31,210,209.9419735,9.43,204,"41°43'45""(RT)",11.31594,78.00627,GOOD,GOOD,,,"RIVER CROSSING(THIRIMANIMUTHU RIVER), CANNAL CROSSONG",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00627 11.31594, 78.00819 11.31412)"
32,,SB,T,24,31-32,293,290.8974925,4.7,177,"27°36'26""(LT)",11.31412,78.00819,GOOD,GOOD,"22KV-1, LT-1",,SMALL CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00819 11.31412, 78.01066 11.31341)"
33,,SA,S,26,32-33,282,281.1135474,3.81,178,,11.31341,78.01066,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01066 11.31341, 78.01245 11.31288)"
