Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-9,SB,T,24,10-9,291.78416680827627,15.82,675,"5°11'43""",76.82208333333332,11.251083333333334,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82208333333332 11.251083333333334, 76.82027777777778 11.251972222222221)"
T.NO-8,SB,T,24,9-8,220.04544985070697,15.18,680,"1°41'14""",76.82027777777778,11.251972222222221,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82027777777778 11.251972222222221, 76.81938888888888 11.252361111111112)"
T.NO-7,SB,T,24,8-7,107.42439201596628,15.64,675,"12°14'14""",76.81938888888888,11.252361111111112,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81938888888888 11.252361111111112, 76.81605555555555 11.254833333333334)"
T.NO-6,SB,T,24,7-6,454.81424779793343,16.83,606,"6°13'58""",76.81605555555555,11.254833333333334,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81605555555555 11.254833333333334, 76.81247222222223 11.256916666666667)"
T.NO-5,SB,T,24,6-5,453.48428859222895,16.03,540,"12°15'48""",76.81247222222223,11.256916666666667,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81247222222223 11.256916666666667, 76.8095 11.259638888888889)"
T.NO-4,SD,T,28,5-4,444.50421820270725,15.59,468,"38°19'23""",76.8095,11.259638888888889,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8095 11.259638888888889, 76.80924999999999 11.261083333333334)"
T.NO-3,SD,T,28,4-3,162.09873534361705,16.02,385,"35°46'12""",76.80924999999999,11.261083333333334,GOOD,GOOD,NO,,MUD ROAD,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80924999999999 11.261083333333334, 76.80852777777777 11.261805555555556)"
T.NO-2,SD,T,28,3-2,111.72287142747452,_,380,"40°42'9""",76.80852777777777,11.261805555555556,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80852777777777 11.261805555555556, 76.80694444444444 11.261944444444444)"
T.NO-1 TAPING 230KV PH-3,DD,T,28,2-1,173.4877517290486,16.51,362,"54°19'35""",76.80694444444444,11.261944444444444,GOOD,GOOD,NO,11KV,RIVER,PLAIN,"NEED 3WAY JUCNTION BOX. TAPING TO PH-3 7EARTH WIRE ON THIS TOWER. 2 E/W FROM OUR T.NO-2, 2 E/W GOING TO-PH-3, 3 E/W CONNECT TO GANTRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80694444444444 11.261944444444444, 76.80644444444444 11.261333333333333)"
GANTRY 230 KUNDAH PH 4,GANTRY,GANTRY,20,1-GANTRY,88.72992730753249,,370,,76.80644444444444,11.261333333333333,GOOD,GOOD,,LT,TAAR ROAD,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F7:F100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
