Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 43,,S,DA,26,42-43,258.4956479,5.92,351,,77.05202778,10.82558333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05202777777778 10.825583333333332, 77.05286111111111 10.823888888888888)"
T.NO 44,,S,DA,26,43-44,207.5090359,5.71,353,,77.05286111,10.82388889,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05286111111111 10.823888888888888, 77.05366666666666 10.822222222222223)"
T.NO 45,,S,DA,26,44-45,206.1698329,6.11,348,,77.05366667,10.82222222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05366666666666 10.822222222222223, 77.0543611111111 10.820694444444444)"
T.NO 46,,S,DA,26,45-46,185.7148352,5.47,348,,77.05436111,10.82069444,GOOD,GOOD,11KV,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0543611111111 10.820694444444444, 77.05527777777777 10.818805555555555)"
T.NO 47,,S,DA,26,46-47,232.1055794,5.12,340,,77.05527778,10.81880556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05527777777777 10.818805555555555, 77.05616666666667 10.817055555555555)"
T.NO 48,,T,DB,24,47-48,216.4555382,5.17,337,"0°42'32""",77.05616667,10.81705556,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05616666666667 10.817055555555555, 77.05702777777778 10.815277777777778)"
T.NO 49,,S,DA,26,48-49,217.3499482,5.89,339,,77.05702778,10.81527778,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05702777777778 10.815277777777778, 77.05799999999999 10.813305555555557)"
T.NO 50,,S,DA,26,49-50,241.946275,5.66,335,,77.058,10.81330556,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05799999999999 10.813305555555557, 77.05891666666666 10.811416666666668)"
T.NO 51,,S,DA,26,50-51,230.7899478,6.19,334,,77.05891667,10.81141667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05891666666666 10.811416666666668, 77.05977777777777 10.80963888888889)"
T.NO 52,,S,DA,26,51-52,220.0454499,6.03,336,,77.05977778,10.80963889,GOOD,GOOD,"2nosLT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05977777777777 10.80963888888889, 77.06080555555555 10.807555555555556)"
T.NO 53,,S,DA,26,52-53,256.702162,6.41,332,,77.06080556,10.80755556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06080555555555 10.807555555555556, 77.06155555555556 10.806000000000001)"
T.NO 54,,S,DA,26,53-54,190.9790564,4.32,331,,77.06155556,10.806,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06155555555556 10.806000000000001, 77.06258333333334 10.803861111111113)"
T.NO 55,,S,DA,26,54-55,262.0706012,4.34,331,,77.06258333,10.80386111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06258333333334 10.803861111111113, 77.06355555555555 10.80188888888889)"
T.NO 56,,T,DB,24,55-56,240.6075643,5.05,330,"2°37'20""",77.06355556,10.80188889,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06355555555555 10.80188888888889, 77.06422222222221 10.800694444444446)"
T.NO 57/1 KURUNELLIPALAYAM LILO,3W,T,DB,24,56-57,151.7168415,4.67,332,"2°37'20""",77.06422222,10.80069444,GOOD,GOOD,11KV,TAAR ROAD,PLAIN,KURUNELLIPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06422222222221 10.800694444444446, 77.06436111111111 10.800222222222223)"
T.NO 58,,T,DB,24,57-58,53.45091206,4.91,329,"8°47'36""",77.06436111,10.80022222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06436111111111 10.800222222222223, 77.06522222222222 10.798472222222221)"
T.NO 59,,S,DA,26,58-59,217.3499482,5.11,328,,77.06522222,10.79847222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06522222222222 10.798472222222221, 77.06638888888888 10.796055555555556)"
T.NO 60,,S,DA,26,59-60,294.7151167,5.92,330,,77.06638889,10.79605556,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06638888888888 10.796055555555556, 77.06702777777777 10.79475)"
T.NO 61,,S,DA,26,60-61,161.0124219,5.85,327,,77.06702778,10.79475,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06702777777777 10.79475, 77.06794444444444 10.79288888888889)"
T.NO 62,,S,DA,26,61-62,228.0898946,4.78,329,,77.06794444,10.79288889,GOOD,GOOD,"LT,320KV",,CULTIVACTION,HVDC PUGALUR-TRISSUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06794444444444 10.79288888888889, 77.06880555555556 10.791083333333333)"
T.NO 63,,S,DA,26,62-63,222.7195546,5.1,330,,77.06880556,10.79108333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06880555555556 10.791083333333333, 77.06947222222222 10.789694444444445)"
T.NO 64,,S,DA,26,63-64,170.425937,5.97,328,,77.06947222,10.78969444,GOOD,GOOD,11KV,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06947222222222 10.789694444444445, 77.07066666666667 10.78725)"
T.NO 65,,T,DB,26,64-65,298.7440376,4.32,337,"0°34'19""",77.07066667,10.78725,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07066666666667 10.78725, 77.07158333333334 10.785444444444444)"
T.NO 66,,S,DA,26,65-66,224.0557966,4.14,333,,77.07158333,10.78544444,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07158333333334 10.785444444444444, 77.07238888888888 10.783722222222222)"
T.NO 67,,S,DA,26,66-67,208.0024038,4.02,329,,77.07238889,10.78372222,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07238888888888 10.783722222222222, 77.07341666666666 10.781527777777779)"
T.NO 68,,S,DA,26,67-68,268.3654225,5.25,326,,77.07341667,10.78152778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07341666666666 10.781527777777779, 77.07419444444444 10.780000000000001)"
T.NO 69,,S,DA,26,68-69,189.1718795,5.37,322,,77.07419444,10.78,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07419444444444 10.780000000000001, 77.07513888888889 10.778055555555556)"
T.NO 70,,S,DA,26,69-70,239.7102418,5.02,324,,77.07513889,10.77805556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07513888888889 10.778055555555556, 77.07591666666666 10.776444444444445)"
T.NO 71,,S,DA,26,70-71,196.3517252,5.83,318,,77.07591667,10.77644444,GOOD,GOOD,LT,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07591666666666 10.776444444444445, 77.07697222222222 10.774277777777778)"
T.NO 72,2W,T,DC,26,71-72,268.7787194,4.47,315,"27°11'32""",77.07697222,10.77427778,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07697222222222 10.774277777777778, 77.07869444444444 10.773000000000001)"
T.NO 73,,S,DA,26,72-73,235.2041666,4.11,319,,77.07869444,10.773,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07869444444444 10.773000000000001, 77.08022222222222 10.771833333333333)"
T.NO 74,,S,DA,26,73-74,210.4115016,4.87,327,,77.08022222,10.77183333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08022222222222 10.771833333333333, 77.08166666666666 10.770750000000001)"
T.NO 75,,S,DA,26,74-75,198.2145302,3.5,330,,77.08166667,10.77075,GOOD,GOOD,11KV,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08166666666666 10.770750000000001, 77.08338888888889 10.769444444444446)"
T.NO 76,,S,DA,26,75-76,237.6068181,5.4,338,,77.08338889,10.76944444,GOOD,GOOD,HT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08338888888889 10.769444444444446, 77.08494444444445 10.768305555555557)"
T.NO 77,,S,DA,26,76-77,212.6240814,5,332,,77.08494444,10.76830556,GOOD,GOOD,,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08494444444445 10.768305555555557, 77.08666666666666 10.767027777777779)"
T.NO 78,,S,DA,26,77-78,233.8054747,3.12,334,,77.08666667,10.76702778,GOOD,GOOD,HT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08666666666666 10.767027777777779, 77.08822222222221 10.765805555555556)"
T.NO 79,,S,DA,26,78-79,219.2715212,4.31,337,,77.08822222,10.76580556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08822222222221 10.765805555555556, 77.08983333333333 10.76463888888889)"
T.NO 80,,S,DA,26,79-80,217.0368632,3.37,337,,77.08983333,10.76463889,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08983333333333 10.76463888888889, 77.09158333333333 10.763333333333334)"
T.NO 81,,T,DB,24,80-81,239.4013367,4.54,345,"0°7'38""",77.09158333,10.76333333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09158333333333 10.763333333333334, 77.09288888888888 10.762361111111112)"
T.NO 82,,S,DA,26,81-82,178.600112,3.59,344,,77.09288889,10.76236111,GOOD,GOOD,,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09288888888888 10.762361111111112, 77.09452777777777 10.761111111111111)"
T.NO 83,,S,DA,26,82-83,226.6031774,4.23,348,,77.09452778,10.76111111,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09452777777777 10.761111111111111, 77.09622222222222 10.759916666666667)"
T.NO 84,,S,DA,26,83-84,227.8464395,4.03,354,,77.09622222,10.75991667,GOOD,GOOD,LT,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09622222222222 10.759916666666667, 77.09769444444444 10.758722222222222)"
T.NO 85,,T,DB,24,84-85,208.4922061,4.76,365,"1°30'3""",77.09769444,10.75872222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09769444444444 10.758722222222222, 77.09975 10.757166666666667)"
