S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
72,T.NO 53,S,DA,26,52-53,245.15301344262525,13.33,238,,77.65830555555556,11.657333333333334,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65830555555556 11.657333333333334, 77.65886111111112 11.659583333333334)"
73,T.NO 54,S,DA,26,53-54,257.8410362994999,8.84,236,,77.65886111111112,11.659583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65886111111112 11.659583333333334, 77.65925 11.661222222222223)"
74,T.NO 55,T,DD,28,54-55,184.17654573804992,12.72,241,"43°25'52""",77.65925,11.661222222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65925 11.661222222222223, 77.65794444444445 11.663388888888889)"
75,T.NO 56,T,DB,24,55-56,278.5139134765084,13.02,247,"11°18'57""",77.65794444444445,11.663388888888889,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65794444444445 11.663388888888889, 77.65725 11.665416666666667)"
76,T.NO 57,S,DA,26,56-57,238.4659304806454,8.72,252,,77.65725,11.665416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65725 11.665416666666667, 77.65630555555556 11.668111111111111)"
77,T.NO 58,T,DC,26,57-58,316.6275414426231,11.29,262,"26°27'53""",77.65630555555556,11.668111111111111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65630555555556 11.668111111111111, 77.65650000000001 11.669722222222221)"
78,T.NO 59,S,DA,26,58-59,179.12007146045917,9.16,265,,77.65650000000001,11.669722222222221,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65650000000001 11.669722222222221, 77.65669444444445 11.673583333333333)"
79,T.NO 60,S,DA,26,59-60,428.37833745417146,8.72,263,,77.65669444444445,11.673583333333333,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65669444444445 11.673583333333333, 77.6571388888889 11.674555555555555)"
80,T.NO 61,T,DB,24,60-61,116.36150566231085,7.04,263,"12°35'52""",77.6571388888889,11.674555555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6571388888889 11.674555555555555, 77.65694444444445 11.676722222222221)"
81,T.NO 62,T,DD,28,61-62,241.19701490690136,5.62,261,"67°2'53""",77.65694444444445,11.676722222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65694444444445 11.676722222222221, 77.65641666666667 11.676888888888888)"
82,GT 110KV CHENNAMPATTI SS,T,GT,15,62-GT,60.728905802755904,,263,,77.65641666666667,11.676888888888888,GOOD,MISSING,HT1,,PLAIN,110KV CHENNAMPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G87),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
