S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
72,71,,C,T,28,70-71,259,259.56708,5.26,400,"31⁰41'39"" LT",11.7527,78.50939,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50939 11.7527, 78.51048 11.75462)"
73,72,,D,T,26,71-72,245,243.4882388,4.72,400,"20⁰13'48"" RT",11.75462,78.51048,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51048 11.75462, 78.51169 11.75564)"
74,73,,C,T,26,72-73,175,173.657604,3.28,401,"19⁰44'59"" LT",11.75564,78.51169,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51169 11.75564, 78.51312 11.75811)"
75,74,,B,T,24,73-74,323,314.7251505,1.64,398,"8⁰1'16"" LT",11.75811,78.51312,GOOD,GOOD,LT LINE 3,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51312 11.75811, 78.51427 11.76096)"
76,75,,A,S,26,74-75,350,339.4454873,7.09,392,,11.76096,78.51427,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51427 11.76096, 78.51505 11.76278)"
77,76,,A,S,26,75-76,222,218.654992,6.83,395,,11.76278,78.51505,GOOD,GOOD,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51505 11.76278, 78.51606 11.76523)"
78,77,,C,T,26,76-77,296,292.6734249,10.71,394,"17⁰55'35"" LT",11.76523,78.51606,GOOD,GOOD,LT LINE 2,,VASHISTA RIVER,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51606 11.76523, 78.51633 11.76887)"
79,78,2W,B,T,26,77-78,413,403.9370517,9.67,395,"21⁰42'34"" RT",11.76887,78.51633,GOOD,GOOD,LT LINE 2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51633 11.76887, 78.51766 11.77157)"
80,79,,D,T,26,78-79,337,332.1634236,9.32,397,"22⁰34'3"" RT",11.77157,78.51766,GOOD,GOOD,,SAND ROAD CROSSING,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51766 11.77157, 78.51955 11.77322)"
81,80,,A,S,26,79-80,282,275.3656842,3.02,398,,11.77322,78.51955,GOOD,GOOD,"LT LINE 2,22KV LINE 1",SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51955 11.77322, 78.52168 11.77503)"
82,81,,D,T,28,80-81,312,306.7237083,3.85,398,"35⁰34'46"" LT",11.77503,78.52168,GOOD,GOOD,LT LINE 1,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52168 11.77503, 78.52236 11.77779)"
83,82,,C,T,26,81-82,318,314.3373494,5.33,400,"19⁰59'54"" LT",11.77779,78.52236,GOOD,GOOD,"LT LINE 3,22KV LINE 2",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52236 11.77779, 78.5219 11.78186)"
84,83,,D,T,28,82-83,457,453.2360905,1.66,402,"42⁰21'16"" RT",11.78186,78.5219,GOOD,GOOD,22KV LINE 1,TAR ROAD CROSSING,,HOSPITAL AREA COMOUND WALL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5219 11.78186, 78.52322 11.78365)"
85,84,,D,T,26,83-84,248,244.8790728,0.98,409,"20⁰31'34"" LT",11.78365,78.52322,GOOD,GOOD,22KV LINE 1,TAR ROAD CROSSING,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52322 11.78365, 78.5239 11.78607)"
86,85,,D,T,26,84-85,281,277.9104918,0.86,411,"16⁰8'56"" RT",11.78607,78.5239,GOOD,GOOD,,,SMALL HILLS CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5239 11.78607, 78.52465 11.78727)"
87,86,,D,T,26,85-86,159,155.9712891,7.64,414,"24⁰2'25"" LT",11.78727,78.52465,GOOD,GOOD,,,,FENCING & SMALL PIT CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52465 11.78727, 78.5247 11.78764)"
88,THUMBAL GANTRY,2W,T,T,20,86-GANTRY,41,41.31146216,,412,,11.78764,78.5247,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
