Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-82,DC,T,26,81-82,234.30749027719963,8.16,275,"29°3'8.06""",76.97794444444445,10.687722222222222,GOOD,GOOD,NO,22KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97794444444445 10.687722222222222, 76.9775 10.68613888888889)"
T.NO-83,DD,T,28,82-83,180.76780686836912,8.51,273,"55°4'5.95""",76.9775,10.68613888888889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9775 10.68613888888889, 76.97586111111112 10.685583333333334)"
T.NO-84,DB,T,24,83-84,188.4887264533346,4.2,271,"8°9'1.84""",76.97586111111112,10.685583333333334,GOOD,GOOD,NO,2nos 22KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97586111111112 10.685583333333334, 76.9738888888889 10.685222222222222)"
T.NO-85,DB,T,24,84-85,219.06391761310215,10.88,268,"14°8'2.40""",76.9738888888889,10.685222222222222,GOOD,GOOD,NO,2nos LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9738888888889 10.685222222222222, 76.97205555555556 10.68438888888889)"
T.NO-86,DB,T,24,85-86,223.22410264126944,1.92,262,"6°31'30.54""",76.97205555555556,10.68438888888889,GOOD,GOOD,NO,"2nos 22KV ,2nos LT","MUDROAD,TAA ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97205555555556 10.68438888888889, 76.97066666666667 10.683916666666667)"
T.NO-87,DD,T,28,86-87,159.38004893963358,1.89,258,"35°45'54.15""",76.97066666666667,10.683916666666667,GOOD,GOOD,YES,"3nos 22KV,LT",MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97066666666667 10.683916666666667, 76.97055555555556 10.683972222222222)"
GANTRY THALAKARAI 110KV SS,GANTRY,GANTRY,20,87-GANTRY,13.601470508735444,,260,,76.97055555555556,10.683972222222222,GOOD,MISSING,NO,,,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F8:F94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
