Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO -51,DD,T,28,50-51,32.016,5.93,262,"37°53'57.35""",76.92194444444445,10.606,GOOD,GOOD,,,YES,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92194444444445 10.606, 76.9205 10.60775)"
T.NO -52,DA,S,26,51-52,252.105,6.25,261,,76.9205,10.60775,GOOD,GOOD,,NALA,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9205 10.60775, 76.91900000000001 10.609638888888888)"
T.NO -53,DC,T,26,52-53,264.715,6.58,262,"19°41'50.90""",76.91900000000001,10.609638888888888,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91900000000001 10.609638888888888, 76.91666666666667 10.611083333333333)"
T.NO -54,DA,S,26,53-54,302.209,4.56,257,,76.91666666666667,10.611083333333333,GOOD,GOOD,,MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91666666666667 10.611083333333333, 76.91455555555557 10.612361111111111)"
T.NO -55,DC,T,26,54-55,270.113,4.96,254,"22°44'20.46""",76.91455555555557,10.612361111111111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91455555555557 10.612361111111111, 76.91308333333333 10.614388888888888)"
T.NO -56,DA,S,26,55-56,277.029,5.68,260,,76.91308333333333,10.614388888888888,GOOD,GOOD,,MUD ROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91308333333333 10.614388888888888, 76.91163888888889 10.616388888888888)"
T.NO -57,DA,S,26,56-57,270.046,3.12,256,,76.91163888888889,10.616388888888888,GOOD,GOOD,,"MUDROAD,NALA",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91163888888889 10.616388888888888, 76.91030555555557 10.618083333333335)"
T.NO -58,DD,T,28,57-58,238.481,4.96,256,"30°48'4.60""",76.91030555555557,10.618083333333335,GOOD,GOOD,"22KV,LT",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91030555555557 10.618083333333335, 76.90747222222222 10.619166666666667)"
T.NO -59,DD,T,28,58-59,331.699,6.73,248,"64°2'46.39""",76.90747222222222,10.619166666666667,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90747222222222 10.619166666666667, 76.90722222222223 10.622111111111112)"
T.NO -60,DA,S,26,59-60,325.295,6.1,253,,76.90722222222223,10.622111111111112,GOOD,GOOD,22KV,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90722222222223 10.622111111111112, 76.90705555555556 10.624333333333334)"
T.NO -61,DB,T,33,60-61,247.808,4.18,234,"2°13'20.26""",76.90705555555556,10.624333333333334,GOOD,GOOD,,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90705555555556 10.624333333333334, 76.90677777777779 10.626666666666667)"
T.NO -62,DD,T,37,61-62,259.856,4.63,238,"60°15'15.36""",76.90677777777779,10.626666666666667,GOOD,GOOD,,"NON ELECTRICAL RAILWAY CROSSING,B/M ROAD",YES,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90677777777779 10.626666666666667, 76.90408333333333 10.627805555555556)"
T.NO -63,DB,T,24,62-63,321.311,,239,"2°40'9.63""",76.90408333333333,10.627805555555556,GOOD,GOOD,"2nos LT ,22KV",,YES,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90408333333333 10.627805555555556, 76.90391666666667 10.62788888888889)"
GANTRY M.N PALAYAM,GANTRY,GANTRY,20,63-GANTRY,20.248,,239,,76.90391666666667,10.62788888888889,GOOD,MISSING,,,NO,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,=SUM(F8:F70),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
