Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms) (Ω),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33,,DA,34,32-33,270,252.4265145,0.5,853,,12.70304,77.85221,Good,Good,,,EUCYLPTAS FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85221 12.70304, 77.8534 12.70085)"
34,,DA,34,33-34,270,274.8117878,2.27,850,,12.70085,77.8534,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8534 12.70085, 77.85457 12.6987)"
35,,DA,34,34-35,280,269.8819669,3.3,852,,12.6987,77.85457,Good,Good,LT-1,TAR ROAD,"MINI HILLS,LONG PIT COMPOUND WALL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85457 12.6987, 77.85562 12.69673)"
36,,DC,34,35-36,260,246.1676098,4.21,865,"56°38'34""(LT)",12.69673,77.85562,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85562 12.69673, 77.85775 12.69652)"
37,,DC+3,37,36-37,270,232.6974621,3.75,861,"39°29'39""(LT)",12.69652,77.85775,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85775 12.69652, 77.85935 12.69757)"
38,,DC,34,37-38,235,209.1962657,5.03,853,"54°03'50""(RT)",12.69757,77.85935,Good,Good,LT-2 ,,COMPOUND PH INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85935 12.69757, 77.86191 12.69664)"
39,,DA,34,38-39,305,296.7133442,3.97,845,,12.69664,77.86191,Good,Good,LT-2,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86191 12.69664, 77.86404 12.69581)"
40,,DC,34,39-40,320,249.104055,4.33,854,"29°05'15""(RT)",12.69581,77.86404,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86404 12.69581, 77.86593 12.69354)"
41,,DA+3,37,40-41,320,324.6127636,1.97,846,,12.69354,77.86593,Good,Good,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86593 12.69354, 77.86734 12.69178)"
42,,DA+3,37,41-42,269,247.9173709,2.21,831,,12.69178,77.86734,Good,Good,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86734 12.69178, 77.86929 12.68949)"
43,,DC,34,42-43,250,330.4782004,3.09,831,"53°30'58""(RT)",12.68949,77.86929,Good,Good,11KV-1 LT-1,,HILLS AREA(SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86929 12.68949, 77.86872 12.68718)"
44,,DA,34,43-44,230,263.1540149,2.98,834,,12.68718,77.86872,Good,Good,LT-1,DHARMAPURI TO HOSUR SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86872 12.68718, 77.86822 12.68532)"
45,,DB,32,44-45,252,212.9847969,3.21,842,"21°29'30""(LT)",12.68532,77.86822,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86822 12.68532, 77.86842 12.68365)"
46,,DA,34,45-46,320,186.170332,4.4,835,,12.68365,77.86842,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86842 12.68365, 77.86867 12.68144)"
47,2W,DB,32,46-47,306,246.1880101,5.39,835,"21°23'39""(LT)",12.68144,77.86867,Good,Good,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86867 12.68144, 77.86935 12.68017)"
48,,DC,34,47-48,190,158.8572083,10.3,841,"30°37'44""(LT)",12.68017,77.86935,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86935 12.68017, 77.8719 12.67865)"
49,,DA,34,48-49,190,327.7764441,8.27,841,,12.67865,77.8719,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8719 12.67865, 77.8741 12.67755)"
50,,DC+3,37,49-50,170,265.0925783,6.32,831,"47°04'45""(RT)",12.67755,77.8741,Good,Good,11KV-1 LT-1,SHODAGIRI TO DHARMAPURI ROAD JOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8741 12.67755, 77.8746 12.67587)"
51,,DA,34,50-51,205,193.7838647,0.89,828,,12.67587,77.8746,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8746 12.67587, 77.87521 12.67392)"
52,,DC,34,51-52,290,225.8529992,3.3,838,"07°40'41""(LT)",12.67392,77.87521,Good,Good,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87521 12.67392, 77.87575 12.67277)"
53,,DA,34,52-53,285,140.2062802,3.31,844,,12.67277,77.87575,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87575 12.67277, 77.87672 12.67094)"
54,,DC,34,53-54,224,228.4115326,4.52,848,"17°35'00""(RT)",12.67094,77.87672,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87672 12.67094, 77.87693 12.66976)"
55,,DA,34,54-55,265,132.6259392,5.12,848,,12.66976,77.87693,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87693 12.66976, 77.87726 12.66815)"
56,,DB,32,55-56,265,181.828983,4.5,858,"23°51'25""(RT)",12.66815,77.87726,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87726 12.66815, 77.87678 12.66602)"
57,,DB,34,56-57,265,241.5319966,3.71,851,"21°04'10""(RT)",12.66602,77.87678,Good,Good,11KV-1 LT-1,DHARMAPURI TO HOSUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87678 12.66602, 77.87547 12.66408)"
