Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,,PA(T),36,38-39,300,252.4722346,4.57,882,"35°38'45""(RT)",12.82129,77.82248,Good,Good,"110KV NEW LINE-1,33KV-1,LT LINE-1",WATER LAKE CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82248 12.82129, 77.82424 12.82243)"
40,,PA(S),34,39-40,270,229.1126253,1.23,875,"00°00'00""",12.82243,77.82424,Good,Good,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82424 12.82243, 77.82633 12.82377)"
41,,PA(S),34,40-41,270,271.2351158,5.75,872,"00°00'00""",12.82377,77.82633,Good,Good,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82633 12.82377, 77.82842 12.82502)"
42,2W,PB(T),32,41-42,170,265.9153778,0.67,874,"11°08'44""(LT)",12.82502,77.82842,Good,Good,,,,LAKE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82842 12.82502, 77.83011 12.82654)"
43,,PA(S),34,42-43,250,249.0610721,0.39,870,"00°00'00""",12.82654,77.83011,Good,Good,LT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83011 12.82654, 77.83159 12.82788)"
44,,PA(T),32,43-44,250,218.7774481,0.39,869,"13°05'35""(RT)",12.82788,77.83159,Good,Good,,"LAKE CROSSING,TOWER IN LAKE",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83159 12.82788, 77.83385 12.82914)"
45,,PA(S),34,44-45,250,282.3934253,0.38,870,"00°00'00""",12.82914,77.83385,Good,Good,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83385 12.82914, 77.83569 12.83016)"
46,,PA(T),36,45-46,250,229.5940882,0.37,869,"35°47'31""(LT)",12.83016,77.83569,Good,Good,LT LINE CROSSING,COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83569 12.83016, 77.83662 12.83214)"
47,,PA(S),34,46-47,200,241.378404,1.62,868,"00°00'00""",12.83214,77.83662,Good,Good,LT LINE CROSSING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83662 12.83214, 77.83765 12.83428)"
48,,PB(T),36,47-48,180,262.0250457,1.82,863,"31°55'33""(LT)",12.83428,77.83765,Good,Good,"11KV-1,LT-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83765 12.83428, 77.83739 12.83647)"
49,,PA(T),34,48-49,150,244.1049727,3.69,862,"21°36'06""(RT)",12.83647,77.83739,Good,Good,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83739 12.83647, 77.83791 12.83838)"
50,,PA(T),36,49-50,260,218.880982,1.89,859,"30°33'50""(LT)",12.83838,77.83791,Good,Good,LT-3,SMALL CANAL CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83791 12.83838, 77.83752 12.83975)"
51,,PA(T),36,50-51,250,157.4855858,0.67,858,"62°19'12""(RT)",12.83975,77.83752,Good,Good,,SMALL CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83752 12.83975, 77.83884 12.84097)"
52,,PA(T),36,51-52,190,196.998843,1.59,856,"31°48'17""(RT)",12.84097,77.83884,Good,Good,"LT LINE,33KV LINE CROSSING",HOSUR TO BAGALUR TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83884 12.84097, 77.8417 12.84154)"
53,,PB(T),36,52-53,177,317.0475515,0.91,861,"35°19'39""(RT)",12.84154,77.8417,Good,Good,"11KV-1,33KV-1","LAKE CROSSING,SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8417 12.84154, 77.84419 12.84046)"
54,,PA(S),34,53-54,345,295.7572421,1.34,863,"00°00'00""",12.84046,77.84419,Good,Good,,,,COMPOUND INSIDE TOWER(NBR HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84419 12.84046, 77.84624 12.83961)"
55,,PA(T),32,54-55,275,241.7759682,2.01,867,"05°26'27""(RT)",12.83961,77.84624,Good,Good,"11KV-1,33KV-1,LT-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84624 12.83961, 77.84743 12.83898)"
56,,PA(T),36,55-56,325,146.8965464,0.68,865,"90°00'00""(RT)",12.83898,77.84743,Good,Good,"11KV-1,33KV-1",,,SUB-STATION INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84743 12.83898, 77.8467 12.83774)"
57,,PB(T),36,56-57,198,158.5477228,1.45,871,"95°10'00""(RT)",12.83774,77.8467,Good,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8467 12.83774, 77.84657 12.83783)"
GANTRY (BAGALUR),2W,T,20,57-GANTRY,,17.28446216,,870,,12.83783,77.84657,Good,NO EARTH WIRE,"TOWER NO 57 TO GANTRY, NO EARTH WIRE,SUB-STATION INSIDE TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL=,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
