Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
103,,S,26,102 to 103 ,291.5406347,8.5,151,,11.09646,77.852044,Good,Good,11 KV  ,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.852044 11.09646, 77.853445 11.093936)"
104,,S,26,103 to 104 ,318.6529744,9.2,151,,11.093936,77.853445,Good,Good,LT Line ,Road crossing ,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853445 11.093936, 77.854807 11.091474)"
105,,S,26,104 to 105 ,310.5857387,7.9,156,,11.091474,77.854807,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.854807 11.091474, 77.855973 11.08933)"
106,,S,26,105 to 106 ,269.4243568,8,158,,11.08933,77.855973,Good,Good,,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.855973 11.08933, 77.857249 11.087023)"
107,,S,26,106 to107,291.0205483,8.5,159,,11.087023,77.857249,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857249 11.087023, 77.858588 11.084509)"
108,,S,26,107 to 108 ,314.4733584,10.2,156,,11.084509,77.858588,Good,Good,11 KV  ,Road crossing ,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.858588 11.084509, 77.859933 11.081952)"
109,,S,26,108 to 109 ,318.996807,7.5,127,,11.081952,77.859933,Good,Good,LT Line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.859933 11.081952, 77.861474 11.079359)"
110,,T,24,109 to 110,332.8589089,8,155,"3°2'36"" LT",11.079359,77.861474,Good,Good,LT-11 Kv line ,Road crossing ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.861474 11.079359, 77.862723 11.077492)"
111,2W,S,26,110 to 111 ,247.7331505,6.3,149,,11.077492,77.862723,Good,Good,2-LT ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.862723 11.077492, 77.864303 11.075177)"
112,,S,26,111 to 112 ,309.079166,6.2,144,,11.075177,77.864303,Good,Good,LT-11 Kv line ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.864303 11.075177, 77.866048 11.072647)"
113,,S,26,112 to 113 ,338.9057161,8.5,145,,11.072647,77.866048,Good,Good,LT Line ,,Plain,Tappioca Plantation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866048 11.072647, 77.867588 11.070349)"
114,,S,26,113 to 114 ,305.0869073,9.5,154,,11.070349,77.867588,Good,Good,LT Line ,Road crossing ,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.867588 11.070349, 77.86911 11.068117)"
115,,S,26,114 to 115 ,297.9184751,9,139,,11.068117,77.86911,Good,Good,,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86911 11.068117, 77.870872 11.065613)"
116,,S,26,115 to 116 ,337.5922729,12,141,,11.065613,77.870872,Good,Good,LT Line ,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.870872 11.065613, 77.872418 11.063318)"
117,3W,S,26,116 to 117 ,305.1763935,10,144,,11.063318,77.872418,Good,Good,11 KV  ,Road crossing ,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.872418 11.063318, 77.87403 11.06093)"
118,3W,S,26,117 to 118 ,317.7473779,5.5,137,,11.06093,77.87403,Good,Good,,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87403 11.06093, 77.875786 11.058336)"
119,,S,26,118 to 119 ,345.4591814,7.2,151,,11.058336,77.875786,Good,Good,,,Plain,Residential Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.875786 11.058336, 77.877606 11.055654)"
120,,S,26,119 to 120 ,357.4496208,12.5,146,,11.055654,77.877606,Good,Good,,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.877606 11.055654, 77.87926 11.053172)"
121,,S,26,120 to 121,328.9632229,8.1,139,"27°55'36"" LT",11.053172,77.87926,Good,Good,LT Line ,,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87926 11.053172, 77.881577 11.051918)"
122,,T,24,121 to 122,288.9217553,7.9,149,"0°20'49"" RT",11.051918,77.881577,Good,Good,,Road crossing ,Plain,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.881577 11.051918, 77.883382 11.050927)"
122A,,T,24,122 to 122A ,225.8325606,7.4,154,"2°49'9"" LT",11.050927,77.883382,Good,Good,,,Plain,Tapping to 110Kv Kodumudi SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPAN LENGTH,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
