Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-61,,S,DA,26,62-61,305.1966579,14.1,321,,77.06744444,10.55308333,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06744444444445 10.553083333333333, 77.06480555555555 10.552833333333334)"
T.NO-60,,S,DA,26,61-60,290.5529212,12.14,319,,77.06480556,10.55283333,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06480555555555 10.552833333333334, 77.06194444444444 10.552583333333335)"
T.NO-59,2W,T,DD,28,60-59,314.4344129,12.4,311,"38°13'11.53""",77.06194444,10.55258333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06194444444444 10.552583333333335, 77.06008333333332 10.550833333333333)"
T.NO-58,,S,DA,26,59-58,279.37967,,319,,77.06008333,10.55083333,GOOD,GOOD,NO,"LT,22KV",TAAR ROAD,CULTIVATION,TOWER IN SIDE THE FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06008333333332 10.550833333333333, 77.05816666666666 10.549083333333334)"
T.NO-57,,S,DA,26,58-57,287.2559834,10.12,316,,77.05816667,10.54908333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05816666666666 10.549083333333334, 77.05613888888888 10.547194444444445)"
T.NO-56,,S,DA,26,57-56,304.1085333,16.73,310,,77.05613889,10.54719444,GOOD,GOOD,NO,22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05613888888888 10.547194444444445, 77.05413888888889 10.545277777777777)"
T.NO-55,,S,DA,26,56-55,306.2172431,12.67,307,,77.05413889,10.54527778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05413888888889 10.545277777777777, 77.05208333333333 10.543416666666667)"
T.NO-54,,S,DA,26,55-54,304.9475365,14.24,301,,77.05208333,10.54341667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05208333333333 10.543416666666667, 77.04991666666666 10.541361111111112)"
T.NO-53,,S,DA,26,54-53,327.4522866,16.74,294,,77.04991667,10.54136111,GOOD,GOOD,NO,"LT,22KV",CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04991666666666 10.541361111111112, 77.048 10.539555555555555)"
T.NO-52,,S,DA,26,53-52,289.2490277,16.54,292,,77.048,10.53955556,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.048 10.539555555555555, 77.04644444444445 10.53813888888889)"
