Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
174,S,26,175-174,352,348.77858493567453,7.06,224,,11.56953,78.61902,GOOD,GOOD,LT LINE CROSSING-1,"ROAD CROSSING,SAND ROAD CROSSING",,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61902 11.56953, 78.61615 11.57015)"
173,S,26,174-173,320,320.60191035281565,6.54,227,,11.57015,78.61615,GOOD,GOOD,LT LINE CROSSING-1,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61615 11.57015, 78.61309 11.57079)"
172,S,26,173-172,341,341.335542560309,5.09,229,,11.57079,78.61309,GOOD,GOOD,LT LINE CROSSING-1,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61309 11.57079, 78.60967 11.57149)"
171,S,26,172-171,381,381.1450534709162,7.78,227,,11.57149,78.60967,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60967 11.57149, 78.60667 11.57214)"
170,S,26,171-170,335,335.16937418292173,5.16,231,,11.57214,78.60667,GOOD,GOOD,LT LINE CROSSING-2,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60667 11.57214, 78.60376 11.57274)"
169,S,26,170-169,323,324.4066072521927,11.26,234,,11.57274,78.60376,GOOD,GOOD,LT LINE CROSSING,ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60376 11.57274, 78.60098 11.57332)"
168,S,26,169-168,309,310.0692187481073,7.63,236,,11.57332,78.60098,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60098 11.57332, 78.5983 11.57388)"
167,S,26,168-167,299,298.93543907282964,1.63,238,,11.57388,78.5983,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING ,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5983 11.57388, 78.59518 11.57454)"
166,T,26,167-166,347,348.20039470464326,9.35,237,"20⁰33'37"" RT",11.57454,78.59518,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59518 11.57454, 78.59276 11.57607)"
165,S,26,166-165,314,313.69241458515774,7.76,242,,11.57607,78.59276,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING", ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59276 11.57607, 78.59037 11.5776)"
164,S,26,165-164,311,310.94105169930197,1.76,241,,11.5776,78.59037,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59037 11.5776, 78.58797 11.57914)"
163,S,26,164-163,312,312.4584335064543,8.38,239,,11.57914,78.58797,GOOD,GOOD,,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58797 11.57914, 78.58548 11.5807)"
162,S,26,163-162,322,321.9152023399121,3.76,237,,11.5807,78.58548,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58548 11.5807, 78.58351 11.582)"
161,S,26,162-161,259,258.66483252721105,6.73,240,,11.582,78.58351,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING", ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58351 11.582, 78.58112 11.58349)"
160,S,26,161-160,308,308.5502052795264,5.79,242,,11.58349,78.58112,GOOD,GOOD,,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58112 11.58349, 78.57847 11.5852)"
159,S,26,160-159,346,345.58302197317437,10.14,239,,11.5852,78.57847,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57847 11.5852, 78.57607 11.58674)"
158,S,26,159-158,312,312.4551842423548,3.27,243,,11.58674,78.57607,GOOD,GOOD,LT LINE CROSSING,. SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57607 11.58674, 78.57346 11.58839)"
157,S,26,158-157,338,338.307984862029,7.91,247,,11.58839,78.57346,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING", ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57346 11.58839, 78.57074 11.59013)"
156,S,26,157-156,355,353.7926765571143,10.63,243,,11.59013,78.57074,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57074 11.59013, 78.56824 11.59173)"
