Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 39,,,T,DB,24,38-39,333.1816321,4.83,343,"0°15'48""",77.05602778,10.81605556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05602777777777 10.816055555555556, 77.05711111111111 10.813805555555556)"
T.NO 40,,,S,DA,26,39-40,276.8429157,5.67,334,,77.05711111,10.81380556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05711111111111 10.813805555555556, 77.05833333333334 10.811305555555556)"
T.NO 41,,,S,DA,26,40-41,305.4521239,5.9,326,,77.05833333,10.81130556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05833333333334 10.811305555555556, 77.05941666666666 10.809027777777779)"
T.NO 42,,,S,DA,26,41-42,278.2103521,8.23,321,,77.05941667,10.80902778,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05941666666666 10.809027777777779, 77.06069444444444 10.806444444444445)"
T.NO 43,,,S,DA,26,42-43,318.8683114,6.21,317,,77.06069444,10.80644444,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06069444444444 10.806444444444445, 77.06194444444444 10.803861111111113)"
T.NO 44,,,S,DA,26,43-44,318.4273858,5.25,325,,77.06194444,10.80386111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06194444444444 10.803861111111113, 77.06294444444444 10.801805555555557)"
T.NO 45,,2W,T,DB,24,44-45,253.1264506,6.85,332,"1°31'6""",77.06294444,10.80180556,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06294444444444 10.801805555555557, 77.06402777777778 10.79975)"
T.NO 46,,,S,DA,26,45-46,253.179778,4.98,333,,77.06402778,10.79975,GOOD,GOOD,11KV,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06402777777778 10.79975, 77.06516666666667 10.797583333333334)"
T.NO 47,,,S,DA,26,46-47,272.8827587,6.12,334,,77.06516667,10.79758333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06516666666667 10.797583333333334, 77.06644444444444 10.79513888888889)"
T.NO 48,,,S,DA,26,47-48,304.1381265,6.41,338,,77.06644444,10.79513889,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06644444444444 10.79513888888889, 77.06755555555556 10.792972222222222)"
