S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
46,100,GCR+3 S,DA+3,29,101-100,285,311.9838091524212,0.71,493,,12.46069,78.32027,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32027 12.46069, 78.31872 12.45888)"
47,99,HCR T,DC,26,100-99,200,261.8725449561912,0.58,493,"19°32'35""(LT)",12.45888,78.31872,GOOD,GOOD,,SMALL HILLS AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31872 12.45888, 78.31811 12.45728)"
48,98,HCR T,DC,26,99-98,200,189.14007843709476,0.44,495,"24°07'34""(RT)",12.45728,78.31811,GOOD,GOOD,LT LINE-1,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31811 12.45728, 78.31636 12.45554)"
49,97,HCR+3 T,DC+3,29,98-97,265,270.82076683801324,0.78,492,"29°09'32""(RT)",12.45554,78.31636,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31636 12.45554, 78.31415 12.45491)"
50,96,GCR+3 S,DA+3,29,97-96,260,250.3312061273041,0.92,489,,12.45491,78.31415,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31415 12.45491, 78.31186 12.45424)"
51,95,KCR T,DD,28,96-95,260,259.9307238546637,1.67,485,"30°41'10""(LT)",12.45424,78.31186,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31186 12.45424, 78.31029 12.45257)"
52,94,KCR T,DD,28,95-94,260,251.68980524799866,5.34,483,"49°46'54""(LT)",12.45257,78.31029,GOOD,GOOD,"11KV LINE-1,33KV LINE-1,LT LINE-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31029 12.45257, 78.31049 12.45098)"
53,93,HCR T,DC,26,94-93,180,177.35063304522834,4.76,481,"21°41'59""(RT)",12.45098,78.31049,GOOD,GOOD,"LT LINE-1,33KV LINE",TAR ROAD CROSSING(PUDUR ROAD),AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31049 12.45098, 78.30991 12.4488)"
54,92,GCR S,DA,26,93-92,250,249.4358859690389,2.19,480,,12.4488,78.30991,GOOD,GOOD,LT LINE-3,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30991 12.4488, 78.30943 12.4468)"
55,91,GCR+3 S,DA+3,29,92-91,250,227.47248357332884,1.49,479,,12.4468,78.30943,GOOD,GOOD,33KV KV LINE CROSSING,TOWER IN LAKE,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30943 12.4468, 78.30893 12.44475)"
