Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 160,S,DA,26,159-160,298.56057901464305,4.72,244.268524,,77.52222222222223,10.776833333333334,GOOD,GOOD,,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52222222222223 10.776833333333334, 77.522 10.779555555555556)"
T.NO 161,T,DB,24,160-161,302.4580844738004,5.61,243.128616,"0°0'57""",77.522,10.779555555555556,GOOD,GOOD,,RIVER,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.522 10.779555555555556, 77.52177777777777 10.782277777777779)"
T.NO 162,S,DA,26,161-162,303.83636948087275,6.32,246.063934,,77.52177777777777,10.782277777777779,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52177777777777 10.782277777777779, 77.52163888888889 10.784527777777777)"
T.NO 163,S,DA,26,162-163,249.9268449279287,5.26,252.481125,,77.52163888888889,10.784527777777777,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52163888888889 10.784527777777777, 77.52141666666667 10.786999999999999)"
T.NO 164,S,DA,26,163-164,273.25136945054373,5.13,256.586914,,77.52141666666667,10.786999999999999,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52141666666667 10.786999999999999, 77.52119444444445 10.789833333333334)"
T.NO 165,S,DA,26,164-165,314.39353606906246,5.19,256.12854,,77.52119444444445,10.789833333333334,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52119444444445 10.789833333333334, 77.52102777777777 10.792305555555556)"
T.NO 166,T,DB,24,165-166,273.44046566891245,6.14,258.890839,"0°1'1""",77.52102777777777,10.792305555555556,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52102777777777 10.792305555555556, 77.52083333333333 10.794777777777778)"
T.NO 167,S,DA,26,166-167,274.2022652696684,5.96,257.831848,,77.52083333333333,10.794777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52083333333333 10.794777777777778, 77.52058333333333 10.797777777777778)"
T.NO 168,S,DA,26,167-168,333.89591703469824,5.63,258.801941,,77.52058333333333,10.797777777777778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52058333333333 10.797777777777778, 77.52038888888889 10.80038888888889)"
T.NO 169,S,DA,26,168-169,290.36855695957155,5.86,261.171326,,77.52038888888889,10.80038888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52038888888889 10.80038888888889, 77.52022222222222 10.802833333333334)"
