S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,T.NO 45,S,DA,DC,26,44-45,NO,216.60101569475614,1.5,341,,77.20397222222222,11.097527777777778,GOOD,GOOD,NO,11kv,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20397222222222 11.097527777777778, 77.20583333333333 11.098472222222222)"
64,T.NO 46,S,DA,DC,26,45-46,NO,228.12277396174193,8.58,345,,77.20583333333333,11.098472222222222,GOOD,GOOD,NO,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20583333333333 11.098472222222222, 77.20766666666667 11.099416666666666)"
65,T.NO 47,S,DA,DC,26,46-47,YES,225.94247055390008,1.3,348,,77.20766666666667,11.099416666666666,GOOD,GOOD,NO,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20766666666667 11.099416666666666, 77.20905555555557 11.100138888888889)"
66,T.NO 48,T,DB,DC,24,47-48,YES,174.0028735394907,2.1,351,"0°17'17""",77.20905555555557,11.100138888888889,GOOD,GOOD,NO,2nos 11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20905555555557 11.100138888888889, 77.21105555555556 11.101166666666666)"
67,T.NO 49,S,DA,DC,26,48-49,NO,244.70594598415462,30 (1000),346,,77.21105555555556,11.101166666666666,GOOD,MISSING,NO,400KV CROSSING ABOVE OUR LINE,,PLAIN,NO EARTH WIRE. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21105555555556 11.101166666666666, 77.21294444444445 11.10211111111111)"
68,T.NO 50,S,DA,DC,26,49-50,NO,230.7834482799839,9.8,341,,77.21294444444445,11.10211111111111,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21294444444445 11.10211111111111, 77.21475000000001 11.103055555555555)"
69,T.NO 51,S,DA,DC,26,50-51,NO,223.3047245357787,4.4,333,,77.21475000000001,11.103055555555555,GOOD,GOOD,NO,4 nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21475000000001 11.103055555555555, 77.21686111111111 11.104111111111111)"
70,T.NO 52,S,DA,DC,26,51-52,NO,258.96138708309394,28 (1000),338,,77.21686111111111,11.104111111111111,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21686111111111 11.104111111111111, 77.21863888888889 11.105055555555555)"
71,T.NO 53,S,DA,DC,26,52-53,NO,221,22 (1000),351,,77.21863888888889,11.105055555555555,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21863888888889 11.105055555555555, 77.22022222222222 11.10586111111111)"
72,T.NO 54,S,DA,DC,26,53-54,YES,195.05896544378575,28 (1000),344,,77.22022222222222,11.10586111111111,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22022222222222 11.10586111111111, 77.22208333333333 11.106805555555555)"
