Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs)As per Tower Schedule ,,Sapn  Length (mtrs),Difference between span length,Latitude,Longitude,,,,,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,,,
48,PA +3/S,S,23.9,47 TO 48 ,,290,,281.2849543991769,=G54-I54,12.26787,78.20537,,,,,8.2,450,"9⁰50'14"" RT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20537 12.26787, 78.20614 12.27032)",,,,,,,,,,,,,,,,,,,,,
49,PA +3/S,S,23.9,48 TO 49,,290,,283.891627133337,=G55-I55,12.27032,78.20614,,,,,7.9,454,,good,good,800 KV HVDC Raighar to PugalurLine crossing ,,AGRI LAND,800 KV HVDC Raighar to Pugalur Line crossing ,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20614 12.27032, 78.20691 12.27269)",,,,,,,,,,,,,,,,,,,,,
50,PA +3/S,S,23.9,49 TO 50 ,,290,,275.44210371323624,=G56-I56,12.27269,78.20691,,,,,6.5,443,,good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20691 12.27269, 78.20775 12.27534)",,,,,,,,,,,,,,,,,,,,,
51,PA/S,S,20.9,50 T0 51,,290,,307.2961852314392,=G57-I57,12.27534,78.20775,,,,,7.6,459,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20775 12.27534, 78.2086 12.2779)",,,,,,,,,,,,,,,,,,,,,
52,PA/S,S,20.9,51 TO 52,,290,,298.1345112877586,=G58-I58,12.2779,78.2086,,,,,7,446,,good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2086 12.2779, 78.20926 12.27995)",,,,,,,,,,,,,,,,,,,,,
53,PB +3/T,T,23.85,52 TO 53,,277,,238.0515212378695,=G59-I59,12.27995,78.20926,2W,,,,3.2,453,"8⁰13'37""  LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20926 12.27995, 78.20972 12.2827)",,,,,,,,,,,,,,,,,,,,,
54,PB/T,T,20.85,53 TO 54,,310,,308.5341336634386,=G60-I60,12.2827,78.20972,,,,,6.2,456,"21⁰49'40""   LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20972 12.2827, 78.20913 12.28532)",,,,,,,,,,,,,,,,,,,,,
55,PA/S,S,20.9,54 TO 55,,270,,297.07788228723575,=G61-I61,12.28532,78.20913,,,,,6.9,457,,good,good,230 KV Palavadi  to Thiruppattur Double circuit  line crossing ,,AGRI LAND,230 KV Palavadi  to Thiruppattur Double circuit  line crossing ,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20913 12.28532, 78.20866 12.28742)",,,,,,,,,,,,,,,,,,,,,
56,PB +3/T,T,23.85,55 TO 56,,276,,238.04781882558794,=G62-I62,12.28742,78.20866,,,,,5.8,458,"27⁰17'4""  RT",good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20866 12.28742, 78.2093 12.28979)",,,,,,,,,,,,,,,,,,,,,
57,PA/S,S,20.9,56 TO 57,,280,,271.467959933997,=G63-I63,12.28979,78.2093,,,,,6.7,459,,good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2093 12.28979, 78.21001 12.29217)",,,,,,,,,,,,,,,,,,,,,
