Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
T.NO-159,DA,S,26,160-159,294.838939083697,6.55,304,,77.47181998,11.21333613,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47181998 11.21333613, 77.46969368 11.21191701)",,,,,,,,,,,,,,
T.NO-158,DA,S,26,159-158,280.43180989324304,4.81,290,,77.46969368,11.21191701,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46969368 11.21191701, 77.46755741 11.21039856)",,,,,,,,,,,,,,
T.NO-157,DA,S,26,158-157,287.6178019525217,5.13,286,,77.46755741,11.21039856,GOOD,GOOD,NO,,"NALA,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46755741 11.21039856, 77.46532987 11.20890795)",,,,,,,,,,,,,,
T.NO-156,DB,T,24,157-156,294.02891014320346,4.44,284,"0°5'52.30""",77.46532987,11.20890795,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46532987 11.20890795, 77.46296423 11.20731906)",,,,,,,,,,,,,,
T.NO-155,DA,S,26,156-155,312.6227758817326,15.48,286,,77.46296423,11.20731906,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46296423 11.20731906, 77.46105934 11.20609683)",,,,,,,,,,,,,,
T.NO-154,DA,S,26,155-154,248.22973230457305,4.1,290,,77.46105934,11.20609683,GOOD,GOOD,NO,11KV,"MUDROAD,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46105934 11.20609683, 77.4587485 11.20448937)",,,,,,,,,,,,,,
T.NO-153,DA,S,26,154-153,308.8705230351385,5.7,293,,77.4587485,11.20448937,GOOD,GOOD,NO,,2nos MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4587485 11.20448937, 77.45648466 11.20302608)",,,,,,,,,,,,,,
T.NO-152,DA,S,26,153-152,295.6552045880471,3.98,296,,77.45648466,11.20302608,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45648466 11.20302608, 77.45440441 11.20162452)",,,,,,,,,,,,,,
T.NO-151,DC,T,26,152-151,275.1817581163403,12.7,298,"21°55'54.11""",77.45440441,11.20162452,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45440441 11.20162452, 77.45219468 11.20114569)",,,,,,,,,,,,,,
T.NO-150,DA,S,26,151-150,247.19627828913605,5.65,296,,77.45219468,11.20114569,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45219468 11.20114569, 77.44945194 11.20040916)",,,,,,,,,,,,,,
