S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45,44,2W,HCR+3 T,DB+3,27,43-44,280,207.8616792,-76,0.72,475,"14°02'37""(RT)",12.15606,77.99342,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99342 12.15606, 77.99086 12.15542)"
46,45,,GCR+3 S,DA+3,29,44-45,280,287.7462585,7,0.93,480,,12.15542,77.99086,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99086 12.15542, 77.98819 12.15473)"
47,46,,GCR+3 S,DA+3,29,45-46,300,300.7335949,0,0.41,478,,12.15473,77.98819,GOOD,GOOD,,,,"FARMER LAND,MANGO FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98819 12.15473, 77.98575 12.1541)"
48,47,,GCR(S),DA,26,46-47,300,274.8119281,-26,0.97,483,,12.1541,77.98575,GOOD,GOOD,LT LINE,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98575 12.1541, 77.98296 12.15338)"
49,48,,GCR(S),DA,26,47-48,300,314.2213306,13,0.53,488,,12.15338,77.98296,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98296 12.15338, 77.9803 12.15269)"
50,49,,GCR+3 S,DA+3,29,48-49,310,299.6801391,-11,1.22,490,,12.15269,77.9803,GOOD,GOOD,11KV-2,,SAND ROAD CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9803 12.15269, 77.97739 12.15194)"
51,50,,HCR(T),DC,26,49-50,300,327.7091132,27,2.12,489,"17°50'21""(RT)",12.15194,77.97739,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97739 12.15194, 77.97426 12.15211)"
52,51,,GCR+3 S,DA+3,29,50-51,320,341.4982078,20,0.35,481,,12.15211,77.97426,GOOD,GOOD,,TAR ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97426 12.15211, 77.971512 12.152243)"
53,52,,HCR(T),DB,24,51-52,120,299.7254131,177,1.01,479,,12.152243,77.971512,GOOD,GOOD,,SAND ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.971512 12.152243, 77.96948 12.15237)"
54,53,,GCR+3 S,DA+3,29,52-53,260,221.8089608,-37,0.92,496,,12.15237,77.96948,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96948 12.15237, 77.96768 12.15246)"
55,54,,HCR+3 T,DC+3,29,53-54,170,196.3417158,26,1.09,517,"18°53'23""(LT)",12.15246,77.96768,GOOD,GOOD,,SAND ROAD CROSSING,HILLS AREA,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96768 12.15246, 77.96587 12.15195)"
56,55,,GCR+3 S,DA+3,29,54-55,210,205.1043234,-5,0.81,522,,12.15195,77.96587,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96587 12.15195, 77.96371 12.15136)"
57,56,,GCR+3 S,DA+3,29,55-56,230,244.2059036,12,1.02,515,,12.15136,77.96371,GOOD,GOOD,,SAND ROAD CROSSING,HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96371 12.15136, 77.96189 12.15086)"
58,57,,GCR(S),DA,26,56-57,220,205.8513622,-14,0.92,511,,12.15086,77.96189,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96189 12.15086, 77.95989 12.15029)"
59,58,2W,HCR(T),DB,24,57-58,215,226.8328174,11,2.15,511,"06°23'18""(RT)",12.15029,77.95989,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95989 12.15029, 77.95741 12.14987)"
60,59,,GCR(S),DA,26,58-59,270,274.1396312,3,0.89,507,,12.14987,77.95741,GOOD,GOOD,,TAR ROAD CROSSING,,"MANGO GARDEN,AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95741 12.14987, 77.95516 12.14947)"
61,60,,GCR(S),DA,26,59-60,230,249.0797815,18,0.62,495,,12.14947,77.95516,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95516 12.14947, 77.95385 12.14924)"
62,61,,HCR(T),DB,24,60-61,180,144.9631938,-5,0.52,493,,12.14924,77.95385,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95385 12.14924, 77.9513 12.14885)"
63,62,,GCR+3 S,DA+3,29,61-62,270,281.1280133,11,0.99,496,,12.14885,77.9513,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9513 12.14885, 77.94938 12.14847)"
64,63,,KCR+3 T,DD+3,31,62-63,250,213.3505905,-37,1.01,512,"38°49'13""(RT)",12.14847,77.94938,GOOD,GOOD,"LT-2,11KV-1",SAND ROAD CROSSING,HILLS AREA,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94938 12.14847, 77.94711 12.14963)"
65,64,,GCR+3 S,DA+3,29,63-64,240,278.6524479,39,1.29,512,,12.14963,77.94711,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94711 12.14963, 77.94559 12.15041)"
66,65,,HCR+3 T,DC+3,29,64-65,235,186.7524615,-49,1.62,508,"22°00'56""(LT)",12.15041,77.94559,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94559 12.15041, 77.94328 12.15063)"
67,66,,GCR(S),DA,26,65-66,270,252.8198102,-18,2.16,509,,12.15063,77.94328,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94328 12.15063, 77.94072 12.15096)"
68,67,,GCR(S),DA,26,66-67,240,281.2602587,40,2.35,513,,12.15096,77.94072,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94072 12.15096, 77.93842 12.15115)"
69,68,,GCR+3 S,DA+3,29,67-68,280,251.4343106,-29,2.31,520,,12.15115,77.93842,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93842 12.15115, 77.93613 12.15138)"
70,69,,HCR+3 T,DC+3,29,68-69,230,250.7590799,21,0.56,516,"19°05'12""(LT)",12.15138,77.93613,GOOD,GOOD,,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93613 12.15138, 77.93324 12.15071)"
71,70,,GCR+3 S,DA+3,29,69-70,310,323.4452706,11,1.83,508,,12.15071,77.93324,GOOD,GOOD,LT LINE CROSSING,,SMALL HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93324 12.15071, 77.93034 12.15003)"
72,71,,GCR+3 S,DA+3,29,70-71,310,324.7605425,15,0.81,509,,12.15003,77.93034,GOOD,GOOD,LT LINE CROSSING,,SMALL HILLS AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93034 12.15003, 77.92816 12.14954)"
73,72,2W,KCR(T),DD,28,71-72,285,243.5975398,-42,2.08,507,"41°21'37""(LT)",12.14954,77.92816,GOOD,GOOD,,,SMALL HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92816 12.14954, 77.92682 12.14771)"
74,73,,KCR(T),DD,28,72-73,250,249.7217782,0,0.57,502,"46°19'00""(RT)",12.14771,77.92682,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92682 12.14771, 77.92448 12.14739)"
75,74,,HCR(T),DB,24,73-74,270,257.3608591,-13,0.61,501,,12.14739,77.92448,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92448 12.14739, 77.92176 12.1471)"
76,75,,GCR+3 S,DA+3,29,74-75,270,298.0404404,27,4.57,481,,12.1471,77.92176,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92176 12.1471, 77.91902 12.14685)"
77,76,,HCR+3 T,DB+3,27,75-76,310,299.7648469,-11,0.72,482,"04°21'22""(LT)",12.14685,77.91902,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,SMALL HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91902 12.14685, 77.91669 12.14646)"
78,77,,KCR+3 T,DD+3,31,76-77,210,257.466914,47,0.68,480,"43°50'12""(LT)",12.14646,77.91669,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,SMALL HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91669 12.14646, 77.91587 12.14537)"
79,78,,HCR+3 T,DB+3,27,77-78,210,150.1447674,40,0.83,488,"06°15'26""(RT)",12.14537,77.91587,GOOD,GOOD,LT LINE CROSSING,,SMALL HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91587 12.14537, 77.91399 12.14337)"
80,79,,HCR+3 T,DB+3,27,78-79,280,301.6226209,21,0.65,498,"10°54'58""(RT)",12.14337,77.91399,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91399 12.14337, 77.9124 12.14222)"
81,80,,GCR(S),DA,26,79-80,240,214.9722242,-25,2.12,505,,12.14222,77.9124,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9124 12.14222, 77.91048 12.14085)"
82,81,,HCR(T),DC,26,80-81,260,258.3699746,-2,2.15,502,"27°04'14""(LT)",12.14085,77.91048,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91048 12.14085, 77.90929 12.13855)"
83,82,,HCR+3 T,DB,24,81-82,310,285.7464525,-25,3.76,502,,12.13855,77.90929,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90929 12.13855, 77.90805 12.13599)"
84,83,,KCR(T),DC,26,82-83,260,313.9783651,55,1.09,506,"29°48'38""(LT)",12.13599,77.90805,GOOD,GOOD,"LT LINE CROSSING,11KV LINE CROSSING",SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90805 12.13599, 77.90814 12.13482)"
85,84,,KCR(T),DC,26,83-84,270,129.9085499,-140,0.83,506,"23°02'30""(RT)",12.13482,77.90814,GOOD,GOOD,LT LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90814 12.13482, 77.9073 12.13238)"
86,85,,KCR(T),DD,28,84-85,260,285.2257649,86,1.2,508,"89°07'59""(LT)",12.13238,77.9073,GOOD,GOOD,"33KV-2,LT LINE CROSSING",TAR ROAD CROSSING,,"TOWER INSIDE PENNAGARAM SS,FARMER LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9073 12.13238, 77.9075 12.13231)"
