S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
54,50,,S,SC,25,49 - 50,275.3664432,2.7,30.272614,,13.30924099,80.06056999,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0605699885636 13.3092409931123, 80.0594779942184 13.3069549966603)"
55,51,2W,T,SC,25,50 - 51,281.6387564,0.32,30.180971,25°56'57''RT,13.306955,80.05947799,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0594779942184 13.3069549966603, 80.0572950113564 13.3052249718457)"
56,52,,S,SC,25,51 - 52,306.683977,0.15,31.214325,,13.30522497,80.05729501,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0572950113564 13.3052249718457, 80.0553339812904 13.3036449830979)"
57,53,,S,SC,25,52 - 53,277.5659735,3.1,30.738266,,13.30364498,80.05533398,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0553339812904 13.3036449830979, 80.053023006767 13.3018680196255)"
58,54,,S,SC,25,53 - 54,320.7647812,1.72,31.984583,,13.30186802,80.05302301,GOOD,AVAILABLE,"LT, HT",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.053023006767 13.3018680196255, 80.0511019583791 13.3003359753638)"
59,55,,T,SC,25,54 - 55,270.8583482,1.06,32.153316,34°18'46''LT,13.30033598,80.05110196,GOOD,AVAILABLE,HT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0511019583791 13.3003359753638, 80.0504210125654 13.2980890385806)"
60,56,,S,SC,25,55 - 56,261.7343255,3.89,33.545952,,13.29808904,80.05042101,GOOD,AVAILABLE,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0504210125654 13.2980890385806, 80.0498610176146 13.2961689960211)"
61,57,,S,SC,25,56 - 57,223.3570976,2.04,32.80761,,13.296169,80.04986102,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0498610176146 13.2961689960211, 80.0492819957435 13.294229004532)"
62,58,,S,SC,25,57 - 58,226.0491417,1.09,31.669058,,13.294229,80.049282,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0492819957435 13.294229004532, 80.0485429633408 13.2916649803519)"
63,59,,T,SC,25,58 - 59,297.1729278,0.66,32.552437,57°58'52''RT,13.29166498,80.04854296,GOOD,AVAILABLE,"HT, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0485429633408 13.2916649803519, 80.0464909896254 13.2910790015012)"
64,60,,T,DC,28,59 - 60,234.0413614,0.21,32.227463,67°13'45''LT,13.291079,80.04649099,GOOD,AVAILABLE,HT -3,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0464909896254 13.2910790015012, 80.0463360082358 13.2897499669343)"
65,61,,T,DC,28,60 - 61,150.4512952,1.8,33.253246,107°24'12''RT,13.28974997,80.04633601,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0463360082358 13.2897499669343, 80.0465430412441 13.2896600291132)"
66,Gantry ( Periyapalayam SS ),2W,T,H-POLE,15,61 - Gantry ,27.03461504,-,33.222157,,13.28966003,80.04654304,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
