S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
51,T.NO-49,S,DA,26,48-49,317.7624899197512,8.27,361,,12.2714,78.7427,RUSTED,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7427 12.2714, 78.7456 12.2715)"
52,T.NO-50,T,DD,28,49-50,316.51224304914336,14.2,359,"25°45'7"" ",12.2715,78.7456,RUSTED,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7456 12.2715, 78.7477 12.2727)"
53,T.NO-51,S,DA,26,50-51,261.8587405453559,15.7,359,,12.2727,78.7477,RUSTED,GOOD,,NALA-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7477 12.2727, 78.7503 12.2741)"
54,T.NO-52,S,DA,26,51-52,323.1485726411305,14.72,359,,12.2741,78.7503,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7503 12.2741, 78.7528 12.2756)"
55,T.NO-53,S,DA,26,52-53,319.5559418943732,9.9,359,,12.2756,78.7528,RUSTED,GOOD,LT-2,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7528 12.2756, 78.7552 12.2769)"
56,T.NO-54,S,DA,26,53-54,298.4845054605012,12.94,309,,12.2769,78.7552,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7552 12.2769, 78.7576 12.2782)"
57,T.NO-55,S,DA,26,54-55,300.42137074449283,15.8,300,,12.2782,78.7576,RUSTED,GOOD,LT-2,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7576 12.2782, 78.7594 12.2792)"
58,T.NO-56,S,DA,26,55-56,219.31712199461307,14.34,300,,12.2792,78.7594,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7594 12.2792, 78.7611 12.2801)"
59,T.NO-57,S,DA,26,56-57,214.2941903085569,15.92,300,,12.2801,78.7611,RUSTED,GOOD,LT-1,"TAR-1,NALA-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7611 12.2801, 78.7633 12.2813)"
60,T.NO-58,S,DA,26,57-58,273.5141678231678,13.8,300,,12.2813,78.7633,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7633 12.2813, 78.7653 12.2824)"
61,T.NO-59,S,DA,26,58-59,249.7218452598811,,300,,12.2824,78.7653,RUSTED,GOOD,,POND-1,PLAIN,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7653 12.2824, 78.7677 12.2838)"
62,T.NO-60,S,DA,26,59-60,296.33933252270106,,300,,12.2838,78.7677,RUSTED,GOOD,33KV-1,"TAR-1(SH),MUD-1",PLAIN,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7677 12.2838, 78.7701 12.2851)"
63,T.NO-61,T,DD,28,60-61,300.24156940703597,15.29,298,"24°16'48"" ",12.2851,78.7701,RUSTED,GOOD,"11KV-1,LT-1",TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7701 12.2851, 78.773 12.2853)"
64,T.NO-62,S,DA,26,61-62,316.8359196808342,15.38,298,,12.2853,78.773,RUSTED,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.773 12.2853, 78.7759 12.2855)"
65,T.NO-63,S,DA,26,62-63,315.91296269700615,14.89,298,,12.2855,78.7759,RUSTED,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7759 12.2855, 78.7786 12.2857)"
66,T.NO-64,S,DA,26,63-64,299.6681497923995,15.94,297,,12.2857,78.7786,RUSTED,GOOD,LT-1,"TAR-1,CANAL-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7786 12.2857, 78.7817 12.286)"
67,T.NO-65,S,DA,26,64-65,332.93993452273037,14.86,296,,12.286,78.7817,RUSTED,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7817 12.286, 78.7848 12.2862)"
68,T.NO-66,S,DA,26,65-66,341.586006739152,13.21,295,,12.2862,78.7848,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7848 12.2862, 78.7881 12.2865)"
69,T.NO-67,T,DD,31,66-67,362.0842443410097,5.32,295,,12.2865,78.7881,RUSTED,GOOD,33KV-1,SH-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7881 12.2865, 78.7891 12.2866)"
