S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,SC or DC,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
54,53,2W,Tension,DC+0,DC,26,56-57,285,6.1,90,19°48’43.32”RT,12.76764444,79.62736944,GOOD,GOOD,HT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62736944444444 12.767644444444445, 79.62835555555554 12.766183333333334)"
55,54,,Suspension,DA+0,DC,24,57-58,199,3.2,89,,12.76618333,79.62835556,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62835555555554 12.766183333333334, 79.62953333333333 12.764516666666667)"
56,55,,Tension,DB+0,DC,24,58-59,229,3.6,88,12°2’40.35”RT,12.76451667,79.62953333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62953333333333 12.764516666666667, 79.63025277777777 12.762666666666666)"
57,56,,Suspension,DA+0,DC,26,59-60,220,2.1,87,,12.76266667,79.63025278,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63025277777777 12.762666666666666, 79.63093333333333 12.761)"
58,57,,Suspension,DA+0,DC,26,60-61,202,2.6,84,,12.761,79.63093333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63093333333333 12.761, 79.6316611111111 12.75915)"
59,58,,Tension,DB+0,DC,24,61-62,227,3.2,84,5°35’1.53”RT,12.75915,79.63166111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6316611111111 12.75915, 79.63214166666666 12.757541666666667)"
60,59,,Tension,DB+0,DC,24,62-63,190,3.6,85,"11°18’59.51""RT",12.75754167,79.63214167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63214166666666 12.757541666666667, 79.63236666666666 12.75505)"
61,60,,Suspension,DA+0,DC,26,63-64,282,6.1,82,,12.75505,79.63236667,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63236666666666 12.75505, 79.63256388888888 12.752591666666667)"
62,61,,Suspension,DA+0,DC,26,64-65,277,-,82,,12.75259167,79.63256389,GOOD,GOOD,-,Road,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63256388888888 12.752591666666667, 79.63275277777777 12.750041666666666)"
63,62,,Tension,DD+0,DC,28,65-66,285,3.8,83,"33°33’12.24""LT",12.75004167,79.63275278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63275277777777 12.750041666666666, 79.63423611111112 12.748125)"
64,63,,Suspension,DA+0,DC,26,66-67,273,6.1,81,,12.748125,79.63423611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63423611111112 12.748125, 79.63569166666667 12.746241666666666)"
65,64,,Suspension,DA+0,DC,26,67-68,265,0.8,80,,12.74624167,79.63569167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63569166666667 12.746241666666666, 79.6372138888889 12.744224999999998)"
66,65,,Suspension,DA+0,DC,26,68-69,283,3.5,78,,12.744225,79.63721389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6372138888889 12.744224999999998, 79.63871666666667 12.74223611111111)"
67,66,2W,Tension,DC+0,DC,26,69-70,278,3.1,77,"25°1’41.96""LT",12.74223611,79.63871667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63871666666667 12.74223611111111, 79.64088611111112 12.741133333333332)"
68,67,,Suspension,DA+0,DC,26,70-71,270,0.6,76,,12.74113333,79.64088611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64088611111112 12.741133333333332, 79.64305555555556 12.740049999999998)"
69,68,,Suspension,DA+0,DC,26,71-72,275,2.5,77,,12.74005,79.64305556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64305555555556 12.740049999999998, 79.64483055555556 12.739119444444444)"
70,69,,Suspension,DA+0,DC,26,72-73,221,8,78,,12.73911944,79.64483056,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64483055555556 12.739119444444444, 79.64669444444445 12.738180555555555)"
71,70,,Suspension,DA+0,DC,26,73-74,233,1.3,78,,12.73818056,79.64669444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64669444444445 12.738180555555555, 79.64861666666667 12.737222222222222)"
72,71,,Tension,DC+0,DC,26,74-75,238,1.4,79,"28°12’55.15""RT",12.73722222,79.64861667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64861666666667 12.737222222222222, 79.64964444444445 12.735755555555555)"
73,72,,Suspension,DA+0,DC,26,75-76,202,7.2,80,,12.73575556,79.64964444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64964444444445 12.735755555555555, 79.65078611111112 12.734133333333332)"
74,73,,Tension,DC+0,DC,26,76-77,223,6.1,81,"25°13’48.39""RT",12.73413333,79.65078611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65078611111112 12.734133333333332, 79.6512888888889 12.73135)"
75,74,,Suspension,DA+0,DC,26,77-Mangal gantry,314,7.5,80,,12.73135,79.65128889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6512888888889 12.73135, 79.65166388888889 12.728722222222222)"
76,75,,Tension,DC+0,DC,26,Mangal gantry-,302,7.6,81,16°55’58.27”RT,12.72872222,79.65166389,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65166388888889 12.728722222222222, 79.65139444444445 12.72695)"
77,76,,Tension,DB+0,DC,24,-,203,4.3,80,"6°44’49.29""RT",12.72695,79.65139444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65139444444445 12.72695, 79.65079166666668 12.724666666666666)"
78,77,,Tension,DD+0,DC,28,-,264,3.2,81,"41°38’5.86""LT",12.72466667,79.65079167,GOOD,GOOD,Three HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65079166666668 12.724666666666666, 79.65089166666667 12.724505555555556)"
79,Mangal gantry,2W,,Gantry,-,15,-,28,-,81,,12.72450556,79.65089167,GOOD,NO E/W,-,-,Plain,No Peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
