S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
59,T.NO 57 DP,,T,DP,15,56DP-57DP,40.56008089,DP,42,,79.8025,12.31475,,,GOOD,MISSING,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8025 12.31475, 79.80258333333333 12.314416666666668)"
60,T.NO 58,,T,DD,28,57-58,39.32753579,2.74,42,"34°5'36""",79.80258333,12.31441667,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80258333333333 12.314416666666668, 79.80172222222222 12.31188888888889)"
61,T.NO 59,,S,DA,26,58-59,297.9461231,IN WATER,42,,79.80172222,12.31188889,,,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80172222222222 12.31188888888889, 79.8008611111111 12.30938888888889)"
62,T.NO 60,,S,DA,26,59-60,291.9467305,IN WATER,43,,79.80086111,12.30938889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8008611111111 12.30938888888889, 79.79988888888889 12.306694444444446)"
63,T.NO 61,,S,DA,26,60-61,318.2333526,IN WATER,45,,79.79988889,12.30669444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79988888888889 12.306694444444446, 79.79908333333333 12.304277777777779)"
64,T.NO 62,,S,DA,26,61-62,282.1351988,IN WATER,47,,79.79908333,12.30427778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79908333333333 12.304277777777779, 79.79825 12.301916666666667)"
65,T.NO 63,,S,DA,26,62-63,278.0270745,4.27,45,,79.79825,12.30191667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79825 12.301916666666667, 79.79738888888889 12.299333333333333)"
66,T.NO 64,,T,DD,28,63-64,300.4678614,4.5,46,"42°20'17""",79.79738889,12.29933333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79738888888889 12.299333333333333, 79.79783333333333 12.29825)"
67,T.NO 65,,S,DA,26,64-65,128.5813466,3.44,45,,79.79783333,12.29825,,,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79783333333333 12.29825, 79.79894444444444 12.295777777777777)"
68,T.NO 66,,S,DA,26,65-66,300.527962,3.21,46,,79.79894444,12.29577778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79894444444444 12.295777777777777, 79.80005555555556 12.293388888888888)"
69,T.NO 67,,S,DA,26,66-67,292.4052162,4.82,45,,79.80005556,12.29338889,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80005555555556 12.293388888888888, 79.80113888888889 12.290888888888889)"
70,T.NO 68,2W,T,DD,28,67-68,301.1666204,4.21,44,"32°56'29""",79.80113889,12.29088889,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80113888888889 12.290888888888889, 79.8013611111111 12.29075)"
71,T.NO 69 DP,,T,DP,15,68-69DP,29.8444102,DP,45,,79.80136111,12.29075,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8013611111111 12.29075, 79.80169444444444 12.290555555555555)"
72,T.NO 70 DP,,T,DP,15,69DP-70DP,42.67733197,DP,45,,79.80169444,12.29055556,,,GOOD,MISSING,230KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80169444444444 12.290555555555555, 79.80199999999999 12.290416666666667)"
73,T.NO 71,,T,DB,24,70DP-71,36.34119409,2.14,44,"14°14'38""",79.802,12.29041667,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80199999999999 12.290416666666667, 79.80377777777778 12.289)"
74,T.NO 72,,S,DA,26,71-72,249.6523678,3.18,43,,79.80377778,12.289,,,GOOD,GOOD,,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80377777777778 12.289, 79.80575 12.287444444444445)"
75,T.NO 73,,S,DA,26,72-73,277.7399501,2.14,42,,79.80575,12.28744444,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80575 12.287444444444445, 79.80738888888888 12.286111111111111)"
76,T.NO 74,,T,DB,24,73-74,230.9565176,4.81,41,"13°17'8""",79.80738889,12.28611111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80738888888888 12.286111111111111, 79.80888888888889 12.284194444444445)"
77,T.NO 75,,S,DA,26,74-75,270.8036323,6.71,42,,79.80888889,12.28419444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80888888888889 12.284194444444445, 79.81019444444445 12.2825)"
78,T.NO 76,,S,DA,26,75-76,236.6013582,3.78,43,,79.81019444,12.2825,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81019444444445 12.2825, 79.8116111111111 12.280722222222224)"
79,T.NO 77,,T,DB,24,76-77,250.4353624,4.78,45,"7°11'14""",79.81161111,12.28072222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8116111111111 12.280722222222224, 79.81272222222222 12.27888888888889)"
80,T.NO 78,,T,DC,26,77-78,235.8041737,2.78,49,"22°45'36""",79.81272222,12.27888889,,,GOOD,GOOD,"LT,2nos HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81272222222222 12.27888888888889, 79.81294444444444 12.277333333333335)"
81,T.NO 79,,S,DA,26,78-79,173.5398505,4.83,28,,79.81294444,12.27733333,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81294444444444 12.277333333333335, 79.81311111111111 12.275972222222222)"
82,T.NO 80,,T,DC,26,79-80,154.1828972,5.5,30,"25°53'37""",79.81311111,12.27597222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81311111111111 12.275972222222222, 79.81394444444445 12.274722222222223)"
83,T.NO 81,,T,DB,24,80-81,164.9176623,6.39,28,"7°41'46""",79.81394444,12.27472222,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81394444444445 12.274722222222223, 79.815 12.272611111111113)"
84,T.NO 82,,S,DA,26,81-82,261.7316628,5.8,27,,79.815,12.27261111,,,GOOD,GOOD,"2nos HT,3nos LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.815 12.272611111111113, 79.81608333333332 12.270416666666668)"
85,T.NO 83,,S,DA,26,82-83,269.4119968,7.13,25,,79.81608333,12.27041667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81608333333332 12.270416666666668, 79.81705555555556 12.26838888888889)"
86,T.NO 84,,S,DA,26,83-84,250.6237168,6.75,24,,79.81705556,12.26838889,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81705555555556 12.26838888888889, 79.81822222222222 12.266027777777778)"
87,T.NO 85,2W,T,DB,24,84-85,291.2585055,5.21,23,"8°35'36""",79.81822222,12.26602778,Yes,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81822222222222 12.266027777777778, 79.81980555555555 12.263777777777777)"
88,T.NO 86,,S,DA,26,85-86,303.5921347,BUSHESS,23,,79.81980556,12.26377778,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81980555555555 12.263777777777777, 79.82066666666667 12.262555555555556)"
89,T.NO 87,,T,DC,26,86-87,166.3239245,4.37,24,"28°2'54""",79.82066667,12.26255556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82066666666667 12.262555555555556, 79.82094444444444 12.260027777777777)"
90,T.NO 88,,S,DA,26,87-88,282.4977797,3.51,23,,79.82094444,12.26002778,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82094444444444 12.260027777777777, 79.82124999999999 12.257416666666666)"
