S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (PLAIN/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
90,T.NO 79,T,DC,26,78-79,291.77045772319,4.09,57,"17°31'41""",79.85705555555555,13.1135,GOOD,GOOD,LT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85705555555555 13.1135, 79.85933333333332 13.112138888888888)"
91,T.NO 80,S,DA,26,79-80,291.924647811726,4.63,56,,79.85933333333332,13.112138888888888,GOOD,GOOD,HT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85933333333332 13.112138888888888, 79.86155555555555 13.110805555555554)"
92,T.NO 81,S,DA,26,80-81,281.113855937412,5.36,55,,79.86155555555555,13.110805555555554,GOOD,GOOD,,,BUSHESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86155555555555 13.110805555555554, 79.86383333333333 13.109388888888889)"
93,T.NO 82,T,DB,24,81-82,292.67387994148,4.81,55,"00°6'41""",79.86383333333333,13.109388888888889,GOOD,GOOD,,,BUSHESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86383333333333 13.109388888888889, 79.86611111111111 13.107972222222221)"
94,T.NO 83,S,DA,26,82-83,293.751595740347,4.52,55,,79.86611111111111,13.107972222222221,GOOD,GOOD,LT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86611111111111 13.107972222222221, 79.86833333333333 13.106666666666666)"
95,T.NO 84,S,DA,26,83-84,280.066063634993,4.26,55,,79.86833333333333,13.106666666666666,GOOD,GOOD,"LT-1,HT-1",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86833333333333 13.106666666666666, 79.8706111111111 13.105277777777777)"
96,T.NO 85,T,DB,24,84-85,289.171229550936,3.79,54,"6°52'41""",79.8706111111111,13.105277777777777,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8706111111111 13.105277777777777, 79.87313888888889 13.104138888888889)"
97,T.NO 86,T,DC,26,85-86,301.517827001987,4.31,53,"26°30'44""",79.87313888888889,13.104138888888889,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87313888888889 13.104138888888889, 79.874 13.103055555555555)"
98,T.NO 87,T,DB,24,86-87,153.05227865014,3.26,52,"0°55'26""",79.874,13.103055555555555,GOOD,GOOD,LT-1,RAILWAY TRACK,CULTIVACTION,RAILWAY CROSSING NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.874 13.103055555555555, 79.87558333333332 13.101055555555556)"
99,T.NO 88,T,DB,24,87-88,279.614019677126,2.75,55,"4°57'36""",79.87558333333332,13.101055555555556,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87558333333332 13.101055555555556, 79.87744444444444 13.099083333333335)"
100,T.NO 89/12 KADAMBATHUR LILO,T,DD,28,88-89/12,296.58219771254,4.51,51,"108°6'20""",79.87744444444444,13.099083333333335,GOOD,GOOD,"HT-1,LT-3",,PLAIN,KADAMBATHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87744444444444 13.099083333333335, 79.87525 13.098111111111113)"
101,T.NO 11,T,DB,24,89/12-11,260.034613080644,5.26,51,"9°1'26""",79.87525,13.098111111111113,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87525 13.098111111111113, 79.87349999999999 13.096944444444444)"
102,T.NO 10,S,DA,26,11-10,231.03679360656,4.72,51,,79.87349999999999,13.096944444444444,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87349999999999 13.096944444444444, 79.87133333333333 13.095638888888889)"
103,T.NO 9,S,DA,26,10-9,275.811529853268,4.13,52,,79.87133333333333,13.095638888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.87133333333333 13.095638888888889, 79.86911111111111 13.094138888888889)"
104,T.NO 8,S,DA,26,9-8,291.775598705581,4.95,51,,79.86911111111111,13.094138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86911111111111 13.094138888888889, 79.86697222222222 13.092722222222223)"
105,T.NO 7,T,DB,24,8-7,280.959071752453,5.06,52,"9°50'9""",79.86697222222222,13.092722222222223,GOOD,GOOD,LT-1`,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86697222222222 13.092722222222223, 79.86544444444444 13.092)"
106,T.NO 6,S,DA,26,7-6,184.317660575432,3.65,50,,79.86544444444444,13.092,GOOD,GOOD,LT-1`,ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86544444444444 13.092, 79.86388888888888 13.09138888888889)"
107,T.NO 5,T,DC,26,6-5,182.167505335062,4.12,48,"24°14'6""",79.86388888888888,13.09138888888889,GOOD,GOOD,LT-1`,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86388888888888 13.09138888888889, 79.86191666666666 13.091416666666667)"
108,T.NO 4,S,DA,26,5-4,211.085290818664,4.36,46,,79.86191666666666,13.091416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86191666666666 13.091416666666667, 79.86008333333332 13.091444444444445)"
109,T.NO 3,S,DA,26,4-3,199.010049997481,5.02,49,,79.86008333333332,13.091444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.86008333333332 13.091444444444445, 79.85822222222221 13.091416666666667)"
110,T.NO 2,T,DC,26,3-2,202,4.51,53,"21°18'37""",79.85822222222221,13.091416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85822222222221 13.091416666666667, 79.85680555555555 13.091972222222223)"
111,T.NO 1,T,DD,28,2-1,165.084826680104,3.62,51,"69°31'55""",79.85680555555555,13.091972222222223,GOOD,GOOD,"LT-3 , HT-2 ",ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85680555555555 13.091972222222223, 79.85683333333333 13.092305555555557)"
112,GT 110KV KADAMBATHUR SS,T,GANTRY,15,1-GT,36.0138862107382,,51,,79.85683333333333,13.092305555555557,GOOD,MISSING,,,PLAIN,110KV KADAMBATHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,24536M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
