S.No,Tower No.,,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
98,48,,Suspension,DA+0,26,51-52,252,2.7,70,,12.79603056,79.73206667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73206666666667 12.796030555555555, 79.72998333333334 12.796508333333334)"
99,49,,Suspension,DA+0,26,52-53,237,2.6,70,,12.79650833,79.72998333,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72998333333334 12.796508333333334, 79.72811944444445 12.796969444444445)"
100,50,,Suspension,DA+0,26,53-54,213,0.9,70,,12.79696944,79.72811944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72811944444445 12.796969444444445, 79.72618333333334 12.797413888888888)"
101,51,,Suspension,DA+0,26,54-55,219,1.5,71,,12.79741389,79.72618333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72618333333334 12.797413888888888, 79.72391388888889 12.797944444444445)"
102,52,,Suspension,DA+0,26,55-56,255,4.5,71,,12.79794444,79.72391389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72391388888889 12.797944444444445, 79.72184722222222 12.798422222222221)"
103,53,,Tension,DB+0,24,56-57,235,8.2,72,"9°29’56.28""LT",12.79842222,79.72184722,GOOD,GOOD,"LT, HT",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72184722222222 12.798422222222221, 79.71995 12.79851388888889)"
104,54,,Suspension,DA+0,26,57-58,211,1.3,72,,12.79851389,79.71995,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71995 12.79851388888889, 79.71795 12.798575)"
105,55,,Suspension,DA+0,26,58-59,220,9.2,72,,12.798575,79.71795,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71795 12.798575, 79.71625555555556 12.798647222222222)"
106,56,,Tension,DB+0,24,59-60,189,6.1,73,"11°12’51.36""LT",12.79864722,79.71625556,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71625555555556 12.798647222222222, 79.71439444444445 12.79835)"
107,57,2W,Tension,DC+0,26,60-61,208,1.5,73,"20°22’53.35""LT",12.79835,79.71439444,GOOD,GOOD,-,State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71439444444445 12.79835, 79.71335833333333 12.797747222222222)"
108,58,,Tension,DC+0,26,61-62,134,3.5,73,"27°36’2.75""RT",12.79774722,79.71335833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71335833333333 12.797747222222222, 79.71090000000001 12.79766388888889)"
109,59,,Tension,DC+0,26,62-63,269,11,74,"15°25’18.1""RT",12.79766389,79.7109,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71090000000001 12.79766388888889, 79.70852777777777 12.798222222222222)"
110,60,,Tension,DC+0,26,63-64,270,2.3,75,"24°25’2.46""RT",12.79822222,79.70852778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70852777777777 12.798222222222222, 79.7069 12.799488888888888)"
111,61,,Tension,DB+0,24,64-65,230,2.4,76,11°1’58.68”RT,12.79948889,79.7069,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7069 12.799488888888888, 79.70556111111111 12.80015)"
112,62,,Tension,DD+0,28,65-66,166,2.8,77,43°13’1.94”RT,12.80015,79.70556111,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70556111111111 12.80015, 79.70479444444445 12.802244444444446)"
113,63,,Tension,DD+0,28,66-67,251,10.5,78,"44°14’23.86""LT",12.80224444,79.70479444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70479444444445 12.802244444444446, 79.70360277777777 12.802808333333335)"
114,64,,Tension,DD+0,28,67-68,148,10.1,79,38°49’47.34”RT,12.80280833,79.70360278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70360277777777 12.802808333333335, 79.70282222222222 12.804469444444445)"
115,65,,Suspension,DA+0,26,68-Orikkai Gantry,206,7.2,79,,12.80446944,79.70282222,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70282222222222 12.804469444444445, 79.70205833333334 12.806027777777778)"
116,66,,Tension,DB+0,24,Orikkai Gantry-,194,1.2,79,"14°22’32.38""LT",12.80602778,79.70205833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70205833333334 12.806027777777778, 79.70028888888889 12.80806388888889)"
117,67,,Tension,DD+0,28,-,301,2.3,79,30°43’23.89”RT,12.80806389,79.70028889,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70028888888889 12.80806388888889, 79.70013611111112 12.808911111111112)"
118,68,2W,Tension,DD+0,28,-,99,2.8,79,32°31’28.35”RT,12.80891111,79.70013611,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70013611111112 12.808911111111112, 79.70027222222222 12.809183333333333)"
119,Orikkai Gantry,,,Gantry,15,-,42,-,80,,12.80918333,79.70027222,GOOD,NO E/W,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
