Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
282,SA,34,LILO 1-282,,159.022,2.9,177,,12.122868708931424,79.00792371223694,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00792371223694 12.122868708931424, 79.00763222873154 12.12006474384817)"
281,SA,34,282-281,,311.858,3.6,173,,12.12006474384817,79.00763222873154,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00763222873154 12.12006474384817, 79.00737661295821 12.117378534421851)"
280,SA,34,281-280,,298.511,4.7,173,,12.117378534421851,79.00737661295821,GOOD,GOOD,NIL,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00737661295821 12.117378534421851, 79.007109063482 12.115062809236946)"
279,SA,34,280-279,,257.87,3.5,170,,12.115062809236946,79.007109063482,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.007109063482 12.115062809236946, 79.00689695735258 12.112702291101913)"
278,SA,34,279-278,,262.194,2.8,168,,12.112702291101913,79.00689695735258,GOOD,GOOD,"LT-2,",CANAL-1,CANAL-1,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00689695735258 12.112702291101913, 79.0066135228741 12.11005203517593)"
277,SA,34,278-277,,294.852,1.9,160,,12.11005203517593,79.0066135228741,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0066135228741 12.11005203517593, 79.00633089447992 12.107293325650513)"
276,SC,34,277-276,,306.78,1.6,161,"22*46'04""LT",12.107293325650513,79.00633089447992,GOOD,GOOD,LT-2,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00633089447992 12.107293325650513, 79.00715921421556 12.10458778688511)"
275,SA,34,276-275,,312.64,2.8,161,,12.10458778688511,79.00715921421556,GOOD,GOOD,NIL,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00715921421556 12.10458778688511, 79.0079777264479 12.101963517027821)"
274,SA,34,275-274,,303.726,3.4,156,,12.101963517027821,79.0079777264479,GOOD,GOOD,LT-1,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0079777264479 12.101963517027821, 79.00881485460094 12.099303222193289)"
273,SA,34,274-273,,308.133,4.2,154,,12.099303222193289,79.00881485460094,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00881485460094 12.099303222193289, 79.00969908567443 12.096480569821907)"
