S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,72,,Suspension,SA+0,26,71-72,226,11,289,,12.86441944,78.84288611,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84288611111111 12.864419444444444, 78.844775 12.865105555555555)"
58,73,,Suspension,SA+0,26,72-73,220,11.2,295,,12.86510556,78.844775,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.844775 12.865105555555555, 78.84675833333333 12.86586111111111)"
59,74,,Suspension,SA+0,26,73-74,235,10,294,,12.86586111,78.84675833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84675833333333 12.86586111111111, 78.8485861111111 12.8666)"
60,75,,Tension,SB+0,24,74-75,219,1.9,296,11°8’46.57”LT,12.8666,78.84858611,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8485861111111 12.8666, 78.85028888888888 12.867725)"
61,76,,Suspension,SA+0,26,75-76,228,2.3,290,,12.867725,78.85028889,GOOD,GOOD,"HT, Three LT","CTR, SH",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85028888888888 12.867725, 78.85203055555554 12.868841666666667)"
62,77,,Suspension,SA+0,26,76-77,231,0.3,291,,12.86884167,78.85203056,GOOD,GOOD,LT,"CTR, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85203055555554 12.868841666666667, 78.85359722222222 12.869875)"
63,78,,Suspension,SA+0,26,77-78,209,3,291,,12.869875,78.85359722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85359722222222 12.869875, 78.85518055555555 12.870947222222222)"
64,79,,Suspension,SA+0,26,78-79,215,2.2,290,,12.87094722,78.85518056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85518055555555 12.870947222222222, 78.8570861111111 12.87213611111111)"
65,80,,Tension,SB+0,24,79-80,249,7.2,285,2°9’53.45”LT,12.87213611,78.85708611,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8570861111111 12.87213611111111, 78.85906388888888 12.873427777777778)"
66,81,,Suspension,SA+0,26,80-81,264,4,283,,12.87342778,78.85906389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85906388888888 12.873427777777778, 78.86065833333333 12.874497222222223)"
67,82,,Suspension,SA+0,26,81-82,215,2.5,282,,12.87449722,78.86065833,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86065833333333 12.874497222222223, 78.86253611111111 12.875705555555555)"
68,83,,Suspension,SA+0,26,82-83,251,0.5,283,,12.87570556,78.86253611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86253611111111 12.875705555555555, 78.86406666666666 12.87668611111111)"
69,84,,Suspension,SA+0,26,83-84,200,0.2,282,,12.87668611,78.86406667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86406666666666 12.87668611111111, 78.8659 12.877919444444444)"
70,85,,Tension,SB+0,24,84-85,248,8,286,5°46’2.65”RT,12.87791944,78.8659,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8659 12.877919444444444, 78.86721944444444 12.878627777777778)"
71,86,,Suspension,SA+6,32,85-86,166,4.2,296,,12.87862778,78.86721944,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86721944444444 12.878627777777778, 78.86829999999999 12.879269444444445)"
72,87,,Tension,SD+6,34,86-87,140,6.9,294,131°16’22.7”LT,12.87926944,78.8683,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86829999999999 12.879269444444445, 78.86809722222222 12.879347222222222)"
73,Vadakathipatty Gantry,2W,,Gantry,15,87-Vadakathipatty Gantry,33,-,294,,12.87934722,78.86809722,GOOD,NO E/W,"11kv, 33kv",-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
