S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
93,59,,Suspension,SA+0,26,62-63,301,3.5,307,,12.85908611,78.77125556,,,,,GOOD,GOOD,LT,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77125555555556 12.859086111111111, 78.76940833333333 12.857697222222221)"
94,60,,Suspension,SA+0,26,63-64,257,3.2,308,,12.85769722,78.76940833,,,,,GOOD,GOOD,"LT, 11kv, 800kv HVDC",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76940833333333 12.857697222222221, 78.76774166666667 12.856480555555555)"
95,61,2W,Tension,SD+0,28,64-65,231,1.8,307,37°10’32.45”RT,12.85648056,78.76774167,2W,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76774166666667 12.856480555555555, 78.76506111111111 12.856530555555555)"
96,62,,Suspension,SA+0,26,65-66,292,1.2,310,,12.85653056,78.76506111,,,,,GOOD,GOOD,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76506111111111 12.856530555555555, 78.7623 12.856516666666666)"
97,63,,Suspension,SA+0,26,66-67,303,3.2,313,,12.85651667,78.7623,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7623 12.856516666666666, 78.75923333333333 12.856508333333332)"
98,64,,Suspension,SA+0,26,67-68,339,2,319,,12.85650833,78.75923333,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75923333333333 12.856508333333332, 78.75670833333334 12.856558333333332)"
99,65,,Tension,SB+0,24,68-69,276,1.8,323,1°3’56.37”RT,12.85655833,78.75670833,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75670833333334 12.856558333333332, 78.75420277777778 12.856636111111111)"
100,66,,Suspension,SA+0,26,69-70,277,1.2,324,,12.85663611,78.75420278,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75420277777778 12.856636111111111, 78.75134444444444 12.856827777777777)"
101,67,,Suspension,SA+0,26,70-71,311,0.7,322,,12.85682778,78.75134444,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75134444444444 12.856827777777777, 78.7487111111111 12.85688611111111)"
102,68,,Tension,SC+0,26,71-72,293,0.5,325,"22°8’1.96""LT",12.85688611,78.74871111,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7487111111111 12.85688611111111, 78.74645277777778 12.856063888888889)"
103,69,,Suspension,SA+0,26,72-73,265,4.5,327,,12.85606389,78.74645278,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74645277777778 12.856063888888889, 78.74465277777777 12.855505555555554)"
104,70,,Suspension,SA+0,26,73-74,211,4,330,,12.85550556,78.74465278,,,,,GOOD,GOOD,400kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74465277777777 12.855505555555554, 78.74257777777778 12.854791666666666)"
105,71,,Tension,SB+0,24,74-75,242,6,333,"12°42’24.08""LT",12.85479167,78.74257778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74257777777778 12.854791666666666, 78.740525 12.8535)"
106,72,,Suspension,SA+0,26,75-76,272,2.3,335,,12.8535,78.740525,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.740525 12.8535, 78.73879444444445 12.852375)"
107,73,2W,Tension,SD+0,28,76-77,226,5.1,338,"30°49’18.32""LT",12.852375,78.73879444,2W,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73879444444445 12.852375, 78.73777222222222 12.850305555555556)"
108,74,,Suspension,SA+0,26,77-78,259,5,339,,12.85030556,78.73777222,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73777222222222 12.850305555555556, 78.73654444444445 12.847819444444445)"
109,75,,Suspension,SA+0,26,78-79,308,2.5,337,,12.84781944,78.73654444,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73654444444445 12.847819444444445, 78.73533055555556 12.845394444444445)"
110,76,,Suspension,SA+0,26,79-80,304,1.2,335,,12.84539444,78.73533056,,,,,GOOD,GOOD,LT,Two Canals,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73533055555556 12.845394444444445, 78.73420833333333 12.8431)"
111,77,,Suspension,SA+0,26,80-81,286,1.2,336,,12.8431,78.73420833,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73420833333333 12.8431, 78.73300555555555 12.84073888888889)"
112,78,,Suspension,SA+0,26,81-82,298,1.5,330,,12.84073889,78.73300556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73300555555555 12.84073888888889, 78.73195555555556 12.83858888888889)"
113,79,,Tension,SD+0,28,82-83,267,0.3,327,58°16’26.48”RT,12.83858889,78.73195556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73195555555556 12.83858888888889, 78.72958333333334 12.838341666666667)"
114,80,,Tension,SC+0,26,83-84,264,15,328,16°3’38.58”RT,12.83834167,78.72958333,,,,,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72958333333334 12.838341666666667, 78.727425 12.838730555555555)"
115,81,,Suspension,SA+0,26,84-85,240,11,326,,12.83873056,78.727425,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.727425 12.838730555555555, 78.72500000000001 12.839125000000001)"
116,82,,Tension,SD+0,28,85-86,276,2.1,324,48°2’55.05”RT,12.839125,78.725,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72500000000001 12.839125000000001, 78.72386111111112 12.840886111111113)"
117,83,2W,Tension,SC+0,26,86-87,235,1.5,325,28°43’58.28”RT,12.84088611,78.72386111,2W,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72386111111112 12.840886111111113, 78.72372222222222 12.842955555555557)"
118,84,,Suspension,SA+0,26,87-88,234,1.1,324,,12.84295556,78.72372222,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72372222222222 12.842955555555557, 78.72354722222222 12.84503888888889)"
119,85,,Tension,SB+0,24,88-89,238,0.2,327,"3°30’58.04""LT",12.84503889,78.72354722,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72354722222222 12.84503888888889, 78.72325000000001 12.847105555555556)"
120,86,,Suspension,SA+0,26,89-90,238,3.9,329,,12.84710556,78.72325,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72325000000001 12.847105555555556, 78.7228638888889 12.849308333333333)"
121,87,,Tension,SB+0,24,90-91,250,3.3,327,"2°59’42.39""RT",12.84930833,78.72286389,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7228638888889 12.849308333333333, 78.72266666666667 12.85078888888889)"
122,88,,Tension,SD+9,37,91-92,171,7.5,324,"50°57’2.11""LT",12.85078889,78.72266667,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72266666666667 12.85078888888889, 78.7198138888889 12.85253611111111)"
123,89,,Tension,SD+9,37,92-93,372,7.2,325,"32°56’19.62""LT",12.85253611,78.71981389,,,,,GOOD,GOOD,-,"Two CTR, Malattaru River",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7198138888889 12.85253611111111, 78.71733611111111 12.852494444444444)"
124,90,,Suspension,SA+0,26,93-94,273,11,326,,12.85249444,78.71733611,,,,,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71733611111111 12.852494444444444, 78.71497777777778 12.852466666666666)"
125,91,,Suspension,SA+0,26,94-95,263,1,325,,12.85246667,78.71497778,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71497777777778 12.852466666666666, 78.71300833333333 12.852475)"
126,92,,Suspension,SA+0,26,95-96,218,0.1,327,,12.852475,78.71300833,,,,,GOOD,GOOD,"Two 11kv, Two LT",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71300833333333 12.852475, 78.71073333333334 12.852491666666666)"
127,93,,Tension,SD+0,28,96-97,252,4,329,"42°28’58.09""LT",12.85249167,78.71073333,,,,,GOOD,GOOD,"LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71073333333334 12.852491666666666, 78.70875833333334 12.850758333333333)"
128,94,,Suspension,SA+0,26,97-98,292,3.5,331,,12.85075833,78.70875833,,,,,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70875833333334 12.850758333333333, 78.7072888888889 12.849508333333334)"
129,95,3W,Tension,DD+6,34,98-99,219,3.77,333,"2°33’57.9""LT",12.84950833,78.70728889,3W,,,,GOOD,GOOD,11kv,SH,Plain,LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7072888888889 12.849508333333334, 78.70661111111112 12.848877777777778)"
130,96,,Tension,SD+0,28,99-100,107,5.1,337,"38°15’46.56""LT",12.84887778,78.70661111,,,,,GOOD,GOOD,Two LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70661111111112 12.848877777777778, 78.70633333333333 12.847166666666666)"
131,97,,Suspension,SA+0,26,100-101,199,6.38,338,,12.84716667,78.70633333,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70633333333333 12.847166666666666, 78.70597777777778 12.84468888888889)"
132,98,,Suspension,SA+0,26,101-102,281,5,338,,12.84468889,78.70597778,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70597777777778 12.84468888888889, 78.70562777777778 12.842661111111111)"
133,99,,Suspension,SA+0,26,102-103,235,2.19,338,,12.84266111,78.70562778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70562777777778 12.842661111111111, 78.70527777777778 12.84058888888889)"
134,100,,Tension,SB+0,24,103-104,237,3.13,340,"10°55’24.58""LT",12.84058889,78.70527778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70527777777778 12.84058888888889, 78.70531111111111 12.838077777777778)"
135,101,,Suspension,SA+0,26,104-105,281,4.9,336,,12.83807778,78.70531111,,,,,GOOD,GOOD,Two LT,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70531111111111 12.838077777777778, 78.70530555555555 12.835555555555556)"
136,102,,Tension,SD+0,28,105-106,286,6,334,50°3’2.24”RT,12.83555556,78.70530556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70530555555555 12.835555555555556, 78.70315000000001 12.83373888888889)"
137,103,,Tension,SB+0,24,106-107,313,5.18,330,1°14’17.6”RT,12.83373889,78.70315,,,,,GOOD,GOOD,"Three LT, 11kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70315000000001 12.83373888888889, 78.70163055555555 12.832541666666666)"
138,104,,Suspension,SA+0,26,107-108,216,3.33,334,,12.83254167,78.70163056,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70163055555555 12.832541666666666, 78.70031944444445 12.831111111111111)"
139,105,,Suspension,SA+0,26,108-109,218,4.6,335,,12.83111111,78.70031944,,,,,GOOD,GOOD,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70031944444445 12.831111111111111, 78.69854166666667 12.830091666666666)"
140,106,,Suspension,SA+0,26,109-110,226,6.1,336,,12.83009167,78.69854167,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69854166666667 12.830091666666666, 78.69832222222223 12.827677777777778)"
141,107,,Tension,SB+0,24,110-111,275,4.5,336,0°41’5.2”LT,12.82767778,78.69832222,,,,,GOOD,GOOD,400kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69832222222223 12.827677777777778, 78.69807777777778 12.825219444444445)"
142,108,3W,Tension,DD+0,28,111-112,278,3.99,337,44°47’57.44”RT,12.82521944,78.69807778,3W,,,,GOOD,GOOD,Two LT,-,Plain,LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69807777777778 12.825219444444445, 78.69590277777777 12.8234)"
143,109,,Suspension,SA+0,26,112-113,315,4.71,339,,12.8234,78.69590278,,,,,GOOD,GOOD,"11kv, LT",Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69590277777777 12.8234, 78.69367222222223 12.821719444444444)"
144,110,,Tension,SD+0,28,113-114,309,6.15,340,"35°0’31.22""LT",12.82171944,78.69367222,,,,,GOOD,GOOD,"Three LT, 11kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69367222222223 12.821719444444444, 78.69329722222223 12.820577777777778)"
145,111,,Suspension,SA+0,26,114-115,137,5.09,338,,12.82057778,78.69329722,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69329722222223 12.820577777777778, 78.69252777777778 12.817930555555556)"
146,112,,Suspension,SA+0,26,115-116,309,4.32,336,,12.81793056,78.69252778,,,,,GOOD,GOOD,"Two LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69252777777778 12.817930555555556, 78.69196666666667 12.816030555555557)"
147,113,,Tension,SB+0,24,116-117,224,6.5,336,"0°4’24.05""LT",12.81603056,78.69196667,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69196666666667 12.816030555555557, 78.69126944444444 12.813475)"
148,114,,Suspension,SA+0,26,117-118,297,3.9,337,,12.813475,78.69126944,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69126944444444 12.813475, 78.69057500000001 12.810947222222223)"
149,115,,Tension,SB+0,24,118-119,296,5.3,349,1°5’38.53”LT,12.81094722,78.690575,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69057500000001 12.810947222222223, 78.69021944444445 12.8095)"
150,116,,Tension,SB+0,24,119-120,168,4.2,367,13°41’57.79”RT,12.8095,78.69021944,,,,,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69021944444445 12.8095, 78.68919722222222 12.80756388888889)"
151,117,,Tension,SB+0,24,120-121,247,5,343,"2°1’24.38""LT",12.80756389,78.68919722,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68919722222222 12.80756388888889, 78.68795833333334 12.805025)"
152,118,,Tension,SB+0,24,121-122,314,4.03,338,"5°11’39.6""LT",12.805025,78.68795833,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68795833333334 12.805025, 78.687275 12.803166666666668)"
153,119,,Suspension,SA+0,26,122-123,224,6.3,335,,12.80316667,78.687275,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.687275 12.803166666666668, 78.68660277777778 12.801297222222223)"
154,120,,Suspension,SA+0,26,123-124,225,5.35,332,,12.80129722,78.68660278,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68660277777778 12.801297222222223, 78.68595555555557 12.79945)"
155,121,2W,Tension,SD+0,28,124-125,220,6.1,334,33°29’11.06”RT,12.79945,78.68595556,2W,,,,GOOD,GOOD,800kv HVDC,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68595555555557 12.79945, 78.68372777777778 12.797630555555555)"
156,122,,Tension,SD+0,28,125-126,321,5.9,333,43°19’32.06”LT,12.79763056,78.68372778,,,,,GOOD,GOOD,"11kv, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68372777777778 12.797630555555555, 78.68336388888889 12.795036111111111)"
157,123,,Suspension,SA+0,26,126-127,297,6.2,334,,12.79503611,78.68336389,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68336388888889 12.795036111111111, 78.68304722222223 12.792502777777777)"
158,124,,Tension,SB+0,24,127-128,287,7.3,333,12°50’6.24”RT,12.79250278,78.68304722,,,,,GOOD,GOOD,Three LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68304722222223 12.792502777777777, 78.68218333333334 12.79006388888889)"
159,125,,Suspension,SA+0,26,128-129,292,5.9,332,,12.79006389,78.68218333,,,,,GOOD,GOOD,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68218333333334 12.79006388888889, 78.68138611111111 12.787625)"
160,126,,Suspension,SA+0,26,129-130,287,3.45,329,,12.787625,78.68138611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68138611111111 12.787625, 78.68058055555557 12.785216666666667)"
161,127,,Tension,SC+0,26,130-131,285,2.7,331,29°3’25.38”RT,12.78521667,78.68058056,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68058055555557 12.785216666666667, 78.67879166666667 12.783608333333333)"
162,128,,Suspension,SA+0,26,131-132,269,4.8,335,,12.78360833,78.67879167,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67879166666667 12.783608333333333, 78.67702777777778 12.781994444444445)"
163,129,,Tension,SB+0,24,132-133,267,6.3,341,0°34’22”LT,12.78199444,78.67702778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67702777777778 12.781994444444445, 78.67602500000001 12.781108333333334)"
164,130,,Tension,SB+0,24,133-134,152,5.1,349,0°43’50.64”RT,12.78110833,78.676025,,,,,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67602500000001 12.781108333333334, 78.67497222222222 12.780197222222222)"
165,131,,Tension,SB+0,24,134-135,156,3.2,338,1°36’35.06”RT,12.78019722,78.67497222,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67497222222222 12.780197222222222, 78.67348611111112 12.778827777777778)"
166,132,,Suspension,SA+0,26,135-136,225,2.7,341,,12.77882778,78.67348611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67348611111112 12.778827777777778, 78.6722888888889 12.777894444444446)"
167,133,,Suspension,SA+0,26,136-137,168,3.9,343,,12.77789444,78.67228889,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6722888888889 12.777894444444446, 78.67083611111111 12.77662777777778)"
168,134,2W,Tension,SC+0,26,137-138,217,2.95,341,15°2’30.4”RT,12.77662778,78.67083611,2W,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67083611111111 12.77662777777778, 78.66871944444445 12.775605555555556)"
169,135,,Suspension,SA+0,26,138-139,262,3.7,341,,12.77560556,78.66871944,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66871944444445 12.775605555555556, 78.666025 12.774244444444445)"
170,136,,Tension,SB+0,24,139-140,331,6.1,342,4°18’44.2”LT,12.77424444,78.666025,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.666025 12.774244444444445, 78.664275 12.773172222222223)"
171,137,,Tension,SB+0,24,140-141,230,5.9,344,14°57’30.38”RT,12.77317222,78.664275,,,,,GOOD,GOOD,800kv HVDC,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.664275 12.773172222222223, 78.66179722222223 12.77245277777778)"
172,138,,Suspension,SA+0,26,141-142,284,4.1,346,,12.77245278,78.66179722,,,,,GOOD,GOOD,Two LT,"Canal, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66179722222223 12.77245277777778, 78.66000555555556 12.771922222222223)"
173,139,,Tension,SD+0,28,142-143,206,6,349,59°49’9.36”LT,12.77192222,78.66000556,,,,,GOOD,GOOD,"Two 11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66000555555556 12.771922222222223, 78.65934722222222 12.769369444444445)"
174,140,,Suspension,SA+0,26,143-144,295,3.5,349,,12.76936944,78.65934722,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65934722222222 12.769369444444445, 78.65862777777778 12.766641666666667)"
175,141,,Tension,SB+0,24,144-145,316,6.1,348,9°29’15.05”LT,12.76664167,78.65862778,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65862777777778 12.766641666666667, 78.65843611111111 12.764427777777778)"
176,142,,Suspension,SA+0,26,145-146,249,8,347,,12.76442778,78.65843611,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65843611111111 12.764427777777778, 78.65828055555556 12.762266666666667)"
177,143,,Suspension,SA+0,26,146-147,245,6.2,345,,12.76226667,78.65828056,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65828055555556 12.762266666666667, 78.6580888888889 12.760122222222222)"
178,144,2W,Tension,SB+0,24,147-148,242,2.4,343,0°52’55.95”RT,12.76012222,78.65808889,2W,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6580888888889 12.760122222222222, 78.65786944444444 12.758061111111111)"
179,145,,Suspension,SA+0,26,148-149,234,4,342,,12.75806111,78.65786944,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65786944444444 12.758061111111111, 78.65759444444446 12.755852777777777)"
180,146,,Suspension,SA+0,26,149-150,249,5.3,341,,12.75585278,78.65759444,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65759444444446 12.755852777777777, 78.65738888888889 12.754169444444445)"
181,147,,Tension,SC+0,26,150-151,193,4.7,340,19°48’33.67”RT,12.75416944,78.65738889,,,,,GOOD,GOOD,"11kv, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65738888888889 12.754169444444445, 78.65660277777778 12.752608333333333)"
182,148,,Suspension,SA+0,26,151-152,197,3.3,338,,12.75260833,78.65660278,,,,,GOOD,GOOD,"11kv, Two LT",Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65660277777778 12.752608333333333, 78.65576111111112 12.750911111111112)"
183,149,,Suspension,SA+0,26,152-153,213,4.2,336,,12.75091111,78.65576111,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65576111111112 12.750911111111112, 78.65467777777778 12.748705555555555)"
184,150,,Tension,SD+0,28,153-154,274,3.9,334,31°33’19.45”LT,12.74870556,78.65467778,,,,,GOOD,GOOD,-,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65467777777778 12.748705555555555, 78.65486944444444 12.746855555555555)"
185,151,,Suspension,SA+0,26,154-155,210,-,332,,12.74685556,78.65486944,,,,,GOOD,GOOD,800kv HVDC,CTR,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65486944444444 12.746855555555555, 78.6551 12.744733333333333)"
186,152,,Suspension,SA+0,26,155-156,243,-,333,,12.74473333,78.6551,,,,,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6551 12.744733333333333, 78.65528333333334 12.742847222222222)"
187,153,2W,Tension,SB+0,24,156-157,213,7.12,332,12°15’32.62”LT,12.74284722,78.65528333,2W,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65528333333334 12.742847222222222, 78.6559388888889 12.740855555555555)"
188,154,,Suspension,SA+0,26,157-158,236,6.35,332,,12.74085556,78.65593889,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6559388888889 12.740855555555555, 78.65653333333334 12.738991666666665)"
189,155,,Tension,SC+0,26,158-159,222,5.9,332,29°41’41”RT,12.73899167,78.65653333,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65653333333334 12.738991666666665, 78.6560388888889 12.736727777777777)"
