S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),No.s of Earthing Sets ( Pipe Earthing  / Counter Poise ),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,T.NO 34,,S,MA,45,34-35,287.0853532,3.31,,26,,80.11905556,13.13630556,GOOD,GOOD,HT; LT,LAKE;MUDROAD,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11905555555555 13.136305555555555, 80.11888888888888 13.133333333333333)"
36,T.NO 35,,S,MA,45,35-36,326.4965543,3.48,,27,,80.11888889,13.13333333,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11888888888888 13.133333333333333, 80.11894444444444 13.130944444444445)"
37,T.NO 36 ,,T,MC,45,36-37,266.0469883,3.51,,41,"26°44'12""",80.11894444,13.13094444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11894444444444 13.130944444444445, 80.11883333333333 13.130722222222223)"
38,T.NO 37,2W,T,DC,26,37-38,27.29468813,3.68,,36,,80.11883333,13.13072222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11883333333333 13.130722222222223, 80.13102777777777 13.11186111111111)"
39,T.NO 38 ,2W,T,MC,45,38-39,,3.72,,36,,80.13102778,13.11186111,GOOD,GOOD,,2-ROAD;SEAVAGE,PLAIN,T.NO 37 to T.NO 38 BETWEEN 3.25 KM UG CABLE GOING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13102777777777 13.11186111111111, 80.1296111111111 13.108944444444445)"
40,T.NO 39,,T,MB,45,39-40,357.8337603,3.81,,21,"4°12'34""",80.12961111,13.10894444,GOOD,GOOD,2-HT;LT,2-ROAD;SEAVAGE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1296111111111 13.108944444444445, 80.12816666666666 13.106416666666666)"
41,T.NO 40,,T,MB,45,40-41,318.8933991,3.62,,25,"9°44'41""",80.12816667,13.10641667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12816666666666 13.106416666666666, 80.12705555555554 13.103388888888889)"
42,T.NO 41,,T,MC,45,41-42,357.4632848,3.96,,26,"17°41'31""",80.12705556,13.10338889,GOOD,GOOD,,LAJE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12705555555554 13.103388888888889, 80.127 13.101583333333332)"
43,T.NO 42,,S,MA,45,42-43,200.1599361,3.78,,24,,80.127,13.10158333,GOOD,GOOD,,LAKE,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.127 13.101583333333332, 80.12694444444443 13.099194444444445)"
44,T.NO 43,,S,MA,45,43-44,262.0477056,3.82,,25,,80.12694444,13.09919444,GOOD,GOOD,LT,ROAD,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12694444444443 13.099194444444445, 80.12683333333332 13.097194444444446)"
45,T.NO 44,,T,MB,45,44-45,221.4429949,3.56,,23,"13°6'57""",80.12683333,13.09719444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12683333333332 13.097194444444446, 80.12724999999999 13.095)"
46,T.NO 45,,S,MA,45,45-46,246.9514122,3.24,,21,,80.12725,13.095,GOOD,GOOD,,ROAD,APPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12724999999999 13.095, 80.12761111111111 13.093250000000001)"
47,T.NO 46,,S,MA,45,46-47,198.861761,3.28,,17,,80.12761111,13.09325,GOOD,GOOD,,ROAD,APPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12761111111111 13.093250000000001, 80.12808333333332 13.09088888888889)"
48,T.NO 47,2W,T,MB,45,47-48,265.9360825,3.36,,21,"10°51'7""",80.12808333,13.09088889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12808333333332 13.09088888888889, 80.12808333333332 13.090305555555556)"
49,T.NO 48 KOLADI POINT LILO,,T,DC,26,48-49,66,3.95,,20,,80.12808333,13.09030556,GOOD,GOOD,,,PLAIN,KOLADI POINT LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
