Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
T.NO 36,T,DB,24,35-36,264.2299375071156,3.58,49,"0°13'28""",79.81158333333333,12.616111111111111,GOOD,GOOD,,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81158333333333 12.616111111111111, 79.8093611111111 12.617527777777779)",,,,,,,,,,,,,
T.NO 37,S,DA,26,36-37,287.2446506050375,5.32,48,,79.8093611111111,12.617527777777779,GOOD,GOOD,,CANAL,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8093611111111 12.617527777777779, 79.80713888888889 12.618944444444445)",,,,,,,,,,,,,
T.NO 38,S,DA,26,37-38,290.56001105124994,5.71,49,,79.80713888888889,12.618944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80713888888889 12.618944444444445, 79.80472222222222 12.620444444444445)",,,,,,,,,,,,,
T.NO 39,S,DA,26,38-39,309.1720298794165,6.21,50,,79.80472222222222,12.620444444444445,GOOD,GOOD,LT,,CALTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80472222222222 12.620444444444445, 79.80280555555555 12.621694444444445)",,,,,,,,,,,,,
T.NO 40,T,DC,26,39-40,251.44959572736389,6.75,51,"22°26'44""",79.80280555555555,12.621694444444445,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80280555555555 12.621694444444445, 79.80019444444444 12.622166666666667)",,,,,,,,,,,,,
T.NO 41,S,DA,26,40-41,289.90309794116087,4.95,52,,79.80019444444444,12.622166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80019444444444 12.622166666666667, 79.79741666666666 12.62263888888889)",,,,,,,,,,,,,
T.NO 42,S,DA,26,41-42,306.9836596944353,6.21,52,,79.79741666666666,12.62263888888889,GOOD,GOOD,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79741666666666 12.62263888888889, 79.79505555555555 12.623083333333334)",,,,,,,,,,,,,
T.NO 43,S,DA,26,42-43,260.8557292037257,5.43,53,,79.79505555555555,12.623083333333334,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79505555555555 12.623083333333334, 79.79277777777777 12.623472222222222)",,,,,,,,,,,,,
T.NO 44,S,DA,26,43-44,254.03359460751452,4.36,54,,79.79277777777777,12.623472222222222,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79277777777777 12.623472222222222, 79.79005555555555 12.624)",,,,,,,,,,,,,
T.NO 45,S,DA,26,44-45,301.647634283059,5.8,53,,79.79005555555555,12.624,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79005555555555 12.624, 79.78752777777778 12.624444444444444)",,,,,,,,,,,,,
T.NO 46,T,DC,26,45-46,280.8731855680354,6.17,52,"17°46'36""",79.78752777777778,12.624444444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78752777777778 12.624444444444444, 79.78552777777777 12.624194444444445)",,,,,,,,,,,,,
T.NO 47,T,DD,28,46-47,219.67327225795108,7.35,52,"35°11'28""",79.78552777777777,12.624194444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78552777777777 12.624194444444445, 79.78313888888889 12.625416666666666)",,,,,,,,,,,,,
T.NO 48,S,DA,26,47-48,293.53546793508644,7.13,52,,79.78313888888889,12.625416666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78313888888889 12.625416666666666, 79.78063888888889 12.626777777777779)",,,,,,,,,,,,,
T.NO 49,S,DA,26,48-49,309.4833869108675,6.12,55,,79.78063888888889,12.626777777777779,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78063888888889 12.626777777777779, 79.77816666666666 12.628)",,,,,,,,,,,,,
T.NO 50,T,DC,26,49-50,302.44319531215166,5.67,54,"28°34'35""",79.77816666666666,12.628,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77816666666666 12.628, 79.77541666666667 12.627972222222223)",,,,,,,,,,,,,
T.NO 51,S,DA,26,50-51,300.0066888883926,6.72,52,,79.77541666666667,12.627972222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77541666666667 12.627972222222223, 79.7726111111111 12.627972222222223)",,,,,,,,,,,,,
T.NO 52,S,DA,26,51-52,307,6.4,57,,79.7726111111111,12.627972222222223,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7726111111111 12.627972222222223, 79.76986111111111 12.627916666666668)",,,,,,,,,,,,,
T.NO 53,S,DA,26,52-53,301.0266654815868,7.57,53,,79.76986111111111,12.627916666666668,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76986111111111 12.627916666666668, 79.76738888888889 12.62788888888889)",,,,,,,,,,,,,
T.NO 54,S,DA,26,53-54,269.00186566514793,6.99,58,,79.76738888888889,12.62788888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76738888888889 12.62788888888889, 79.76494444444444 12.627833333333333)",,,,,,,,,,,,,
T.NO 55,T,DB,24,54-55,267.04698833100895,7.13,59,"2°10'10""",79.76494444444444,12.627833333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76494444444444 12.627833333333333, 79.76275 12.62788888888889)",,,,,,,,,,,,,
