S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO 28,,S,DA,26,27-28,273,3.95,78,,79.63211111,12.56808333,,,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6321111111111 12.568083333333334, 79.63063888888888 12.566083333333333)"
28,T.NO 27,,T,DC,26,26-27,239,,81,"15°34'36""",79.63063889,12.56608333,,,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63063888888888 12.566083333333333, 79.62894444444444 12.564694444444445)"
27,T.NO 26,2W,S,DA,26,25-26,267,4.58,80,,79.62894444,12.56469444,,,GOOD,GOOD,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62894444444444 12.564694444444445, 79.62702777777777 12.563166666666667)"
26,T.NO 25,,S,DA,26,24-25,293,6.75,85,,79.62702778,12.56316667,,,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62702777777777 12.563166666666667, 79.62491666666666 12.561527777777778)"
25,T.NO 24,,S,DA,26,23-24,268,18.55,85,,79.62491667,12.56152778,,,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62491666666666 12.561527777777778, 79.62299999999999 12.559972222222223)"
24,T.NO 23,,T,DD,28,22-23,287,7.05,82,"48°37'31""",79.623,12.55997222,,,GOOD,GOOD,,,"PLAIN, CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62299999999999 12.559972222222223, 79.62038888888888 12.560416666666667)"
23,T.NO 22,,T,DB,24,21-22,244,7.45,83,"10°31'39""",79.62038889,12.56041667,,,GOOD,GOOD,,ROAD,"PLAIN, CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62038888888888 12.560416666666667, 79.61816666666665 12.56038888888889)"
22,T.NO 21,,T,DB,24,20-21,233,8.15,81,"1°18'55""",79.61816667,12.56038889,,,GOOD,GOOD,"2NOS LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61816666666665 12.56038888888889, 79.616 12.560444444444444)"
21,T.NO 20,,S,DA,26,19-20,236,7.21,78,,79.616,12.56044444,,,GOOD,GOOD,3NOS LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.616 12.560444444444444, 79.61383333333333 12.56038888888889)"
20,T.NO 19,,T,DB,24,18-19,295,4.75,91,"6°4'5""",79.61383333,12.56038889,,,GOOD,GOOD,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61383333333333 12.56038888888889, 79.61113888888889 12.560722222222223)"
19,T.NO 18,,S,DA,26,17-18,246,6.37,92,,79.61113889,12.56072222,,,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61113888888889 12.560722222222223, 79.60888888888888 12.560944444444445)"
18,T.NO 17,,T,DB,24,16-17,277,5.28,94,"4°11'54""",79.60888889,12.56094444,,,GOOD,GOOD,LT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60888888888888 12.560944444444445, 79.60633333333332 12.56102777777778)"
