S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
40,T.NO 37,S,SA,26,36-37,264.622836643565,3.62,116,,79.57894444444445,13.25163888888889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57894444444445 13.25163888888889, 79.57705555555555 13.250472222222223)"
41,T.NO 38,S,SA,26,37-38,242.813978090598,4.1,117,,79.57705555555555,13.250472222222223,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57705555555555 13.250472222222223, 79.57455555555555 13.248999999999999)"
42,T.NO 39,S,SA,26,38-39,318.100930304533,4.65,116,,79.57455555555555,13.248999999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57455555555555 13.248999999999999, 79.57233333333333 13.24772222222222)"
43,T.NO 40,T,SC,26,39-40,281.080345615325,5.25,116,"17°12'47""",79.57233333333333,13.24772222222222,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57233333333333 13.24772222222222, 79.57025 13.247194444444444)"
44,T.NO 41,T,SD,28,40-41,231.653419658153,2.45,121,"66°49'51""",79.57025,13.247194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57025 13.247194444444444, 79.56958333333333 13.248083333333332)"
45,T.NO 42,T,SD,28,41-42,122.400164744534,2.15,120,"63°59'23""",79.56958333333333,13.248083333333332,GOOD,GOOD,,RAILWAY1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56958333333333 13.248083333333332, 79.56727777777778 13.247638888888888)"
46,T.NO 43,T,SB,24,42-43,253.602454461551,3.9,122,"7°57'40""",79.56727777777778,13.247638888888888,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56727777777778 13.247638888888888, 79.56527777777778 13.246916666666666)"
47,T.NO 44,S,SA,26,43-44,234.418079848156,4.73,117,,79.56527777777778,13.246916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56527777777778 13.246916666666666, 79.56302777777778 13.246166666666666)"
48,T.NO 45,T,SB,24,44-45,258.093368253637,5.38,115,"13°58'6""",79.56302777777778,13.246166666666666,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56302777777778 13.246166666666666, 79.56049999999999 13.245944444444444)"
49,T.NO 46,S,SA,26,45-46,275.881792776459,4.84,119,,79.56049999999999,13.245944444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56049999999999 13.245944444444444, 79.55799999999999 13.245722222222222)"
50,T.NO 47,T,SB,24,46-47,271.159212317478,4.15,125,"7°38'53""",79.55799999999999,13.245722222222222,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55799999999999 13.245722222222222, 79.55572222222222 13.245166666666666)"
51,T.NO 48,S,SA,26,47-48,256.665797477879,5.65,126,,79.55572222222222,13.245166666666666,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55572222222222 13.245166666666666, 79.55333333333333 13.244638888888888)"
