S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
40,T.NO-29,,T,DD,28,1 LILO-29,72.56031973,45,4.27,"76°32'44"" ",13.2385,80.0577,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0577 13.2385, 80.0567 13.241)"
41,T.NO-30,,S,DA,28,29-30,287.3360402,41,3.94,,13.241,80.0567,GOOD,GOOD,LT-1,"TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0567 13.241, 80.0558 13.2434)"
42,T.NO-31,,S,DA,28,30-31,294.0085033,41,4.14,,13.2434,80.0558,GOOD,GOOD,"765KV-1 XING ABOVE,LT-1,11KV-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0558 13.2434, 80.0549 13.2457)"
43,T.NO-32,,S,DA,28,31-32,271.1844391,41,4.32,,13.2457,80.0549,GOOD,GOOD,11KV-1LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0549 13.2457, 80.0539 13.2483)"
44,T.NO-33,,S,DA,28,32-33,303.3825967,42,5.1,,13.2483,80.0539,GOOD,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0539 13.2483, 80.053 13.2506)"
45,T.NO-34,,T,DD,28,33-34,269.6664607,41,3.19,"45°55'2"" ",13.2506,80.053,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.053 13.2506, 80.0509 13.2515)"
46,T.NO-35,,S,DA,28,34-35,253.5527559,41,,,13.2515,80.0509,GOOD,GOOD,11KV-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0509 13.2515, 80.0485 13.2525)"
47,T.NO-36,,S,DA,28,35-36,281.96631,41,,,13.2525,80.0485,GOOD,GOOD,"400KV-1 XING ABOVE,11KV-2",MUD-1,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0485 13.2525, 80.0458 13.2537)"
48,T.NO-37,,S,DA,28,36-37,320.9517098,25,4.15,,13.2537,80.0458,GOOD,GOOD,LT-1,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0458 13.2537, 80.0432 13.2548)"
49,T.NO-38,,T,DD,28,37-38,306.6349621,24,3.27,"28°19'43"" ",13.2548,80.0432,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0432 13.2548, 80.0415 13.257)"
50,T.NO-39,,S,DA,28,38-39,308.0259729,24,3.19,,13.257,80.0415,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0415 13.257, 80.0398 13.2591)"
51,T.NO-40,,T,DD,28,39-40,293.2984828,25,4.27,"27°44'50"" ",13.2591,80.0398,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0398 13.2591, 80.0393 13.2616)"
52,T.NO-41,2W,T,DD,28,40-41,287.9201278,25,4.74,"16°34'54"" ",13.2616,80.0393,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0393 13.2616, 80.0395 13.264)"
53,T.NO-42,,T,DD,28,41-42,259.4089436,25,5.25,"12°16'25"" ",13.264,80.0395,GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0395 13.264, 80.0403 13.2665)"
54,T.NO-43,,T,DD,28,42-43,290.6148654,25,6.27,"5°58'59"" ",13.2665,80.0403,GOOD,GOOD,"11KV-3,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0403 13.2665, 80.0411 13.2698)"
55,T.NO-44,,T,DD,28,43-44,376.5952735,24,5.8,"38°40'0"" ",13.2698,80.0411,GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0411 13.2698, 80.0426 13.2711)"
56,T.NO-45,,S,DA,28,44-45,218.9611838,23,5.17,,13.2711,80.0426,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0426 13.2711, 80.0444 13.2724)"
57,T.NO-46,,S,DA,28,45-46,239.726928,23,7.27,,13.2724,80.0444,GOOD,GOOD,"11KV-1,LT-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0444 13.2724, 80.046 13.2738)"
58,T.NO-47,,S,DA,28,46-47,233.6685687,23,5.42,,13.2738,80.046,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.046 13.2738, 80.0477 13.2752)"
59,T.NO-48,,T,DD,28,47-48,238.5330166,23,4.39,"46°52'49"" ",13.2752,80.0477,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0477 13.2752, 80.0478 13.2779)"
60,T.NO-49,,S,DA,28,48-49,302.4780984,24,7.32,,13.2779,80.0478,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0478 13.2779, 80.0479 13.2806)"
61,T.NO-50,,S,DA,28,49-50,301.1660671,24,5.37,,13.2806,80.0479,GOOD,GOOD,11KV-2,NALA-1 TAR-1(UNDER CONSTRUCTION),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0479 13.2806, 80.048 13.2833)"
62,T.NO-51,,T,DD,28,50-51,298.1358751,24,4.86,"7°38'1"" ",13.2833,80.048,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.048 13.2833, 80.0483 13.285)"
63,T.NO-52,,S,DA,28,51-52,190.53871,24,3.21,,13.285,80.0483,GOOD,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0483 13.285, 80.0486 13.2869)"
64,T.NO-53,,T,DD,28,52-53,215.3903433,24,3.27,,13.2869,80.0486,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0486 13.2869, 80.0488 13.2889)"
65,T.NO-54,,T,DD,28,53-54,213.2650933,24,2.39,"70°14'25"" ",13.2889,80.0488,GOOD,GOOD,11KV-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0488 13.2889, 80.0476 13.2895)"
66,T.NO-55,,T,DD,28,54-55,148.5294584,23,1.92,"15°8'47"" ",13.2895,80.0476,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0476 13.2895, 80.0475 13.2896)"
67,GANTRY PERIYAPALAYAM 110KV SS,2W,GT,GT,15,55-GT,23.34523506,23,,,13.2896,80.0475,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
