S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
89,449,,Suspension,SA+0,SC,26,450-449,303,3.6,86,12.80856111,79.63951111,GOOD,GOOD,-,River,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63951111111112 12.808561111111112, 79.63780555555556 12.807322222222222)"
90,448,,Suspension,SA+0,SC,26,449-448,235,0.5,87,12.80732222,79.63780556,GOOD,GOOD,-,River,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63780555555556 12.807322222222222, 79.63567777777779 12.80573888888889)"
91,447,,Tension,SD+3,SC,31,448-447,300,7.1,89,12.80573889,79.63567778,GOOD,GOOD,-,River,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63567777777779 12.80573888888889, 79.63382222222224 12.804427777777779)"
92,446,,Suspension,SA+0,SC,26,447-446,247,2.8,90,12.80442778,79.63382222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63382222222224 12.804427777777779, 79.63179444444444 12.803033333333333)"
93,445,,Suspension,SA+0,SC,26,446-445,274,8.1,89,12.80303333,79.63179444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63179444444444 12.803033333333333, 79.62979444444444 12.801522222222223)"
94,443,,Suspension,SA+0,SC,26,445-443,281,1.2,88,12.80152222,79.62979444,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62979444444444 12.801522222222223, 79.62762777777778 12.8)"
95,442,2W,Suspension,SA+0,SC,26,443-442,295,3.5,89,12.8,79.62762778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62762777777778 12.8, 79.62561944444444 12.798536111111112)"
96,441,,Tension,SB+0,SC,24,442-441,276,6,91,12.79853611,79.62561944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62561944444444 12.798536111111112, 79.62374722222222 12.796977777777778)"
97,440,,Suspension,SA+0,SC,26,441-440,269,1.9,92,12.79697778,79.62374722,GOOD,GOOD,"HT, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62374722222222 12.796977777777778, 79.62142777777777 12.795238888888889)"
98,439,,Suspension,SA+0,SC,26,440-439,325,2.7,93,12.79523889,79.62142778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62142777777777 12.795238888888889, 79.61928888888889 12.793591666666666)"
99,438,,Suspension,SA+0,SC,26,439-438,296,8.2,94,12.79359167,79.61928889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61928888888889 12.793591666666666, 79.61726388888889 12.792072222222222)"
100,437,,Suspension,SA+0,SC,26,438-437,288,9.6,95,12.79207222,79.61726389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61726388888889 12.792072222222222, 79.61511666666667 12.790441666666666)"
101,436,,Tension,SB+0,SC,24,437-436,297,7.1,96,12.79044167,79.61511667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61511666666667 12.790441666666666, 79.61351944444444 12.789241666666667)"
102,435,,Suspension,SA+0,SC,26,436-435,223,0.9,99,12.78924167,79.61351944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61351944444444 12.789241666666667, 79.61195 12.788038888888888)"
103,434,,Suspension,SA+0,SC,26,435-434,216,5.2,101,12.78803889,79.61195,GOOD,GOOD,"HT, LT, 110kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61195 12.788038888888888, 79.61036388888888 12.786847222222223)"
104,433,,Suspension,SA+0,SC,26,434-433,225,2,102,12.78684722,79.61036389,GOOD,GOOD,"Two HT, LT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61036388888888 12.786847222222223, 79.60799722222221 12.785036111111111)"
105,432,,Tension,SB+0,SC,24,433-432,335,1.2,100,12.78503611,79.60799722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60799722222221 12.785036111111111, 79.60552777777777 12.783502777777779)"
106,431,,Suspension,SA+0,SC,26,432-431,325,3.2,100,12.78350278,79.60552778,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60552777777777 12.783502777777779, 79.6038111111111 12.782408333333334)"
107,430,,Suspension,SA+0,SC,26,431-430,225,3.1,98,12.78240833,79.60381111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6038111111111 12.782408333333334, 79.60203055555554 12.781180555555556)"
108,429,2W,Tension,SB+0,SC,24,430-429,242,0.6,96,12.78118056,79.60203056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60203055555554 12.781180555555556, 79.59946111111111 12.77953888888889)"
109,428,,Suspension,SA+0,SC,26,429-428,340,0.5,95,12.77953889,79.59946111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59946111111111 12.77953888888889, 79.597175 12.778080555555556)"
110,427,,Suspension,SA+0,SC,26,428-427,302,1.3,97,12.77808056,79.597175,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.597175 12.778080555555556, 79.59478055555554 12.776530555555556)"
111,426,,Suspension,SA+0,SC,26,427-426,316,1.2,98,12.77653056,79.59478056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59478055555554 12.776530555555556, 79.59230277777777 12.7749)"
112,425,,Tension,SB+0,SC,24,426-425,330,1.6,100,12.7749,79.59230278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59230277777777 12.7749, 79.59011944444444 12.773486111111112)"
113,424,,Suspension,SA+0,SC,26,425-424,288,2.5,99,12.77348611,79.59011944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59011944444444 12.773486111111112, 79.58779722222222 12.771955555555556)"
114,423,,Suspension,SA+0,SC,26,424-423,307,5,98,12.77195556,79.58779722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58779722222222 12.771955555555556, 79.58572222222222 12.770605555555557)"
115,422,,Suspension,SA+0,SC,26,423-422,272,0.6,102,12.77060556,79.58572222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58572222222222 12.770605555555557, 79.58313333333334 12.768927777777778)"
116,421,,Tension,SB+0,SC,24,422-421,343,3.1,101,12.76892778,79.58313333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58313333333334 12.768927777777778, 79.58153888888889 12.76785277777778)"
117,420,,Suspension,SA+0,SC,26,421-420,217,1.2,102,12.76785278,79.58153889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58153888888889 12.76785277777778, 79.57908611111111 12.766294444444444)"
118,419,2W,Tension,SB+0,SC,24,420-419,320,2.3,103,12.76629444,79.57908611,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57908611111111 12.766294444444444, 79.57688333333333 12.764872222222222)"
119,418,,Suspension,SA+0,SC,26,419-418,296,5.4,104,12.76487222,79.57688333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57688333333333 12.764872222222222, 79.57448055555555 12.763277777777779)"
120,417,,Suspension,SA+0,SC,26,418-417,319,3.2,103,12.76327778,79.57448056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57448055555555 12.763277777777779, 79.57213888888889 12.761763888888888)"
121,416,,Suspension,SA+0,SC,26,417-416,310,1.2,102,12.76176389,79.57213889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57213888888889 12.761763888888888, 79.56977222222221 12.760213888888888)"
122,415,,Suspension,SA+0,SC,26,416-415,315,1.8,100,12.76021389,79.56977222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56977222222221 12.760213888888888, 79.56761666666667 12.758819444444445)"
123,414,,Suspension,SA+0,SC,26,415-414,286,-,101,12.75881944,79.56761667,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56761666666667 12.758819444444445, 79.56529444444445 12.75731388888889)"
124,413,,Tension,SB+0,SC,24,414-413,310,1.6,99,12.75731389,79.56529444,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56529444444445 12.75731388888889, 79.56305555555555 12.755847222222222)"
125,412,,Suspension,SA+0,SC,26,413-412,297,6.3,98,12.75584722,79.56305556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56305555555555 12.755847222222222, 79.560825 12.754397222222222)"
126,411,,Suspension,SA+0,SC,26,412-411,297,2.6,99,12.75439722,79.560825,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.560825 12.754397222222222, 79.55831111111111 12.752755555555556)"
127,410,,Suspension,SA+0,SC,26,411-410,331,1.2,98,12.75275556,79.55831111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55831111111111 12.752755555555556, 79.55618333333334 12.75136111111111)"
128,409,,Suspension,SA+0,SC,26,410-409,284,1.8,97,12.75136111,79.55618333,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55618333333334 12.75136111111111, 79.55372222222222 12.749794444444444)"
129,408,2W,Tension,SB+0,SC,24,409-408,325,9.2,98,12.74979444,79.55372222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55372222222222 12.749794444444444, 79.55131944444445 12.748252777777777)"
130,407,,Suspension,SA+0,SC,26,408-407,316,9.3,99,12.74825278,79.55131944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55131944444445 12.748252777777777, 79.54906111111111 12.746775)"
131,406,,Suspension,SA+0,SC,26,407-406,299,5,100,12.746775,79.54906111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54906111111111 12.746775, 79.54676666666667 12.745316666666666)"
132,405,,Suspension,SA+0,SC,26,406-405,301,5.1,98,12.74531667,79.54676667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54676666666667 12.745316666666666, 79.54437222222222 12.743758333333332)"
133,404,,Suspension,SA+0,SC,26,405-404,318,-,96,12.74375833,79.54437222,GOOD,GOOD,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54437222222222 12.743758333333332, 79.54206111111111 12.742244444444443)"
134,403,,Tension,SB+0,SC,24,404-403,305,-,95,12.74224444,79.54206111,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54206111111111 12.742244444444443, 79.53985 12.74082222222222)"
135,402,,Suspension,SA+0,SC,26,403-402,292,-,95,12.74082222,79.53985,GOOD,GOOD,-,-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53985 12.74082222222222, 79.53749166666667 12.739263888888889)"
136,401,,Suspension,SA+0,SC,26,402-401,315,-,95,12.73926389,79.53749167,GOOD,GOOD,"LT, HT",-,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53749166666667 12.739263888888889, 79.53520833333333 12.737758333333332)"
137,400,,Suspension,SA+0,SC,26,401-400,303,-,95,12.73775833,79.53520833,GOOD,GOOD,"LT, HT",Road,Agriculture Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53520833333333 12.737758333333332, 79.53285833333334 12.736244444444443)"
138,399,,Suspension,SA+0,SC,26,400-399,309,2.3,96,12.73624444,79.53285833,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53285833333334 12.736244444444443, 79.5305 12.734738888888888)"
139,398,2W,Tension,SB+0,SC,24,399-398,313,1.2,95,12.73473889,79.5305,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5305 12.734738888888888, 79.52838055555556 12.733327777777777)"
140,397,,Suspension,SA+0,SC,26,398-397,283,1,94,12.73332778,79.52838056,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52838055555556 12.733327777777777, 79.52601388888888 12.731830555555556)"
141,396,,Suspension,SA+0,SC,26,397-396,311,4.2,93,12.73183056,79.52601389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52601388888888 12.731830555555556, 79.52388611111111 12.730463888888888)"
142,395,,Suspension,SA+0,SC,26,396-395,279,0.3,95,12.73046389,79.52388611,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52388611111111 12.730463888888888, 79.52161111111111 12.728977777777779)"
143,394,,Suspension,SA+0,SC,26,395-394,301,8.7,96,12.72897778,79.52161111,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52161111111111 12.728977777777779, 79.51910555555556 12.727408333333333)"
144,393,,Tension,SB+0,SC,24,394-393,326,2.8,98,12.72740833,79.51910556,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51910555555556 12.727408333333333, 79.51690277777777 12.726166666666666)"
145,392,,Tension,SB+0,SC,24,393-392,278,4.7,99,12.72616667,79.51690278,GOOD,GOOD,110kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51690277777777 12.726166666666666, 79.51522222222222 12.725272222222223)"
146,391,2W,Tension,DD+3,DC,31,392-391,214,1.2,98,12.72527222,79.51522222,GOOD,GOOD,-,-,Plain,LILO Tower to Arani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51522222222222 12.725272222222223, 79.51547222222223 12.72516388888889)"
147,Siringattur Gantry,,,Gantry,-,15,391-Siringattur Gantry,34,-,99,12.72516389,79.51547222,GOOD,NO E/W,-,-,Plain,No peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
