S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,T.NO 52,S,DA,26,51-52,242.404225315134,4.05,17,,79.90216666666667,12.285555555555556,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90216666666667 12.285555555555556, 79.90133333333334 12.283388888888888)"
54,T.NO 53,T,DC,26,52-53,257.456624012717,3.62,22,"22°13'43""",79.90133333333334,12.283388888888888,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90133333333334 12.283388888888888, 79.90133333333334 12.28202777777778)"
55,T.NO 54,S,DA,26,53-54,153,4.15,20,,79.90133333333334,12.28202777777778,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90133333333334 12.28202777777778, 79.90138888888889 12.280277777777778)"
56,T.NO 55,T,DD,28,54-55,195.041232731603,4.85,19,"62°48'10""",79.90138888888889,12.280277777777778,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90138888888889 12.280277777777778, 79.89944444444446 12.279250000000001)"
57,T.NO 56,T,DD,28,55-56,238.531050601811,5.15,17,"72°34'8""",79.89944444444446,12.279250000000001,,,GOOD,GOOD,"LT,HT",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89944444444446 12.279250000000001, 79.89994444444446 12.276694444444445)"
58,T.NO 57,S,DA,26,56-57,288.920127813253,4.3,13,,79.89994444444446,12.276694444444445,,,GOOD,GOOD,"LT,HT",TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89994444444446 12.276694444444445, 79.90030555555556 12.274833333333333)"
59,T.NO 58 LILO ILLEDU,T,DC,26,57-58,210.296440485738,2.58,17,,79.90030555555556,12.274833333333333,Yes,,GOOD,GOOD,"LT,HT",,PLAIN,ILLEDU LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,16168M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
