Tower No,Tower Type  (T/S),"Joint Box
",Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),,Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 93,S,,DA,26,92-93,334.60006,4.7,58,,,79.84797222,12.55561111,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84797222222221 12.555611111111112, 79.84627777777777 12.553444444444445)"
T.NO 94,S,,DA,26,93-94,303.2350079,6.85,57,,,79.84627778,12.55344444,,,GOOD,GOOD,"2nos LT,TAAR ROAD",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84627777777777 12.553444444444445, 79.84436111111111 12.550944444444445)"
T.NO 95,S,,DA,26,94-95,347.8083044,8.06,54,,,79.84436111,12.55094444,,,GOOD,GOOD,"3nos LT,TAAR ROAD",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84436111111111 12.550944444444445, 79.84280555555556 12.54886111111111)"
T.NO 96,T,,DC,26,95-96,286.8006298,6.38,55,"26°21'39""",,79.84280556,12.54886111,,,GOOD,GOOD,"2nos HT,TAAR ROAD.LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84280555555556 12.54886111111111, 79.84224999999999 12.545777777777777)"
T.NO 97,S,,DA,26,96-97,347.4130483,BUSHESS,51,,,79.84225,12.54577778,,,GOOD,GOOD,"LT ,HT, ROAD -1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84224999999999 12.545777777777777, 79.84172222222222 12.542833333333332)"
T.NO 98,S,,DA,26,97-98,331.1348209,4.95,49,,,79.84172222,12.54283333,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84172222222222 12.542833333333332, 79.84125 12.539888888888889)"
T.NO 99LILO MADHURADHAM,S,3W,DA,26,98-99,330.6209945,5.67,45,,,79.84125,12.53988889,Yes,,GOOD,GOOD,LT,,PLAIN,MADHURANDHAGAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84125 12.539888888888889, 79.84075 12.537083333333333)"
T.NO 100,S,,DA,26,99-100,314.5123602,4.61,41,,,79.84075,12.53708333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84075 12.537083333333333, 79.84030555555555 12.534277777777778)"
T.NO 101,S,,DA,26,100-101,316.3173005,5.28,40,,,79.84030556,12.53427778,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84030555555555 12.534277777777778, 79.83980555555556 12.531444444444446)"
T.NO 102,S,,DA,26,101-102,318.7955317,3.69,39,,,79.83980556,12.53144444,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83980555555556 12.531444444444446, 79.83922222222222 12.528527777777779)"
T.NO 103,S,,DA,26,102-103,329.4950532,4.35,40,,,79.83922222,12.52852778,,,GOOD,GOOD,"LT,HT",RIVER -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83922222222222 12.528527777777779, 79.83858333333333 12.525555555555556)"
T.NO 104,S,,DA,26,103-104,338.3425559,5.96,40,,,79.83858333,12.52555556,,,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83858333333333 12.525555555555556, 79.83797222222222 12.522361111111111)"
T.NO 105,S,,DA,26,104-105,358.7177658,4.71,38,,,79.83797222,12.52236111,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83797222222222 12.522361111111111, 79.83736111111111 12.519472222222223)"
T.NO 106,S,,DA,26,105-106,328.714815,5.36,39,,,79.83736111,12.51947222,,,GOOD,GOOD,"HT,LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83736111111111 12.519472222222223, 79.83683333333333 12.516916666666667)"
T.NO 107,S,,DA,26,106-107,290.2905114,6.47,39,,,79.83683333,12.51691667,,,GOOD,GOOD,LT,RIVER -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83683333333333 12.516916666666667, 79.83627777777777 12.514027777777779)"
T.NO 108,S,,DA,26,107-108,326.1614983,4.25,39,,,79.83627778,12.51402778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83627777777777 12.514027777777779, 79.83566666666667 12.511138888888889)"
T.NO 109,S,,DA,26,108-109,325.0030864,4.9,39,,,79.83566667,12.51113889,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83566666666667 12.511138888888889, 79.835 12.507944444444444)"
T.NO 110,T,2W,DB,24,109-110,363.2278289,3.17,42,"4°18'46""",,79.835,12.50794444,Yes,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.835 12.507944444444444, 79.83422222222222 12.505166666666666)"
T.NO 111,S,,DA,26,110-111,317.8927263,5.21,44,,,79.83422222,12.50516667,,,GOOD,GOOD,,MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83422222222222 12.505166666666666, 79.83338888888889 12.502083333333333)"
T.NO 112,S,,DA,26,111-112,355.1581568,6.59,45,,,79.83338889,12.50208333,,,GOOD,GOOD,"LT,230KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83338888888889 12.502083333333333, 79.83263888888888 12.499138888888888)"
T.NO 113,S,,DA,26,112-113,335.7118163,4.72,46,,,79.83263889,12.49913889,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83263888888888 12.499138888888888, 79.83191666666666 12.496611111111111)"
T.NO 114,S,,DA,26,113-114,290.9689639,4.26,46,,,79.83191667,12.49661111,,,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83191666666666 12.496611111111111, 79.83111111111111 12.493611111111111)"
T.NO 115,S,,DA,26,114-115,343.7564733,5.83,49,,,79.83111111,12.49361111,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83111111111111 12.493611111111111, 79.83030555555555 12.490527777777777)"
T.NO 116,S,,DA,26,115-116,353.4230412,2.84,46,,,79.83030556,12.49052778,,,GOOD,GOOD,"LT,400KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83030555555555 12.490527777777777, 79.8295 12.487499999999999)"
T.NO 117,S,,DA,26,116-117,348.1397413,4.63,48,,,79.8295,12.4875,,,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8295 12.487499999999999, 79.8286111111111 12.484277777777777)"
T.NO 118,S,,DA,26,117-118,371.6480811,5.17,52,,,79.82861111,12.48427778,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8286111111111 12.484277777777777, 79.82788888888888 12.481444444444445)"
T.NO 119,S,,DA,26,118-119,323.5957222,5.86,58,,,79.82788889,12.48144444,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82788888888888 12.481444444444445, 79.82713888888888 12.478833333333334)"
T.NO 120,T,2W,DB,24,119-120,301.6825569,6.23,58,"2°57'9""",,79.82713889,12.47883333,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82713888888888 12.478833333333334, 79.82658333333333 12.476083333333333)"
T.NO 121,S,,DA,26,120-121,309.8834732,6.94,59,,,79.82658333,12.47608333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82658333333333 12.476083333333333, 79.82597222222222 12.473222222222223)"
T.NO 122,S,,DA,26,121-122,325.2113508,5.71,56,,,79.82597222,12.47322222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82597222222222 12.473222222222223, 79.82533333333333 12.47038888888889)"
T.NO 123,S,,DA,26,122-123,320.7561571,6.3,56,,,79.82533333,12.47038889,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82533333333333 12.47038888888889, 79.82472222222222 12.467555555555556)"
T.NO 124,S,,DA,26,123-124,322.7079421,6.69,57,,,79.82472222,12.46755556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82472222222222 12.467555555555556, 79.82411111111111 12.464694444444444)"
T.NO 125,S,,DA,26,124-125,324.0247669,7.2,57,,,79.82411111,12.46469444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82411111111111 12.464694444444444, 79.82352777777777 12.461972222222222)"
T.NO 126,S,,DA,26,125-126,307.7507131,6.92,59,,,79.82352778,12.46197222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82352777777777 12.461972222222222, 79.82291666666666 12.459138888888889)"
T.NO 127,S,,DA,26,126-127,322.491835,5.93,60,,,79.82291667,12.45913889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82291666666666 12.459138888888889, 79.82233333333333 12.456416666666666)"
T.NO 128,S,,DA,26,127-128,307.9609096,6.48,63,,,79.82233333,12.45641667,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82233333333333 12.456416666666666, 79.82169444444445 12.453555555555555)"
T.NO 129,S,,DA,26,128-129,325.422564,6.92,61,,,79.82169444,12.45355556,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82169444444445 12.453555555555555, 79.82111111111111 12.450722222222222)"
T.NO 130,S,,DA,26,129-130,320.882791,5.51,57,,,79.82111111,12.45072222,,,GOOD,GOOD,"HT,LT",MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82111111111111 12.450722222222222, 79.8205 12.447888888888889)"
T.NO 131,S,,DA,26,130-131,320.1128327,4.82,58,,,79.8205,12.44788889,,,GOOD,GOOD,LT,MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8205 12.447888888888889, 79.81991666666666 12.44513888888889)"
T.NO 132,S,,DA,26,131-132,311.104821,4.31,56,,,79.81991667,12.44513889,,,GOOD,GOOD,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81991666666666 12.44513888888889, 79.81927777777777 12.442361111111111)"
T.NO 133,T,2W,DB,24,132-133,315.879342,5.01,59,"0°1'9""",,79.81927778,12.44236111,Yes,,GOOD,GOOD,"HT,LT",MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81927777777777 12.442361111111111, 79.81880555555556 12.440194444444444)"
T.NO 134,S,,DA,26,133-134,248.5237362,5.82,61,,,79.81880556,12.44019444,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81880555555556 12.440194444444444, 79.81822222222222 12.437472222222222)"
T.NO 135,S,,DA,26,134-135,306.9836597,6.38,60,,,79.81822222,12.43747222,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81822222222222 12.437472222222222, 79.81766666666667 12.434777777777779)"
T.NO 136,S,,DA,26,135-136,306.5650504,5.69,58,,,79.81766667,12.43477778,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81766666666667 12.434777777777779, 79.81705555555556 12.431916666666666)"
T.NO 137,S,,DA,26,136-137,322.0685285,IN WATER,58,,,79.81705556,12.43191667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81705555555556 12.431916666666666, 79.81644444444444 12.429166666666665)"
T.NO 138,S,,DA,26,137-138,313.7075311,4.32,48,,,79.81644444,12.42916667,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81644444444444 12.429166666666665, 79.81588888888889 12.426444444444444)"
T.NO 139,S,,DA,26,138-139,308.902582,4.17,51,,,79.81588889,12.42644444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81588888888889 12.426444444444444, 79.81472222222222 12.421166666666666)"
T.NO 140,S,,DA,26,139-140,596.3662738,6.49,51,,,79.81472222,12.42116667,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81472222222222 12.421166666666666, 79.81533333333333 12.423972222222222)"
T.NO 141,S,,DA,26,140-141,316.2031091,5.12,50,,,79.81533333,12.42397222,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81533333333333 12.423972222222222, 79.81433333333334 12.41936111111111)"
T.NO 142 LILO ACHARAPAKKAM 230KV SS,T,3W,DD,28,141-142,521.7504201,5.72,58,"50°51'7""",,79.81433333,12.41936111,Yes,,GOOD,GOOD,LT,,PLAIN,ACHARAPAKKAM 230KV SS LILO  NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81433333333334 12.41936111111111, 79.81224999999999 12.418305555555555)"
T.NO 143,T,,DB,24,142-143,256.8124313,6.15,60,"12°48'54""",,79.81225,12.41830556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81224999999999 12.418305555555555, 79.81016666666666 12.416583333333334)"
T.NO 144,T,,DD,28,143-144,296.3811098,5.47,60,"49°29'14""",,79.81016667,12.41658333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81016666666666 12.416583333333334, 79.81013888888889 12.41375)"
T.NO 145,T,,DD,28,144-145,314.0255581,6.8,63,"58°49'10""",,79.81013889,12.41375,,,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81013888888889 12.41375, 79.81166666666667 12.412805555555556)"
T.NO 146,T,,DD,28,145-146,197.7358635,3.26,64,"76°46'28""",,79.81166667,12.41280556,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81166666666667 12.412805555555556, 79.81147222222222 12.412194444444445)"
GT 110KV ACHARAPAKKAM SS,,2W,GT,15,146-GT,72.78439942,,66,,,79.81147222,12.41219444,Yes,,GOOD,GOOD,,,S.S,110KV ACHARAPAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
