,Tower No, Supspension / Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
47,T.NO-71,S,SA,SC,26,72-71,NO,299.0468190768797,BUSHES,20,,79.47330555555556,10.788722222222223,GOOD,GOOD,NO,11KV,,CULTIVATION,HEAVY BUEHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47330555555556 10.788722222222223, 79.47638888888889 10.789055555555555)"
48,T.NO-70,T,SB,SC,30,71-70,NO,339.8072983324519,BUSHES,13,"3°6'12.38""",79.47638888888889,10.789055555555555,GOOD,GOOD,NO,"33KV, LT",TAAR ROAD,CULTIVATION,HEAVY BUEHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47638888888889 10.789055555555555, 79.47880555555555 10.789194444444444)"
49,T.NO-69,T,SB,SC,24,70-69,YES,265.31867631209076,2.03,24,"00°00'00.00""",79.47880555555555,10.789194444444444,GOOD,GOOD,NO,,"RIVER CROSSING, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47880555555555 10.789194444444444, 79.48100000000001 10.789277777777778)"
50,T.NO-68,S,SA,SC,26,69-68,NO,239.1693960355296,2.31,23,,79.48100000000001,10.789277777777778,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48100000000001 10.789277777777778, 79.48319444444445 10.789333333333333)"
51,T.NO-67,S,SA,SC,26,68-67,NO,240.0749882849107,2.39,23,,79.48319444444445,10.789333333333333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48319444444445 10.789333333333333, 79.48541666666667 10.789388888888888)"
52,T.NO-66,S,SA,SC,26,67-66,NO,244.05122413132864,1.52,23,,79.48541666666667,10.789388888888888,GOOD,GOOD,NO,11KV,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48541666666667 10.789388888888888, 79.48766666666667 10.789444444444444)"
53,T.NO-65,T,SC,SC,26,66-65,DIFICULT,245.05101509685693,2.82,21,"25°11'44.33""",79.48766666666667,10.789444444444444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48766666666667 10.789444444444444, 79.48994444444445 10.788472222222222)"
54,T.NO-64,S,SA,SC,26,65-64,DIFICULT,272.6206155080719,2.01,22,,79.48994444444445,10.788472222222222,GOOD,GOOD,NO,"11KV, LT","MUD ROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48994444444445 10.788472222222222, 79.49222222222222 10.787527777777777)"
55,T.NO-63,S,SA,SC,26,64-63,DIFICULT,271.15493725912495,2.7,24,,79.49222222222222,10.787527777777777,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49222222222222 10.787527777777777, 79.49447222222223 10.786555555555555)"
56,T.NO-62,S,SA,SC,26,63-62,NO,268.15294143454776,1.32,23,,79.49447222222223,10.786555555555555,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49447222222223 10.786555555555555, 79.49661111111111 10.785638888888888)"
57,T.NO-61,S,SA,SC,26,62-61,DIFICULT,253.4324367558344,1.05,22,,79.49661111111111,10.785638888888888,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49661111111111 10.785638888888888, 79.49869444444444 10.784722222222221)"
58,T.NO-60,T,SB,SC,30,61-60,YES,248.86341635523692,1.82,19,"12°16'42.88""",79.49869444444444,10.784722222222221,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49869444444444 10.784722222222221, 79.5005 10.78436111111111)"
59,T.NO-59,T,SC,SC,26,60-59,YES,203.38387350033435,2.32,25,"24°59'40.70""",79.5005,10.78436111111111,GOOD,GOOD,NO,LT,"TAAR ROAD (SH) TAAR ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5005 10.78436111111111, 79.50283333333333 10.784888888888888)"
60,T.NO-58,S,SA,SC,26,59-58,NO,260.7623439072444,3.11,23,,79.50283333333333,10.784888888888888,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50283333333333 10.784888888888888, 79.50519444444444 10.785444444444444)"
61,T.NO-57,S,SA,SC,26,58-57,NO,264.8848806557294,2.42,20,,79.50519444444444,10.785444444444444,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50519444444444 10.785444444444444, 79.50755555555556 10.786)"
62,T.NO-56,S,SA,SC,26,57-56,NO,267.58550035455954,2.41,16,,79.50755555555556,10.786,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50755555555556 10.786, 79.51005555555555 10.786555555555555)"
63,T.NO-55,S,SA,SC,26,56-55,NO,279.3027031734566,3.19,16,,79.51005555555555,10.786555555555555,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51005555555555 10.786555555555555, 79.51230555555556 10.787083333333333)"
64,T.NO-54,S,SA,SC,26,55-54,NO,251.7717220022932,2.8,16,,79.51230555555556,10.787083333333333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51230555555556 10.787083333333333, 79.51458333333333 10.787583333333334)"
65,T.NO-53,S,SA,SC,26,54-53,NO,255.9785147234041,2.92,20,,79.51458333333333,10.787583333333334,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51458333333333 10.787583333333334, 79.51686111111111 10.78811111111111)"
66,T.NO-52,S,SA,SC,26,53-52,NO,255.21951336055793,2.21,20,,79.51686111111111,10.78811111111111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51686111111111 10.78811111111111, 79.51891666666667 10.788583333333333)"
67,T.NO-51,T,SD,SC,26,52-51,NO,231.68297304722245,2.51,19,"46°45'47.67""",79.51891666666667,10.788583333333333,GOOD,,YES,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51891666666667 10.788583333333333, 79.5201388888889 10.79063888888889)"
68,T.NO-50,S,SA,SC,26,51-50,YES,265.83077323741134,2.09,17,,79.5201388888889,10.79063888888889,GOOD,NO EARTH WIRE,NO,110KV LINE CROSSING ABOVE OUR LINE,,CULTIVATION,OUR EARTH WIRE CONNECT TO CROSSING 110KV RIGHT SIDE TOWER FROM  OUR T.NO-51 THEN CONNECT TO OUR T.NO-50 NO CLEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5201388888889 10.79063888888889, 79.5213611111111 10.792722222222222)"
69,T.NO-49,S,SA,SC,26,50-49,NO,265.68590478232,3.11,20,,79.5213611111111,10.792722222222222,GOOD,GOOD,NO,,2nos canal,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5213611111111 10.792722222222222, 79.52255555555556 10.794805555555556)"
70,T.NO-48,T,SD,SC,26,49-48,NO,265.32432983049256,3.84,18,"58°47'40.17""",79.52255555555556,10.794805555555556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52255555555556 10.794805555555556, 79.52497222222222 10.79486111111111)"
71,T.NO-47,S,SA,SC,26,48-47,YES,263.0304164920856,3.19,20,,79.52497222222222,10.79486111111111,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52497222222222 10.79486111111111, 79.52663888888888 10.794944444444445)"
