S.No,Tower No.,Tower Suspension / Tension,Joint Box Locaton,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,51,S,,SC on SC,26,50 - 51,258.8743232,18.2,8.95,6.8,38,92,0°24'58''LT,11.55543932,79.36574575,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3657457549124 11.5554393175989, 79.3646765593439 11.5532636269927)"
54,52,S,,SC on SC,26,51 - 52,268.6894132,16.85,7.7,5.6,35.8,90,0°41'46''RT,11.55326363,79.36467656,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3646765593439 11.5532636269927, 79.3636530451476 11.5511153452098)"
55,53,S,,SC on SC,26,52 - 53,263.8075702,22,12.15,10.6,22.3,89,1°4'54''LT,11.55111535,79.36365305,GOOD,Available,"2-LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3636530451476 11.5511153452098, 79.3625746294856 11.5489576756954)"
56,54,T,,SC on SC,26,53 - 54,267.3409733,21.75,11.95,10.3,25.4,85,13°38'21''LT,11.54895768,79.36257463,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3625746294856 11.5489576756954, 79.3611087184399 11.5472227055579)"
57,55,S,,SC on SC,26,54 - 55,251.0531112,21.95,11.95,10.7,0.1,84,0°8'49''RT,11.54722271,79.36110872,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3611087184399 11.5472227055579, 79.3596428073942 11.545478682965)"
58,56,S,,SC on SC,26,55 - 56,251.8240528,21.75,11.8,10.5,12.6,84,0°18'52''LT,11.54547868,79.35964281,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3596428073942 11.545478682965, 79.3583225738257 11.5439253486692)"
59,57,T,2 way,SC on SC,26,56 - 57,225.4472479,21.5,11.65,10.1,21.6,84,36°42'45''RT,11.54392535,79.35832257,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3583225738257 11.5439253486692, 79.3582637328654 11.5430029202252)"
60,58,T,,SC on SC,26,57 - 58,103.4892087,22.15,12.25,10.8,18.4,82,30°20'3''LT,11.54300292,79.35826373,GOOD,Available,RAIL WAY LINE,RAIL  WAY TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3582637328654 11.5430029202252, 79.3566731829196 11.5406434144824)"
61,59,S,,SC on SC,26,58 - 59,314.6607495,22.75,13.05,11.1,33.1,81,0°15'10''RT,11.54064341,79.35667318,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3566731829196 11.5406434144824, 79.3555280473083 11.5389283932745)"
62,60,S,,SC on SC,26,59 - 60,228.395164,22.85,12.95,11.4,19.2,99,0°20'3''LT,11.53892839,79.35552805,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3555280473083 11.5389283932745, 79.3543192092329 11.537140617147)"
