,Tower No,CIRCUIT, Supspension/Tenion,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(?),GPS Co Ordinates,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks
S. No ,,,,Joint box,,,,,,,,Long.,Lat.,,,,Power Line,"Rail,Road,River",,
51,T.NO 47,SC,T,,26,46-47,NO,229,2.81,38,"28°16'34.82""","79°19'26.1"" E","10°43'34.3"" N",GOOD,GOOD,NO,LT-2NOS,TAAR ROAD,CULTIVATION LAND,
52,T.NO 48,SC,S,,26,47-48,YES,272,2.56,37,,"79°19'26.3"" E","10°43'25.5"" N",GOOD,GOOD,NO,11KV,,CULTIVATION LAND,
53,T.NO 49,SC,T,,28,48-49,YES,219,2.32,38,"33°46'13.09""","79°19'26.4"" E","10°43'18.4"" N",GOOD,GOOD,NO,11KV,"TAAR ROAD, CANNEL",CULTIVATION LAND,
54,T.NO 50,SC,S,,26,49-50,NO,215,,36,,"79°19'22.6"" E","10°43'12.5"" N",GOOD,GOOD,NO,LT-3 NOS,TAAR ROAD,CULTIVATION LAND,WATER SURROUNDED
55,T.NO 51,SC,S,,26,50-51,NO,211,2.97,35,,"79°19'18.8"" E","10°43'06.7"" N",GOOD,GOOD,NO,11KV,,CULTIVATION LAND,
56,T.NO 52,SC,S,,26,51-52,NO,210,3.27,33,,"79°19'14.9"" E","10°43'01.1"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
57,T.NO 53,SC,T,,26,52-53,NO,260,3.56,35,"27°10'44.71""","79°19'10.2"" E","10°42'54.0"" N",GOOD,GOOD,NO,LT,,,
58,T.NO 54,SC,T,,26,53-54,YES,214,2.17,,"27°2'0.42""","79°19'09.4"" E","10°42'47.1"" N",GOOD,GOOD,NO,LT-2 NOS,,CULTIVATION LAND,
59,T.NO 55,SC,S,,29,54-55,YES,247,2.37,,,"79°19'12.3"" E","10°42'39.5"" N",GOOD,GOOD,NO,LT-2 NOS,,CULTIVATION LAND,
60,T.NO 56,SC,S,,29,55-56,YES,259,,,,"79°19'15.3"" E","10°42'31.7"" N",GOOD,GOOD,NO,LT,"TAAR ROAD, CANNEL",CULTIVATION LAND,WATER SURROUNDED
61,T.NO 57,SC,T,,24,56-57,YES,269,,,"10°0'1.54""","79°19'18.4"" E","10°42'23.5"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER SURROUNDED
62,T.NO 58,SC,T,,24,57-58,YES,147,,,"10°27'37.55""","79°19'19.2"" E","10°42'18.8"" N",GOOD,GOOD,NO,"LT,11KV","TAAR ROAD, CANNEL,MUD ROAD",,BUSHES
63,T.NO 59,SC,T,,28,58-59,YES,169,2.25,33,"61°12'7.69""","79°19'19.2"" E","10°42'13.3"" N",GOOD,GOOD,NO,,,,
64,GANTRY  VADUVUR,GANTRY,T,2 way,20,59-GANTRY,SS,26,,37,,"79°19'19.9"" E","10°42'12.8"" N",GOOD,NO,NO,,,,NO EARTH WIRE T.NO-59 TO GANDRY
,,,,,,,,14308,,,,,,,,,,,,
