S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,141,S,,SA,22,142-141,294.8955787,3.1,38.023922,,10.53930556,79.27513889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27513888888889 10.539305555555556, 79.27469444444445 10.541916666666667)"
58,140,S,,SA,22,141-140,290.8082339,4.27,37.412754,,10.54191667,79.27469444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27469444444445 10.541916666666667, 79.2743611111111 10.543833333333334)"
59,139,T,,SC,22,140-139,261,5.02,35.774086,"19°3'15"" L",10.54383333,79.27436111,GOOD,Available,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2743611111111 10.543833333333334, 79.27319444444444 10.545916666666667)"
60,138,S,,SA,22,139-138,263.6722181,2.97,36.524628,,10.54591667,79.27319444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27319444444444 10.545916666666667, 79.272 10.548111111111112)"
61,137,S,,SA,22,138-137,277.3543005,6.02,36.761715,,10.54811111,79.272,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.272 10.548111111111112, 79.27080555555555 10.550277777777778)"
62,136,S,,SA,22,137-136,272.3920428,4.65,36.280479,,10.55027778,79.27080556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27080555555555 10.550277777777778, 79.26963888888889 10.552361111111113)"
63,135,S,,SA,22,136-135,261.4068165,5.07,36.502426,,10.55236111,79.26963889,GOOD,Available,"LT ,110 KV",,AGRI,Down Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26963888888889 10.552361111111113, 79.26847222222221 10.554472222222223)"
64,134,T,,SC,22,135-134,266.7679364,4.9,35.944862,"1°42'22"" L",10.55447222,79.26847222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26847222222221 10.554472222222223, 79.26766666666667 10.555805555555557)"
65,LILO : 133 A,T,3W,DC,22,134-4,172.2777378,6.12,37.945339,"3°49'57"" R",10.55580556,79.26766667,GOOD,Available,,,AGRI,LILO to N.T Kudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26766666666667 10.555805555555557, 79.26736111111111 10.55638888888889)"
66,133,S,,SA,22,4-133,85,5.63,33.913551,,10.55638889,79.26736111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26736111111111 10.55638888888889, 79.26611111111112 10.558583333333335)"
67,132,S,,SA,22,133-132,277.4965717,6.39,33.593052,,10.55858333,79.26611111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26611111111112 10.558583333333335, 79.26491666666666 10.560694444444445)"
68,131,S,,SA,22,132-131,269.0512894,2.56,33.760799,,10.56069444,79.26491667,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26491666666666 10.560694444444445, 79.26372222222223 10.562833333333334)"
69,130,S,,SA,22,131-130,268.0876389,2.23,34.198143,,10.56283333,79.26372222,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26372222222223 10.562833333333334, 79.26258333333334 10.564861111111112)"
70,129,T,,SC,22,130-129,256.5702669,4.85,34.00066,"19°37'57"" R",10.56486111,79.26258333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26258333333334 10.564861111111112, 79.26225 10.567055555555555)"
71,128,S,,SA,22,129-128,245.2205928,6.52,32.919125,,10.56705556,79.26225,GOOD,NO E/W,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26225 10.567055555555555, 79.26191666666666 10.56936111111111)"
72,127,S,,SA,22,128-127,259.8549745,2.71,34.211758,,10.56936111,79.26191667,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26191666666666 10.56936111111111, 79.26155555555556 10.572027777777777)"
73,126,S,,SA,22,127-126,295.9092723,5.08,35.749653,,10.57202778,79.26155556,GOOD,NO E/W,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26155555555556 10.572027777777777, 79.26119444444444 10.574583333333333)"
74,125,S,,SA,22,126-125,284.9364053,3.14,37.261784,,10.57458333,79.26119444,GOOD,NO E/W,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26119444444444 10.574583333333333, 79.26080555555555 10.577361111111111)"
75,124,T,,SC,22,125-124,310.9183044,7.51,38.805668,"4°54'49"" R",10.57736111,79.26080556,GOOD,NO E/W,"HT,LT-2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26080555555555 10.577361111111111, 79.26069444444444 10.579777777777778)"
76,123,S,,SA,22,124-123,268.0283132,3.1,39.590363,,10.57977778,79.26069444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26069444444444 10.579777777777778, 79.26052777777778 10.582222222222223)"
77,122,S,,SA,22,123-122,270.7481655,5.66,38.433475,,10.58222222,79.26052778,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26052777777778 10.582222222222223, 79.26041666666667 10.584416666666668)"
78,121,S,,SA,22,122-121,242.4053282,8.12,38.351055,,10.58441667,79.26041667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26041666666667 10.584416666666668, 79.26030555555556 10.586555555555556)"
79,120,S,,SA,22,121-120,245,1.59,38.998775,,10.58655556,79.26030556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26030555555556 10.586555555555556, 79.26016666666666 10.588916666666668)"
80,119,T,2W,SC,22,120-119,290,3.96,40.048077,"6°51'35"" L",10.58891667,79.26016667,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26016666666666 10.588916666666668, 79.25972222222222 10.591444444444445)"
81,118,S,,SA,22,119-118,284.4187298,5.65,39.60043,,10.59144444,79.25972222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25972222222222 10.591444444444445, 79.25930555555556 10.593611111111112)"
82,117,S,,SA,22,118-117,242.2360633,2.31,40.569672,,10.59361111,79.25930556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25930555555556 10.593611111111112, 79.25897222222223 10.595472222222222)"
83,116,S,,SA,22,117-116,210.311705,4.06,42.355408,,10.59547222,79.25897222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25897222222223 10.595472222222222, 79.25844444444445 10.598111111111113)"
84,115,S,,SA,22,116-115,298.2959289,3.87,43.171108,,10.59811111,79.25844444,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25844444444445 10.598111111111113, 79.25816666666667 10.59988888888889)"
85,114,T,,SC,22,115-114,245,2.96,42.751381,"31°55'37"" L",10.59988889,79.25816667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25816666666667 10.59988888888889, 79.25669444444445 10.601555555555555)"
86,113,S,,SA,22,114-113,245.7646628,4.11,44.11343,,10.60155556,79.25669444,GOOD,Available,"HT,LT",CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25669444444445 10.601555555555555, 79.25522222222222 10.603166666666667)"
87,112,S,,SA,22,113-112,239.1917786,3.64,44.695358,,10.60316667,79.25522222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25522222222222 10.603166666666667, 79.25366666666666 10.604888888888889)"
88,111,T,,SC,22,112-111,255.2936356,4.56,43.726162,"5°10'38"" R",10.60488889,79.25366667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25366666666666 10.604888888888889, 79.25236111111111 10.606666666666666)"
89,110,S,,SA,22,111-110,244.7576545,4.71,45.497986,,10.60666667,79.25236111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25236111111111 10.606666666666666, 79.25080555555556 10.608666666666666)"
90,109,S,,SA,22,110-109,278.0663932,3.61,46.995583,,10.60866667,79.25080556,GOOD,Available,LT,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25080555555556 10.608666666666666, 79.2496388888889 10.610194444444444)"
91,108,S,,SA,22,109-108,212.4402983,2.84,45.408371,,10.61019444,79.24963889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2496388888889 10.610194444444444, 79.24830555555556 10.611944444444443)"
92,107,S,,SA,22,108-107,239.8798787,4.19,46.596928,,10.61194444,79.24830556,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24830555555556 10.611944444444443, 79.247 10.613694444444445)"
