S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
52,T.NO 62,T,2W,DB,24,63-62,262.6823176,4.38,41,"2°21'12""",11.44994633,79.28332491,Yes,,GOOD,GOOD,HT-1 LT-1,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28332490750722 11.449946330801001, 79.28230177199569 11.447888252123642)"
53,T.NO 61,S,,DA,26,62-61,253.570503,4.68,44,,11.44788825,79.28230177,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28230177199569 11.447888252123642, 79.281097284865 11.445512707669126)"
54,T.NO 60,S,,DA,26,61-60,293.8247777,4.71,44,,11.44551271,79.28109728,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.281097284865 11.445512707669126, 79.2799926876278 11.443291427046534)"
55,T.NO 59,S,,DA,26,60-59,273.6950858,3.01,46,,11.44329143,79.27999269,,,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2799926876278 11.443291427046534, 79.27868874667999 11.440698334039713)"
56,T.NO 58,T,,DD,28,59-58,320.2061836,4.17,45,"31°17'48""",11.44069833,79.27868875,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27868874667999 11.440698334039713, 79.27621472243311 11.439146985202306)"
57,T.NO 57,S,,DA,26,58-57,319.9077992,5.17,48,,11.43914699,79.27621472,,,GOOD,GOOD,HT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27621472243311 11.439146985202306, 79.27400548102668 11.437759898807437)"
58,T.NO 56,S,,DA,26,57-56,285.7761362,4.81,50,,11.4377599,79.27400548,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27400548102668 11.437759898807437, 79.27193322007965 11.436454966319886)"
59,T.NO 55,S,,DA,26,56-55,268.2871596,4.89,52,,11.43645497,79.27193322,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27193322007965 11.436454966319886, 79.26974229506072 11.435077001278387)"
60,T.NO 54,S,,DA,26,55-54,283.5507009,3.77,49,,11.435077,79.2697423,,,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26974229506072 11.435077001278387, 79.26762442423747 11.433744654304883)"
61,T.NO 53,S,,DA,26,54-53,274.1167634,4.43,51,,11.43374465,79.26762442,,,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26762442423747 11.433744654304883, 79.26557938543318 11.432494085007294)"
