S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest / Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
91,TN - 72,S,,SC,28,TN - 69 : TN - 68,257.3925177,-,69,,11.18832361,79.38986753,GOOD,AVAILABLE,"LT -2N, 11KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3898675311356 11.1883236095309, 79.388925069943 11.1905119568109)"
92,TN - 71,T,,SC,28,TN - 68 : TN - 67,265.0379343,-,68,4°34'47''LT,11.19051196,79.38892507,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.388925069943 11.1905119568109, 79.3884560186415 11.1918960604816)"
93,TN - 70,S,,SC,28,TN - 67 : TN - 66,163.4444866,-,69,,11.19189606,79.38845602,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3884560186415 11.1918960604816, 79.3875358533114 11.194368219003)"
94,TN - 69,S,,SC,28,TN - 66 : TN - 65,293.3373138,-,69,,11.19436822,79.38753585,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3875358533114 11.194368219003, 79.3871080409735 11.1955682560801)"
95,TN - 68,T,,SC,28,TN - 65 : TN - 64,142.7240993,-,69,11°18'23''RT,11.19556826,79.38710804,GOOD,AVAILABLE,"LT, 11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3871080409735 11.1955682560801, 79.3865627143532 11.1964784469455)"
96,TN - 67,S,,SC,28,TN - 64 : TN - 63,118.9765051,-,67,,11.19647845,79.38656271,GOOD,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3865627143532 11.1964784469455, 79.3857945129275 11.1979569308459)"
97,TN - 66,T,2W,SC,28,TN - 63 : TN - 62,185.8058882,-,67,3°29'58''LT,11.19795693,79.38579451,GOOD,AVAILABLE,LT,ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3857945129275 11.1979569308459, 79.3848487827926 11.2000854313373)"
98,TN - 65,S,,SC,28,TN - 62 : TN - 61,259.1014696,-,76,,11.20008543,79.38484878,GOOD,AVAILABLE,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3848487827926 11.2000854313373, 79.3842085730284 11.2015917431563)"
99,TN - 64,S,,SC,28,TN - 61 : TN - 60,182.6951917,-,76,,11.20159174,79.38420857,GOOD,AVAILABLE,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3842085730284 11.2015917431563, 79.3831787724047 11.2039999477565)"
100,TN - 63,S,,SC,28,TN - 60 : TN - 59,291.1505724,-,77,,11.20399995,79.38317877,GOOD,AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3831787724047 11.2039999477565, 79.3823195435106 11.2060386780649)"
101,TN - 62,S,,SC,28,TN - 59 : TN - 58,246.2571104,-,77,,11.20603868,79.38231954,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3823195435106 11.2060386780649, 79.3814740609377 11.207984033972)"
102,TN - 61,S,,SC,28,TN - 58 : TN - 57,236.1585016,-,79,,11.20798403,79.38147406,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3814740609377 11.207984033972, 79.3805529735982 11.2101367581635)"
103,TN - 60,S,,SC,28,TN - 57 : TN - 56,260.4976469,-,78,,11.21013676,79.38055297,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3805529735982 11.2101367581635, 79.3794641643762 11.2126681767404)"
104,TN - 59,S,,SC,28,TN - 56 : TN - 55,306.2131521,-,78,,11.21266818,79.37946416,GOOD,AVAILABLE,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3794641643762 11.2126681767404, 79.3787063565105 11.2144083436578)"
105,TN - 58,T,,SC,28,TN - 55 : TN - 54,211.5247542,-,77,25°10'20''LT,11.21440834,79.37870636,GOOD,AVAILABLE,"11KV, LT -3N",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3787063565105 11.2144083436578, 79.3787804525345 11.2169965077191)"
106,TN - 57,S,,SC,28,TN - 54 : TN - 53,288.4039146,-,75,,11.21699651,79.37878045,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3787804525345 11.2169965077191, 79.3789009004831 11.2195742782205)"
107,TN - 56,S,,SC,28,TN - 53 : TN - 52,287.4431607,-,75,,11.21957428,79.3789009,GOOD,AVAILABLE,11KV -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3789009004831 11.2195742782205, 79.3789962027221 11.2221890967339)"
108,TN - 55,S,,SC,28,TN - 52 : TN - 51,291.4252119,-,74,,11.2221891,79.3789962,GOOD,AVAILABLE,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3789962027221 11.2221890967339, 79.3790941871702 11.2244678847491)"
109,TN - 54,S,,SC,28,TN - 51 : TN - 50,254.29507,-,74,,11.22446788,79.37909419,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3790941871702 11.2244678847491, 79.3791995476931 11.2269447371363)"
110,TN - 53,T,2W,SC,28,TN - 50 : TN - 49,276.2184559,-,74,12°53'21''LT,11.22694474,79.37919955,GOOD,AVAILABLE,,ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3791995476931 11.2269447371363, 79.3797784019261 11.2290570605546)"
111,TN - 52,S,,SC,28,TN - 49 : TN - 48,244.0541006,-,70,,11.22905706,79.3797784,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3797784019261 11.2290570605546, 79.3803603574633 11.2311511114239)"
112,TN - 51,S,,SC,28,TN - 48 : TN - 47,242.1928253,-,70,,11.23115111,79.38036036,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3803603574633 11.2311511114239, 79.3809749186038 11.2333737406879)"
113,TN - 50,S,,SC,28,TN - 47 : TN - 46,256.8507677,-,71,,11.23337374,79.38097492,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3809749186038 11.2333737406879, 79.3815920781344 11.235612379387)"
114,TN - 49,T,,SC,28,TN - 46 : TN - 45,258.6337617,-,71,0°3'57''LT,11.23561238,79.38159208,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3815920781344 11.235612379387, 79.3822896201163 11.2381313089281)"
115,TN - 48,S,,SC,28,TN - 45 : TN - 44,290.8549968,-,70,,11.23813131,79.38228962,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3822896201163 11.2381313089281, 79.382975930348 11.2406022939831)"
116,TN - 47,S,,SC,28,TN - 44 : TN - 43,285.4157719,-,69,,11.24060229,79.38297593,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.382975930348 11.2406022939831, 79.3835549522191 11.2426598835736)"
117,TN - 46,S,,SC,28,TN - 43 : TN - 42,238.2189739,-,62,,11.24265988,79.38355495,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3835549522191 11.2426598835736, 79.3842034600675 11.2449554353952)"
118,TN - 45,T,,SC,28,TN - 42 : TN - 41,265.6115735,-,69,1°53'13''RT,11.24495544,79.38420346,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3842034600675 11.2449554353952, 79.3847050331532 11.2469839397817)"
119,TN - 44,S,,SC,28,TN - 41 : TN - 40,232.9701887,-,68,,11.24698394,79.38470503,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3847050331532 11.2469839397817, 79.3853611685335 11.2493194732815)"
120,TN - 43,S,,SC,28,TN - 40 : TN - 39,270.0952347,-,69,,11.24931947,79.38536117,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3853611685335 11.2493194732815, 79.3859991990029 11.2515210639685)"
121,TN - 42,S,,SC,28,TN - 39 : TN - 38,255.2978535,-,69,,11.25152106,79.3859992,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3859991990029 11.2515210639685, 79.3866831623017 11.253956593573)"
122,TN - 41,T,,SC,28,TN - 38 : LILO - 37,281.5656267,-,69,36°36'31''RT,11.25395659,79.38668316,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866831623017 11.253956593573, 79.3860868737101 11.2555162981152)"
123,TN - 40,S,,SC,28,LILO - 37 : TN - 36,186.4033102,-,67,,11.2555163,79.38608687,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3860868737101 11.2555162981152, 79.3851375393569 11.2579826731234)"
124,TN - 39,S,,SC,28,TN - 36 : TN - 35,293.8466816,-,67,,11.25798267,79.38513754,GOOD,AVAILABLE,"LT -2N, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3851375393569 11.2579826731234, 79.3842415977269 11.2603170331567)"
125,TN - 38,S,,SC,28,TN - 35 : TN - 34,278.1253094,-,76,,11.26031703,79.3842416,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3842415977269 11.2603170331567, 79.3833840452134 11.262511331588)"
126,LILO - 37,T,3W,SC,28,TN - 34 : TN - 33,262.156876,-,76,0°11'55''LT,11.26251133,79.38338405,GOOD,AVAILABLE,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3833840452134 11.262511331588, 79.3825570028275 11.264649387449)"
127,TN - 36,S,,SC,28,TN - 33 : TN - 32,255.154899,-,77,,11.26464939,79.382557,GOOD,AVAILABLE,LT -2N,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3825570028275 11.264649387449, 79.3818043079227 11.2665889598429)"
128,TN - 35,S,,SC,28,TN - 32 : TN - 31,231.7482914,-,77,,11.26658896,79.38180431,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3818043079227 11.2665889598429, 79.3811816163361 11.2682128697633)"
129,TN - 34,S,,SC,28,TN - 31 : TN - 30,194.065497,-,79,,11.26821287,79.38118162,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3811816163361 11.2682128697633, 79.3802614510059 11.2706126086413)"
130,TN - 33,S,,SC,28,TN - 30 : TN - 29,285.8246343,-,78,,11.27061261,79.38026145,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3802614510059 11.2706126086413, 79.3793599773198 11.272940179333)"
131,TN - 32,T,,SC,28,TN - 29 : TN - 28,277.6375779,-,78,24°48'35''LT,11.27294018,79.37935998,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3793599773198 11.272940179333, 79.3795451335608 11.2758522201329)"
132,TN - 31,S,,SC,28,TN - 28 : TN - 27,324.7500529,-,77,,11.27585222,79.37954513,GOOD,AVAILABLE,HT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3795451335608 11.2758522201329, 79.3796624802052 11.2777965702116)"
133,TN - 30,S,,SC,28,TN - 27 : TN - 26,217.4561859,-,75,,11.27779657,79.37966248,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3796624802052 11.2777965702116, 79.3798315431922 11.2803107220679)"
134,TN - 29,T,,SC,28,TN - 26 : TN - 25,280.7156372,-,75,0°0'49''RT,11.28031072,79.37983154,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3798315431922 11.2803107220679, 79.379992140457 11.2827073596417)"
135,TN - 28,S,,SC,28,TN - 25 : TN - 24,267.6840986,-,74,,11.28270736,79.37999214,GOOD,AVAILABLE,LT -2N,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.379992140457 11.2827073596417, 79.3801342137157 11.2851490080356)"
136,TN - 27,S,,SC,28,TN - 24 : TN - 23,272.5288482,-,74,,11.28514901,79.38013421,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3801342137157 11.2851490080356, 79.3802850879728 11.2876360025256)"
137,TN - 26,S,,SC,28,TN - 23 : TN - 22,277.5925005,-,74,,11.287636,79.38028509,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3802850879728 11.2876360025256, 79.3804733455181 11.2900056503713)"
138,TN - 25,T,2W,SC,28,TN - 22 : TN - 21,264.9240624,-,70,1°30'12''RT,11.29000565,79.38047335,GOOD,AVAILABLE,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3804733455181 11.2900056503713, 79.3806058634072 11.2925015296787)"
139,TN - 24,S,,SC,28,TN - 21 : TN - 20,278.4614521,-,70,,11.29250153,79.38060586,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3806058634072 11.2925015296787, 79.3807143252342 11.2944006174802)"
140,TN - 23,S,,SC,28,TN - 20 : TN - 19,212.4018082,-,71,,11.29440062,79.38071433,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3807143252342 11.2944006174802, 79.380866875872 11.2965892162173)"
141,TN - 22,S,,SC,28,TN - 19 : TN - 18,244.6649127,-,71,,11.29658922,79.38086688,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.380866875872 11.2965892162173, 79.3810547981411 11.2990221474319)"
142,TN - 21,T,,SC,28,TN - 18 : TN - 17,271.9005554,-,70,1°56'12''RT,11.29902215,79.3810548,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3810547981411 11.2990221474319, 79.3811601586639 11.3014545757323)"
143,TN - 20,S,,SC,28,TN - 17 : TN - 16,271.3098051,-,69,,11.30145458,79.38116016,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3811601586639 11.3014545757323, 79.3813572172075 11.3038875907659)"
144,TN - 19,S,,SC,28,TN - 16 : TN - 15,271.9874676,-,62,,11.30388759,79.38135722,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3813572172075 11.3038875907659, 79.3814835324883 11.3058590982109)"
145,TN - 18,S,,SC,28,TN - 15 : TN - 14,220.5147011,-,69,,11.3058591,79.38148353,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3814835324883 11.3058590982109, 79.3816705327481 11.308454722166)"
146,TN - 17,T,,SC,28,TN - 14 : TN - 13,289.8409439,-,68,16°44'29''LT,11.30845472,79.38167053,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3816705327481 11.308454722166, 79.382537137717 11.3107286486774)"
147,TN - 16,S,,SC,28,TN - 13 : TN - 12,270.7352059,-,69,,11.31072865,79.38253714,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.382537137717 11.3107286486774, 79.3834937643259 11.313283285126)"
148,TN - 15,S,,SC,28,TN - 12 : TN - 11,303.2626512,-,69,,11.31328329,79.38349376,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3834937643259 11.313283285126, 79.384342348203 11.3155028130859)"
149,TN - 14,S,,SC,28,TN - 11 : TN - 10,264.4099411,-,69,,11.31550281,79.38434235,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.384342348203 11.3155028130859, 79.3851088732481 11.317667691037)"
150,TN - 13,S,,SC,28,TN - 10 : TN - 9,255.6681831,-,67,,11.31766769,79.38510887,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3851088732481 11.317667691037, 79.3859116081148 11.319914124906)"
151,TN - 12,S,,SC,28,TN - 9 : TN - 8,265.4893196,-,67,,11.31991412,79.38591161,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3859116081148 11.319914124906, 79.386723563075 11.3221334852278)"
152,TN - 11,T,2W,SC,28,TN - 8 : TN - 7,263.0067511,-,76,20°56'24''RT,11.32213349,79.38672356,GOOD,AVAILABLE,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.386723563075 11.3221334852278, 79.3866939749568 11.3241402804851)"
153,TN - 10,S,,SC,28,TN - 7 : TN - 6,224.0057079,-,76,,11.32414028,79.38669397,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866939749568 11.3241402804851, 79.3866875208914 11.3269337173551)"
154,TN - 9,S,,SC,28,TN - 6 : TN - 5,310.9976425,-,77,,11.32693372,79.38668752,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866875208914 11.3269337173551, 79.3866767082363 11.3288683444261)"
155,TN - 8,S,,SC,28,TN - 5 : TN - 4,216.0026301,-,77,,11.32886834,79.38667671,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866767082363 11.3288683444261, 79.3866638839244 11.3311555143445)"
156,TN - 7,S,,SC,28,TN - 4 : TN - 3,254.9999208,-,79,,11.33115551,79.38666388,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866638839244 11.3311555143445, 79.386652065441 11.3332618866115)"
157,TN - 6,S,,SC,28,TN - 3 : TN - 2,235.0006627,-,78,,11.33326189,79.38665207,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.386652065441 11.3332618866115, 79.3866931367665 11.3357301894575)"
158,TN - 5,T,,SC,28,TN - 2 : TN - 1,275.0690123,-,78,12°6'19''LT,11.33573019,79.38669314,GOOD,AVAILABLE,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3866931367665 11.3357301894575, 79.3873460870236 11.3385453354567)"
159,TN - 4,S,,SC,28,TN - 1 : LILO - 156,321.4514053,-,77,,11.33854534,79.38734609,GOOD,AVAILABLE,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3873460870236 11.3385453354567, 79.3879547808319 11.3410889916121)"
160,TN - 3,S,,SC,28,LILO - 156 : TN - 155,291.1062872,-,75,,11.34108899,79.38795478,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3879547808319 11.3410889916121, 79.3885377421975 11.3433251995593)"
161,TN - 2,S,,SC,28,TN - 155 : TN - 154,257.4129867,-,75,,11.3433252,79.38853774,GOOD,AVAILABLE,"HT, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3885377421975 11.3433251995593, 79.3891652114689 11.3457966875284)"
162,TN - 1,T,,SC,28,TN - 154 :  LILO - 153/1,283.8337586,-,74,44°0'57''RT,11.34579669,79.38916521,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3891652114689 11.3457966875284, 79.3888043705374 11.3464275095611)"
163,LILO - 156,T,2W,SC,28, LILO - 153/1 : TN - 153,82.12780826,-,74,5°38'16''LT,11.34642751,79.38880437,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3888043705374 11.3464275095611, 79.3878116179257 11.3486434333026)"
164,TN - 155,S,,SC,28,TN - 153 : TN - 152,270.0006459,-,74,,11.34864343,79.38781162,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3878116179257 11.3486434333026, 79.3865481298416 11.3514892570674)"
165,TN - 154,T,,SC,28,TN - 152 : TN - 151,345.6783176,-,70,31°12'60''LT,11.35148926,79.38654813,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3865481298416 11.3514892570674, 79.3869035225361 11.3542726356536)"
166, LILO - 153/1,T,3W,SC,28,TN - 151 : TN - 150,312.3190146,-,69,0°56'47''LT,11.35427264,79.38690352,GOOD,AVAILABLE,,,PLAIN,LILO TO ANDIMADAM,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3869035225361 11.3542726356536, 79.387323539704 11.3571792282164)"
167,TN - 153,S,,SC,28,TN - 150 : TN - 149,326.7663847,-,62,,11.35717923,79.38732354,GOOD,AVAILABLE,400KV ABOVE XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.387323539704 11.3571792282164, 79.3877209257334 11.3598087988793)"
168,TN - 152,T,,SC,28,TN - 149 : TN - 148,296.0875605,-,69,10°45'15''RT,11.3598088,79.38772093,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3877209257334 11.3598087988793, 79.387624701485 11.3623594120144)"
169,TN - 151,T,,SC,28,TN - 148 : TN - 147,284.3327645,-,68,32°1'41''LT,11.36235941,79.3876247,GOOD,AVAILABLE,765KV NGPT- BPI,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.387624701485 11.3623594120144, 79.3888577632606 11.3645066041499)"
170,TN - 150,S,,SC,28,TN - 147 : TN - 146,274.9949971,-,69,,11.3645066,79.38885776,GOOD,AVAILABLE,"LT, HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3888577632606 11.3645066041499, 79.3901673518121 11.3667542953044)"
171,TN - 149,S,,SC,28,TN - 146 : TN - 145,288.7897463,-,69,,11.3667543,79.39016735,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3901673518121 11.3667542953044, 79.3915344402194 11.3691006414592)"
172,TN - 148,S,,SC,28,TN - 145 : TN - 144,301.3777612,-,69,,11.36910064,79.39153444,GOOD,AVAILABLE,LT,"MUD ROAD, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3915344402194 11.3691006414592, 79.3927699327468 11.3712643459439)"
173,TN - 147,S,,SC,28,TN - 144 : TN - 143,276.7137594,-,67,,11.37126435,79.39276993,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3927699327468 11.3712643459439, 79.3941034935414 11.3736113626509)"
174,TN - 146,T,,SC,28,TN - 143 : TN - 142,299.6340162,-,67,7°18'48''LT,11.37361136,79.39410349,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3941034935414 11.3736113626509, 79.3955598492175 11.3755497615784)"
175,TN - 145,S,,SC,28,TN - 142 : TN - 141,268.9096618,-,76,,11.37554976,79.39555985,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3955598492175 11.3755497615784, 79.3972016125917 11.3777127955108)"
176,TN - 144,S,,SC,28,TN - 141 : TN - 140,300.9248669,-,76,,11.3777128,79.39720161,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3972016125917 11.3777127955108, 79.3985096924006 11.3794484362006)"
177,TN - 143,T,2W,SC,28,TN - 140 : TN - 139,241.2533618,-,77,18°12'44''RT,11.37944844,79.39850969,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3985096924006 11.3794484362006, 79.3992499820888 11.3816240429878)"
178,TN - 142,T,,SC,28,TN - 139 : TN - 138,255.8561212,-,67,14°35'50''RT,11.38162404,79.39924998,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3992499820888 11.3816240429878, 79.3994279298931 11.3840502686798)"
179,TN - 141,S,,SC,28,TN - 138 : TN - 137,271.0788749,-,76,,11.38405027,79.39942793,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3994279298931 11.3840502686798, 79.3996010161936 11.3863433897495)"
