S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
51,45,S,DA,26,"=B55&"" - "" &B56",290.1303972897084,0.35,98.559769,,10.728833333333334,78.71636111111111,GOOD,Available,LT,Collage Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71636111111111 10.728833333333334, 78.71877777777777 10.729194444444445)"
52,46,S,DA,26,"=B56&"" - "" &B57",266.8781795123573,1.09,98.991241,,10.729194444444445,78.71877777777777,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71877777777777 10.729194444444445, 78.72127777777779 10.729555555555555)"
53,47,S,DA,26,"=B57&"" - "" &B58",277.9338076906205,1.72,96.5358729999999,,10.729555555555555,78.72127777777779,GOOD,Available,"HT,LT",NH Road,PLAIN,Pudukkottai - Trichy Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72127777777779 10.729555555555555, 78.72419444444445 10.729944444444445)"
54,48,S,DA,26,"=B58&"" - "" &B59",322.3726932842691,3.01,93.7157969999999,,10.729944444444445,78.72419444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72419444444445 10.729944444444445, 78.72708333333334 10.730361111111112)"
55,49,S,DA,26,"=B59&"" - "" &B60",320.1005893740555,2.66,93.988579,,10.730361111111112,78.72708333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72708333333334 10.730361111111112, 78.72983333333333 10.730777777777778)"
56,50,S,DA,26,"=B60&"" - "" &B61",303.77908973960893,2.28,94.973236,,10.730777777777778,78.72983333333333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72983333333333 10.730777777777778, 78.7325 10.73113888888889)"
57,51,S,DA,26,"=B61&"" - "" &B62",294.673682706092,3.4,95.7030409999999,,10.73113888888889,78.7325,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7325 10.73113888888889, 78.73538888888889 10.731555555555556)"
58,52,T,DB,25,"=B62&"" - "" &B63",319.287847643365,4.76,94.7428819999999,"0°3'36""R",10.731555555555556,78.73538888888889,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73538888888889 10.731555555555556, 78.73827777777778 10.731972222222222)"
59,53,S,DA,26,"=B63&"" - "" &B64",318.0512941551555,1.52,95.007423,,10.731972222222222,78.73827777777778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73827777777778 10.731972222222222, 78.74116666666667 10.73238888888889)"
60,54,S,DA,26,"=B64&"" - "" &B65",320.1925287046592,1.14,94.722519,,10.73238888888889,78.74116666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74116666666667 10.73238888888889, 78.74408333333334 10.732805555555556)"
