Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,SA,S,26,35-36,,227.7279,,57m,,11.980248175762098,79.41195571145334,,,,,Good,Good,"LT1,HT-1",_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41195571145334 11.980248175762098, 79.4096495038782 11.98049726559302)"
37,SA+3,S,29,36-37,,252.6697,11.7,60m,,11.98049726559302,79.4096495038782,,,,,Good,Good,_,ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4096495038782 11.98049726559302, 79.406847097358 11.980806797146707)"
38,SA,S,26,37-38,,307.1172,,63m,,11.980806797146707,79.406847097358,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.406847097358 11.980806797146707, 79.40436637539408 11.98106389042606)"
39,SA,S,26,38-39,,272,,64m,,11.98106389042606,79.40436637539408,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40436637539408 11.98106389042606, 79.40208760155052 11.981331152775093)"
40,SA,S,26,39-40,,249.93,,62m,,11.981331152775093,79.40208760155052,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40208760155052 11.981331152775093, 79.39909204681352 11.981693744176107)"
41,SA,S,26,40-41,,328.6944,,64m,,11.981693744176107,79.39909204681352,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39909204681352 11.981693744176107, 79.3970525324424 11.981871929463946)"
42,SA+3,S,29,41-42,,222.991,7.2,62m,,11.981871929463946,79.3970525324424,,,,,Good,Good,"LT-1,HT-1",ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3970525324424 11.981871929463946, 79.39455343883532 11.982128828363463)"
43,SA,S,26,42-43,,273.6494,,67m,,11.982128828363463,79.39455343883532,,,,,Good,Good,LT-3,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39455343883532 11.982128828363463, 79.3919623098301 11.982421336765775)"
44,SA,S,26,43-44,,284.0423,,68m,,11.982421336765775,79.3919623098301,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3919623098301 11.982421336765775, 79.38948152258074 11.982687334318868)"
45,SD,T,28,44-45,,271.7738,5.6,69m," 26d49'11""LT",11.982687334318868,79.38948152258074,2W,,,,Good,Good,_,_,Plain,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38948152258074 11.982687334318868, 79.3874566593753 11.98194344163644)"
46,SA,S,26,45-46,,235.3763,,69m,,11.98194344163644,79.3874566593753,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3874566593753 11.98194344163644, 79.38560604981744 11.981236699809212)"
47,SA,S,26,46-47,,216.1782,,72m,,11.981236699809212,79.38560604981744,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38560604981744 11.981236699809212, 79.38290315346144 11.980253828297377)"
48,SA,S,26,47-48,,313.8057,,75m,,11.980253828297377,79.38290315346144,,,,,Good,Good,LT-2,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38290315346144 11.980253828297377, 79.38026439054893 11.979298423856495)"
49,SA,S,26,48-49,,306.2025,4.32,77m,,11.979298423856495,79.38026439054893,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38026439054893 11.979298423856495, 79.37770823084622 11.978352514884357)"
50,SA,S,26,49-50,,297.4054,8.13,77m,,11.978352514884357,79.37770823084622,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37770823084622 11.978352514884357, 79.37514290991345 11.97740653161778)"
51,SA,S,26,50-51,,298.3211,7.92,74m,,11.97740653161778,79.37514290991345,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37514290991345 11.97740653161778, 79.37269670053155 11.976506418596244)"
52,SB+3,T,27,51-52,,284.4169,4.5,73m,"4d30'31""RT",11.976506418596244,79.37269670053155,2W,,,,Good,Good,LT-2,ROAD,Plain,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37269670053155 11.976506418596244, 79.37045773055519 11.976267413392552)"
53,SA,S,26,52-53,,245.2774,4.1,72m,,11.976267413392552,79.37045773055519,,,,,Good,Good,HT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37045773055519 11.976267413392552, 79.36826456648431 11.97604673741087)"
54,SA,S,26,53-54,,240.1041,4.32,71m,,11.97604673741087,79.36826456648431,,,,,Good,Good,LT-2,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36826456648431 11.97604673741087, 79.36575021493361 11.975797052736171)"
55,SA,S,26,54-55,,275.2308,6.13,72m,,11.975797052736171,79.36575021493361,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36575021493361 11.975797052736171, 79.36334605008336 11.975547989246877)"
56,SA,S,26,55-56,,263,6.712,74m,,11.975547989246877,79.36334605008336,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36334605008336 11.975547989246877, 79.36077662412491 11.975297939570547)"
57,SA,S,26,56-57,,281.2046,,73m,,11.975297939570547,79.36077662412491,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36077662412491 11.975297939570547, 79.35817069826302 11.975011493239776)"
58,SA,S,26,57-58,,285.5801,,75m,,11.975011493239776,79.35817069826302,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35817069826302 11.975011493239776, 79.35555543553086 11.974752088513599)"
59,SA,S,26,58-59,,286.2761,,77m,,11.974752088513599,79.35555543553086,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35555543553086 11.974752088513599, 79.35282087626254 11.97448291927793)"
60,SA,S,26,59-60,,299.3125,,78m,,11.97448291927793,79.35282087626254,,,,,Good,Good,LT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35282087626254 11.97448291927793, 79.35017830542971 11.974187145377506)"
61,SA,S,26,60-61,,289.6636,,78m,,11.974187145377506,79.35017830542971,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35017830542971 11.974187145377506, 79.3477100266115 11.9739194940942)"
62,SC,T,26,61-62,,270.4533,,81m," 19d28'26""RT",11.9739194940942,79.3477100266115,2W,,,,Good,Good,LT-1,_,Plain,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3477100266115 11.9739194940942, 79.34719509526826 11.97404301876455)"
63,SA+6,S,32,62-63,,304,,86m,,11.97404301876455,79.34719509526826,,,,,Good,Good,LT-1,_,watter logged area,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34719509526826 11.97404301876455, 79.34247811936154 11.975145167338276)"
64,SA+3,S,29,63-64,,280,,85m,,11.975145167338276,79.34247811936154,,,,,Good,Good,LT-1,ROAD,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34247811936154 11.975145167338276, 79.3400598031921 11.9757184555738)"
65,SA,S,26,64-65,,270.9133,9.5,83,,11.9757184555738,79.3400598031921,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3400598031921 11.9757184555738, 79.33777029688864 11.976247285811802)"
66,SA,S,26,65-66,,256.1269,10.3,86m,,11.976247285811802,79.33777029688864,,,,,Good,Good,LT-1,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33777029688864 11.976247285811802, 79.33528758493598 11.976838228265617)"
67,SA,S,26,66-67,,278.1888,12.9,88m,,11.976838228265617,79.33528758493598,,,,,Good,Good,HT-1,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33528758493598 11.976838228265617, 79.33289679104588 11.977411614169986)"
68,SA,S,26,67-68,,268.0018,8.62,88m,,11.977411614169986,79.33289679104588,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33289679104588 11.977411614169986, 79.3304509005753 11.977984650226718)"
69,SA,S,26,68-69,,273.8266,7.35,90m,,11.977984650226718,79.3304509005753,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3304509005753 11.977984650226718, 79.32784863844489 11.978601930129159)"
70,SC,T,26,69-70,,291.5287,2.21,92m," 18d34'28""RT",11.978601930129159,79.32784863844489,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32784863844489 11.978601930129159, 79.32545236151317 11.980061120708353)"
71,SA,S,26,70-71,,306.8697,7.2,92m,,11.980061120708353,79.32545236151317,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32545236151317 11.980061120708353, 79.32344308272036 11.981296606820846)"
72,SA,S,26,71-72,,258,6.9,92m,,11.981296606820846,79.32344308272036,,,,,Good,Good,_,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32344308272036 11.981296606820846, 79.3210927814572 11.982737949176844)"
73,SA,S,26,72-73,,301.5725,12.13,90m,,11.982737949176844,79.3210927814572,,,,,Good,Good,LT-1,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3210927814572 11.982737949176844, 79.31919414915633 11.983892704099318)"
74,SA,S,26,73-74,,243.0576,13.4,92m,,11.983892704099318,79.31919414915633,,,,,Good,Good,LT-1,_,plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31919414915633 11.983892704099318, 79.31711080354196 11.985218090911275)"
