S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
72,70,S,DA,26,69 - 70,245.449082549454,1.64,49.220222,,10.473444444444445,79.10852777777777,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10852777777777 10.473444444444445, 79.11008333333332 10.47188888888889)"
73,71,S,DA,26,70 - 71,241.5569779610663,2.47,48.6345859999999,,10.47188888888889,79.11008333333332,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11008333333332 10.47188888888889, 79.11172222222221 10.470277777777778)"
74,72,S,DA,26,71 - 72,252.54141971632905,4.61,47.799747,,10.470277777777778,79.11172222222221,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11172222222221 10.470277777777778, 79.11333333333333 10.468666666666667)"
75,73,T,DB,26,72 - 73,249.4947318502732,3.7,49.298439,"0°14'24"" R",10.468666666666667,79.11333333333333,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11333333333333 10.468666666666667, 79.11519444444444 10.466805555555556)"
76,74,S,DA,26,73 - 74,290.3758954979823,3.07,48.3183519999999,,10.466805555555556,79.11519444444444,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11519444444444 10.466805555555556, 79.11702777777776 10.464916666666666)"
77,75,S,DA,26,74 - 75,292.13962535938447,2.26,48.007576,,10.464916666666666,79.11702777777776,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11702777777776 10.464916666666666, 79.11894444444444 10.463027777777777)"
78,76,S,DA,26,75 - 76,296.03478295720834,2.81,47.218147,,10.463027777777777,79.11894444444444,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11894444444444 10.463027777777777, 79.12091666666666 10.461027777777778)"
79,77,T,DB,26,76 - 77,309.60018083876776,1.94,49.3862379999999,"0°52'52"" R",10.461027777777778,79.12091666666666,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12091666666666 10.461027777777778, 79.12249999999999 10.459388888888888)"
80,78,S,DA,26,77 - 78,248.6701692250964,3.19,50.7744179999999,,10.459388888888888,79.12249999999999,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12249999999999 10.459388888888888, 79.12408333333333 10.457722222222221)"
81,79,S,DA,26,78 - 79,253.63857165857254,4.01,50.862411,,10.457722222222221,79.12408333333333,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12408333333333 10.457722222222221, 79.12549999999999 10.456194444444444)"
82,80,T,DB,26,79 - 80,228.65651051545385,1.69,51.880322,"0°4'50"" R",10.456194444444444,79.12549999999999,,,,,GOOD,Available,LT 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12549999999999 10.456194444444444, 79.12677777777778 10.45486111111111)"
83,81,T,DC,26,80 - 81,205.07016527535066,3.19,51.76894,"54°57'32"" L",10.45486111111111,79.12677777777778,2W,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12677777777778 10.45486111111111, 79.12683333333332 10.455138888888888)"
84,Gantry (Karambakudi SS),Gantry,HPOLE,12,81 - Gantry,32.01782834685288,,53.919006,,10.455138888888888,79.12683333333332,2W,,,,GOOD,NO E/W,LT,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G89),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
