S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
79,77,S,,SA,22,76-77,310.164639,1.27,149.282364,,11.36466667,78.79652778,GOOD,Available,LT -2No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79652777777778 11.364666666666666, 78.79519444444445 11.367083333333333)"
80,78,S,,SA,22,77-78,303.3456235,1.66,149.177887,,11.36708333,78.79519444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79519444444445 11.367083333333333, 78.79383333333332 11.3695)"
81,79,S,,SA,22,78-79,308.4089862,3.35,149.750168,,11.3695,78.79383333,GOOD,Available,"LT,HT",Metal Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79383333333332 11.3695, 78.79252777777778 11.371805555555556)"
82,80,T,2W,DC,26,79-80,291.6092079,1.4,149.27153,"2°52'6""L",11.37180556,78.79252778,GOOD,Available,LT-2No,,AGRI,Common tower for Kishnapuram - Mangalamedu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79252777777778 11.371805555555556, 78.79091666666666 11.37438888888889)"
83,81,S,,DA,26,80-81,335.2204303,1.54,151.688339,,11.37438889,78.79091667,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79091666666666 11.37438888888889, 78.7895 11.376611111111112)"
84,82,T,,DC,26,81-82,291.3932789,1.09,148.325058,"38°12'34""L",11.37661111,78.7895,GOOD,Available,"HT-2No, LT-2No",Krishnapuram Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7895 11.376611111111112, 78.78916666666666 11.376722222222222)"
85,Gantry (Krishnapuram SS),Gantry,2W,H-POLE,12,82-Gantry,36.13286808,,150.429199,,11.37672222,78.78916667,GOOD,NO E/W,LT,Village Road,PLAIN,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
