,Tower No, Supspension/Tenion,JOINT BOX,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,T.NO-57,S,,DA,DC,26,56-57,NO,258.1240012,2.58,11,,79.73216667,10.81111111,GOOD,GOOD,NO,,2nos TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73216666666667 10.811111111111112, 79.73466666666667 10.811194444444444)"
59,T.NO-58,S,,DA,DC,26,57-58,YES,273.1830888,1.86,11,,79.73466667,10.81119444,GOOD,GOOD,NO,,NALA,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73466666666667 10.811194444444444, 79.73688888888888 10.811277777777779)"
60,T.NO-59,T,2W,DC,DC,26,58-59,NO,242.0743687,1.17,10,"22°29'51.80""",79.73688889,10.81127778,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73688888888888 10.811277777777779, 79.73905555555555 10.81225)"
61,T.NO-60,S,,DA,DC,26,59-60,NO,261.4517164,2.17,11,,79.73905556,10.81225,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73905555555555 10.81225, 79.74133333333333 10.81325)"
62,T.NO-61,S,,DA,DC,26,60-61,NO,273.0293025,2.31,12,,79.74133333,10.81325,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74133333333333 10.81325, 79.74344444444445 10.814166666666667)"
63,T.NO-62,S,,DA,DC,26,61-62,NO,250.7987241,3.06,13,,79.74344444,10.81416667,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74344444444445 10.814166666666667, 79.74569444444444 10.815111111111111)"
64,T.NO-63,S,,DA,DC,26,62-63,YES,268.923781,4.12,11,,79.74569444,10.81511111,GOOD,GOOD,NO,2nos 11KV,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74569444444444 10.815111111111111, 79.74791666666667 10.81613888888889)"
65,T.NO-64,S,,DA,DC,26,63-64,NO,265.7536453,2.49,12,,79.74791667,10.81613889,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74791666666667 10.81613888888889, 79.75002777777777 10.817055555555555)"
66,T.NO-65,S,,DA,DC,26,64-65,NO,252.2399651,1.96,12,,79.75002778,10.81705556,GOOD,GOOD,NO,11KV,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75002777777777 10.817055555555555, 79.75227777777778 10.818027777777777)"
67,T.NO-66,S,,DA,DC,26,65-66,NO,270.495841,2.06,8,,79.75227778,10.81802778,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75227777777778 10.818027777777777, 79.75444444444445 10.818944444444444)"
68,T.NO-67,S,,DA,DC,26,66-67,YES,256.7041098,2.16,11,,79.75444444,10.81894444,GOOD,GOOD,NO,11KV,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75444444444445 10.818944444444444, 79.75666666666666 10.819972222222223)"
69,T.NO-68,S,,DA,DC,26,67-68,NO,268.0615601,INSIDE COMPOUND,10,,79.75666667,10.81997222,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75666666666666 10.819972222222223, 79.75877777777778 10.820888888888888)"
70,T.NO-69,S,,DA,DC,29,68-69,NO,251.6028617,1.81,11,,79.75877778,10.82088889,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75877777777778 10.820888888888888, 79.76083333333334 10.821805555555555)"
71,T.NO-70,T,,DC,DC,29,69-70,YES,245.8170051,1.65,11,"22°34'49.28""",79.76083333,10.82180556,GOOD,GOOD,NO,11KV,HIGHWAY CROSSING,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76083333333334 10.821805555555555, 79.76305555555555 10.821861111111112)"
72,T.NO-71,S,,DA,DC,26,70-71,NO,245.0510151,1.96,10,,79.76305556,10.82186111,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76305555555555 10.821861111111112, 79.76527777777778 10.821833333333332)"
73,T.NO-72,S,,DA,DC,26,71-72,NO,242.0082643,INSIDE POND,10,,79.76527778,10.82183333,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76527777777778 10.821833333333332, 79.76747222222222 10.821833333333332)"
74,T.NO-73,S,,DA,DC,26,72-73,NO,241.0186715,INSIDE POND,7,,79.76747222,10.82183333,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76747222222222 10.821833333333332, 79.76977777777778 10.821833333333332)"
75,T.NO-74,S,,DA,DC,26,73-74,NO,251.001992,2.01,10,,79.76977778,10.82183333,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76977777777778 10.821833333333332, 79.77166666666666 10.821833333333332)"
76,T.NO-75,S,,DA,DC,26,74-75,YES,207.021738,1.87,11,,79.77166667,10.82183333,GOOD,GOOD,NO,,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77166666666666 10.821833333333332, 79.77369444444444 10.821861111111112)"
77,T.NO-76,T,,DD,DC,28,75-76,NO,221.0090496,1.35,7,"40°40'2.73""",79.77369444,10.82186111,GOOD,GOOD,NO,"LT, 11KV","TAAR ROAD, CANAL",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77369444444444 10.821861111111112, 79.77477777777777 10.822805555555556)"
78,T.NO-77,T,,DD,DC,28,76-77,NO,159.4521872,BUSHES,7,"67°7'41.59""",79.77477778,10.82280556,GOOD,GOOD,YES,11KV,CANAL,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77477777777777 10.822805555555556, 79.77511111111112 10.82263888888889)"
79,GANTRY NARIMANAM,T,2W,GANTRY,,20,77-GANTRY,SS,41.14608122,,7,,79.77511111,10.82263889,GOOD,NO EARTH WIRE,,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
