S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
97, 82/14,S,,DA,26, 82/13- 82/14,278.2153566,3.74,16.157787,,10.63997222,79.63319444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63319444444444 10.639972222222221, 79.6358888888889 10.639999999999999)"
98, 82/15,S,,DA,26, 82/14- 82/15,297.0494038,1.98,14.798073,,10.64,79.63588889,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6358888888889 10.639999999999999, 79.63850000000001 10.639916666666666)"
99, 82/16,T,,DC,26, 82/15- 82/16,285.9045529,2.46,15.789308,"9°33'37"" L",10.63991667,79.6385,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63850000000001 10.639916666666666, 79.6401388888889 10.640138888888888)"
100, 82/17,T,2W,DC,26, 82/16- 82/17,178.973337,3.63,15.82029,"67°28'28"" R",10.64013889,79.64013889,GOOD,Available,,RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6401388888889 10.640138888888888, 79.64119444444445 10.638361111111111)"
101, 82/18,S,,DA,26, 82/17- 82/18,227.6882263,1.77,15.708616,,10.63836111,79.64119444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64119444444445 10.638361111111111, 79.64205555555556 10.636944444444444)"
102, 82/19,T,,DC,26, 82/18- 82/19,183.9514764,4.08,14.486725,"15°20'52"" L",10.63694444,79.64205556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64205555555556 10.636944444444444, 79.64380555555556 10.635333333333334)"
103, 82/20,S,,DA,26, 82/19- 82/20,260.2316106,3.73,15.684689,,10.63533333,79.64380556,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64380555555556 10.635333333333334, 79.64552777777779 10.633833333333333)"
104, 82/21,T,,DC,26, 82/20- 82/21,250.3192759,2.64,14.64601,"18°2'4"" R",10.63383333,79.64552778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64552777777779 10.633833333333333, 79.64661111111111 10.632027777777779)"
105, 82/22,T,,DC,26, 82/21- 82/22,233.498487,3.24,17.001642,"64°35'14"" L",10.63202778,79.64661111,GOOD,Available,,VILLAGE ROAD & RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64661111111111 10.632027777777779, 79.64886111111112 10.632222222222223)"
106, 82/23,S,,DA,26, 82/22- 82/23,250,2.63,16.114679,,10.63222222,79.64886111,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64886111111112 10.632222222222223, 79.65086111111111 10.63238888888889)"
107, 82/24,S,,DA,26, 82/23- 82/24,217.0565759,2.26,14.747491,,10.63238889,79.65086111,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65086111111111 10.63238888888889, 79.6526388888889 10.632555555555555)"
108, 82/25,S,,DA,26, 82/24- 82/25,198.0694798,2.93,14.792252,,10.63255556,79.65263889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6526388888889 10.632555555555555, 79.65438888888889 10.632666666666667)"
109, 82/26,S,,DA,26, 82/25- 82/26,190.3670246,3.71,13.117887,,10.63266667,79.65438889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65438888888889 10.632666666666667, 79.65547222222223 10.632694444444445)"
110, 82/27,T,,DC,26, 82/26- 82/27,119.9631048,2.97,13.755806,"27°33'8"" R",10.63269444,79.65547222,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65547222222223 10.632694444444445, 79.65775000000001 10.631611111111111)"
111, 82/28,S,,DA,26, 82/27- 82/28,277.0905638,2.65,12.409589,,10.63161111,79.65775,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65775000000001 10.631611111111111, 79.65980555555556 10.63088888888889)"
112, 82/29,S,,DA,26, 82/28- 82/29,245,1.67,12.108338,,10.63088889,79.65980556,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65980555555556 10.63088888888889, 79.66161111111111 10.629972222222223)"
113, 82/30,S,,DA,26, 82/29- 82/30,223.8904569,3.46,12.024185,,10.62997222,79.66161111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66161111111111 10.629972222222223, 79.66355555555556 10.629222222222223)"
114, 82/31,T,,DC,26, 82/30- 82/31,226.6578624,3.79,12.344196,"17°51'27"" L",10.62922222,79.66355556,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66355555555556 10.629222222222223, 79.66511111111112 10.629111111111111)"
115, 82/32,T,,DC,26, 82/31- 82/32,171.8404095,3.12,12.009151,"27°21'22"" R",10.62911111,79.66511111,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66511111111112 10.629111111111111, 79.66719444444445 10.62786111111111)"
116, 82/33,S,,DA,26, 82/32- 82/33,267.0024495,3.11,12.411869,,10.62786111,79.66719444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66719444444445 10.62786111111111, 79.66894444444445 10.626805555555556)"
117, 82/34,S,,DA,26, 82/33- 82/34,222.6751834,2.81,12.932503,,10.62680556,79.66894444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66894444444445 10.626805555555556, 79.67158333333334 10.626138888888889)"
118, 82/35,S,,DA,26, 82/34- 82/35,298.2694573,1.96,12.685612,,10.62613889,79.67158333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67158333333334 10.626138888888889, 79.67372222222222 10.625611111111112)"
119, 82 /36,S,,DA,26, 82/35- 82 /36,242.3347605,2.56,12.271706,,10.62561111,79.67372222,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67372222222222 10.625611111111112, 79.67538888888889 10.625194444444444)"
120, 82/37,T,2W,DC,26, 82 /36- 82/37,186.7167182,3.17,13.529972,"11°22'1"" R",10.62519444,79.67538889,GOOD,Available,LT,"VILLAGE ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67538888888889 10.625194444444444, 79.67733333333334 10.625)"
121, 82/38,S,,DA,26, 82/37- 82/38,215.1261818,4.1,13.394535,,10.625,79.67733333,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67733333333334 10.625, 79.67961111111111 10.624833333333333)"
122, 82/39,S,,DA,26, 82/38- 82/39,249.2196824,2.63,13.197998,,10.62483333,79.67961111,GOOD,Available,LT,"CANAL,ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67961111111111 10.624833333333333, 79.68180555555556 10.624833333333333)"
123, 82/40,T,,DC,26, 82/39- 82/40,239.8279349,1.67,12.34377,"1°43'48"" L",10.62483333,79.68180556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68180555555556 10.624833333333333, 79.68375 10.62488888888889)"
124, 82/41,S,,DA,26, 82/40- 82/41,212.1020038,2.3,11.595896,,10.62488889,79.68375,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68375 10.62488888888889, 79.68566666666668 10.625)"
125, 82/42,S,,DA,26, 82/41- 82/42,211.0632962,1.86,9.769817,,10.625,79.68566667,GOOD,Available,,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68566666666668 10.625, 79.68727777777778 10.625083333333334)"
126, 82/43,S,,DA,26, 82/42- 82/43,175.4919021,4.26,8.964499,,10.62508333,79.68727778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68727777777778 10.625083333333334, 79.68897222222222 10.625166666666667)"
127, 82/44,S,,DA,26, 82/43- 82/44,190,3.53,10.008822,,10.62516667,79.68897222,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68897222222222 10.625166666666667, 79.691 10.625027777777778)"
128, 82/45,S,,DA,26, 82/44- 82/45,222.6310044,2.99,10.256625,,10.62502778,79.691,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.691 10.625027777777778, 79.69294444444445 10.624972222222222)"
129, 82/46,S,,DA,26, 82/45- 82/46,213.4096137,1.61,8.103857,,10.62497222,79.69294444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69294444444445 10.624972222222222, 79.69522222222223 10.624805555555556)"
130, 82/47,S,,DA,26, 82/46- 82/47,249.3528048,2.77,9.349033,,10.62480556,79.69522222,GOOD,Available,HT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69522222222223 10.624805555555556, 79.69733333333333 10.624694444444446)"
131, 82/48,S,,DA,26, 82/47- 82/48,232.411552,3.01,8.950327,,10.62469444,79.69733333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69733333333333 10.624694444444446, 79.69975000000001 10.624555555555556)"
132, 82/49,S,,DA,26, 82/48- 82/49,263.64695,1.17,10.21506,,10.62455556,79.69975,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69975000000001 10.624555555555556, 79.70183333333334 10.62438888888889)"
133, 82/50,S,,DA,26, 82/49- 82/50,229.4529626,2.57,8.423388,,10.62438889,79.70183333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70183333333334 10.62438888888889, 79.70452777777778 10.624194444444445)"
134, 82/51,T,,DC,26, 82/50- 82/51,295.0943462,9.07,14.378881,"35°24'45"" L",10.62419444,79.70452778,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70452777777778 10.624194444444445, 79.70663888888889 10.625472222222223)"
135, 82/52,S,,DA,26, 82/51- 82/52,269.6847038,2.93,11.277126,,10.62547222,79.70663889,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70663888888889 10.625472222222223, 79.70872222222222 10.626722222222222)"
136, 82/53,T,,DC,26, 82/52- 82/53,267.5529388,1.9,10.865538,"15°25'27"" L",10.62672222,79.70872222,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70872222222222 10.626722222222222, 79.71041666666667 10.628472222222223)"
137, 82/54,S,,DA,26, 82/53- 82/54,267.3578855,2.63,12.461601,,10.62847222,79.71041667,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71041666666667 10.628472222222223, 79.71208333333334 10.630277777777778)"
138, 82/55,T,,DC,26, 82/54- 82/55,274,3.19,10.902033,"11°22'1"" R",10.63027778,79.71208333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71208333333334 10.630277777777778, 79.71397222222222 10.631611111111111)"
139, 82/56,T,,DC,26, 82/55- 82/56,253.5441253,2.16,12.274729,"36°52'25"" R",10.63161111,79.71397222,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71397222222222 10.631611111111111, 79.71425 10.631611111111111)"
140,Gantry (Tirukuvalai SS),Gantry,2W,DP,12, 82/56-Gantry,33,,12.453578,,10.63161111,79.71425,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
