S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
99,LILO : 97/1,T,2W,DC,22,97- 97/1,127.5772456,4.05,106,"1°30'45"" L",11.01516667,78.81733333,GOOD,Available,,,PLAIN,LILO at Siruganur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81733333333332 11.015166666666667, 78.81922222222222 11.014916666666666)"
100,98,S,,SA,22, 97/1-98,206.7694301,5.25,102,,11.01491667,78.81922222,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81922222222222 11.014916666666666, 78.82197222222221 11.014583333333333)"
101,99,S,,SA,22,98-99,303.9146636,3.29,103,,11.01458333,78.82197222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82197222222221 11.014583333333333, 78.82513888888889 11.014166666666666)"
102,100,S,,SA,22,99-100,350.3039477,1.85,100,,11.01416667,78.82513889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82513888888889 11.014166666666666, 78.82680555555555 11.013944444444444)"
103,101,S,,SA,22,100-101,181.7354578,3.01,102,,11.01394444,78.82680556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82680555555555 11.013944444444444, 78.82855555555555 11.013694444444445)"
104,102,T,,SC,22,101-102,193.0400711,3.77,105,"11°26'54"" R",11.01369444,78.82855556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82855555555555 11.013694444444445, 78.83108333333332 11.012805555555556)"
105,103,S,,SA,22,102-103,295.4353568,4.11,104,,11.01280556,78.83108333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83108333333332 11.012805555555556, 78.83369444444443 11.011972222222223)"
106,104,S,,SA,22,103-104,299.1631663,4.76,103,,11.01197222,78.83369444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83369444444443 11.011972222222223, 78.83633333333333 11.011027777777779)"
107,105,S,,SA,22,104-105,307.8291733,3.87,100,,11.01102778,78.83633333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83633333333333 11.011027777777779, 78.83911111111111 11.010055555555555)"
108,106,S,,SA,22,105-106,321.6722083,2.56,97,,11.01005556,78.83911111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83911111111111 11.010055555555555, 78.84211111111111 11.009)"
109,107,S,,SA,22,106-107,346.0963171,3.15,94,,11.009,78.84211111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84211111111111 11.009, 78.84491666666666 11.008083333333333)"
110,108,S,,SA,22,107-108,325.4079377,1.91,92,,11.00808333,78.84491667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84491666666666 11.008083333333333, 78.8475 11.007138888888889)"
111,109,S,,SA,22,108-109,301.6198763,2.26,91,,11.00713889,78.8475,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8475 11.007138888888889, 78.85052777777777 11.00611111111111)"
112,110,S,,SA,22,109-110,347.3761168,2.4,87.810028,,11.00611111,78.85052778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85052777777777 11.00611111111111, 78.85363888888888 11.005027777777778)"
113,111,S,,SA,22,110-111,361.8943507,3.12,88.520737,,11.00502778,78.85363889,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85363888888888 11.005027777777778, 78.85630555555555 11.004111111111111)"
114,112,S,,SA,22,111-112,306.7219341,1.88,91.935585,,11.00411111,78.85630556,GOOD,Available,HT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85630555555555 11.004111111111111, 78.85875 11.00325)"
115,113,T,2W,SC,22,112-113,283.9273759,2.91,92.934013,"7°11'44"" L",11.00325,78.85875,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85875 11.00325, 78.86149999999999 11.002666666666666)"
116,114,S,,SA,22,113-114,310.3294894,3.85,88.527702,,11.00266667,78.8615,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86149999999999 11.002666666666666, 78.86405555555555 11.00211111111111)"
117,115,S,,SA,22,114-115,285.1569013,4.12,86.006393,,11.00211111,78.86405556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86405555555555 11.00211111111111, 78.86677777777777 11.0015)"
118,116,S,,SA,22,115-116,306.0514079,2.47,80.8517,,11.0015,78.86677778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86677777777777 11.0015, 78.86941666666667 11.000944444444444)"
119,117,S,,SA,22,116-117,293.9165907,3.85,81.066544,,11.00094444,78.86941667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86941666666667 11.000944444444444, 78.872 11.000388888888889)"
120,118,S,,SA,22,117-118,288.7792922,4.72,80.97805,,11.00038889,78.872,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.872 11.000388888888889, 78.87444444444444 10.99986111111111)"
121,119,S,,SA,22,118-119,274.4312571,3.52,79.895653,,10.99986111,78.87444444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87444444444444 10.99986111111111, 78.87730555555555 10.99925)"
122,120,S,,SA,22,119-120,320.2862187,3.01,81.216965,,10.99925,78.87730556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87730555555555 10.99925, 78.87974999999999 10.998722222222222)"
123,121,S,,SA,22,120-121,271.7485941,4.11,82.000587,,10.99872222,78.87975,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87974999999999 10.998722222222222, 78.88244444444443 10.998166666666666)"
124,122,S,,SA,22,121-122,300.6348596,3,80.390488,,10.99816667,78.88244444,GOOD,Available,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88244444444443 10.998166666666666, 78.88511111111112 10.997583333333333)"
125,123,S,,SA,22,122-123,298.4946823,2.89,81.472351,,10.99758333,78.88511111,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88511111111112 10.997583333333333, 78.88758333333334 10.997027777777777)"
126,124,S,,SA,22,123-124,278.5500164,5.11,79.532578,,10.99702778,78.88758333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88758333333334 10.997027777777777, 78.88988888888889 10.996527777777777)"
127,125,S,,SA,22,124-125,258.1522466,3.35,79.884651,,10.99652778,78.88988889,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88988888888889 10.996527777777777, 78.89241666666668 10.995972222222221)"
128,126,S,,SA,22,125-126,282.7537486,4.3,81.202332,,10.99597222,78.89241667,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89241666666668 10.995972222222221, 78.89469444444445 10.99547222222222)"
129,127,T,2W,SA,22,126-127,254.3954681,3.9,81.985367,"16°48'29"" R",10.99547222,78.89469444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89469444444445 10.99547222222222, 78.89755555555556 10.993916666666665)"
130,128,S,,SA,22,127-128,356.6270231,2.15,83.194504,,10.99391667,78.89755556,GOOD,Available,,River,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89755555555556 10.993916666666665, 78.90027777777779 10.992388888888888)"
131,129,S,,SA,22,128-129,344.8164867,1.86,84.394348,,10.99238889,78.90027778,GOOD,Available,,River,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90027777777779 10.992388888888888, 78.90241666666667 10.991166666666667)"
132,130,S,,SA,22,129-130,267.1322845,4.01,87.256554,,10.99116667,78.90241667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90241666666667 10.991166666666667, 78.90466666666667 10.989999999999998)"
133,131,S,,SA,22,130-131,278.6507237,5.23,91.115311,,10.99,78.90466667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90466666666667 10.989999999999998, 78.90702777777778 10.988694444444443)"
134,132,S,,SA,22,131-132,296.8354746,4.65,90.967499,,10.98869444,78.90702778,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90702777777778 10.988694444444443, 78.90950000000001 10.987305555555555)"
135,133,S,,SA,22,132-133,309.0953935,2.27,93.291962,,10.98730556,78.9095,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90950000000001 10.987305555555555, 78.91194444444444 10.985999999999999)"
136,134,S,,SA,22,133-134,304.9681616,3.16,95.163322,,10.986,78.91194444,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91194444444444 10.985999999999999, 78.91436111111112 10.985305555555554)"
137,135,S,,SA,22,134-135,275.2629433,4.12,97.040657,,10.98530556,78.91436111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91436111111112 10.985305555555554, 78.91661111111112 10.984638888888888)"
138,136,S,,SA,22,135-136,256.0689306,1.99,93.420273,,10.98463889,78.91661111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91661111111112 10.984638888888888, 78.91883333333334 10.984)"
139,137,S,,SA,22,136-137,253.1738772,2.29,93.568237,,10.984,78.91883333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91883333333334 10.984, 78.92091666666667 10.983416666666665)"
140,138,S,,SA,22,137-138,236.2886464,5.51,91.807518,,10.98341667,78.92091667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92091666666667 10.983416666666665, 78.92402777777778 10.982527777777777)"
141,139,T,,SC,22,138-139,354.5303589,6.02,90.766312,"0°18'19"" L",10.98252778,78.92402778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92402777777778 10.982527777777777, 78.92730555555556 10.981583333333333)"
142,140,S,,SA,22,139-140,373.4279546,4.35,89.132004,,10.98158333,78.92730556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92730555555556 10.981583333333333, 78.92977777777779 10.98086111111111)"
143,141,T,2W,SC,22,140-141,281.9691828,3.15,94.389572,"43°41'28"" R",10.98086111,78.92977778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92977777777779 10.98086111111111, 78.93127777777778 10.978277777777778)"
144,142,T,,SC,22,141-142,330.6354823,2.25,94.570114,"44°49'57"" L",10.97827778,78.93127778,GOOD,NO E/W,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93127777777778 10.978277777777778, 78.9341388888889 10.977527777777778)"
145,143,S,,SA,22,142-143,323.8821658,1.36,97.012192,,10.97752778,78.93413889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9341388888889 10.977527777777778, 78.93691666666668 10.976750000000001)"
146,144,S,,SA,22,143-144,314.3467256,3.39,94.258591,,10.97675,78.93691667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93691666666668 10.976750000000001, 78.93975 10.975972222222222)"
147,145,S,,SA,22,144-145,320.0623795,5.05,93.179947,,10.97597222,78.93975,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93975 10.975972222222222, 78.94169444444445 10.975416666666666)"
148,146,S,,SA,22,145-146,221.6197096,6.07,92.589363,,10.97541667,78.94169444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94169444444445 10.975416666666666, 78.94352777777779 10.974916666666667)"
149,147,T,,SC,22,146-147,209.5888674,3.62,91.819786,"25°0'30"" R",10.97491667,78.94352778,GOOD,Available,LT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94352777777779 10.974916666666667, 78.9456388888889 10.973138888888888)"
150,148,T,,SC,22,147-148,302.4931813,1.76,91.077843,"58°40'46"" R",10.97313889,78.94563889,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9456388888889 10.973138888888888, 78.94555555555556 10.972583333333333)"
151,Gantry (Kallakudi SS),Gantry,2W,H-POLE,12,148-Gantry,61.20363704,,91.460884,,10.97258333,78.94555556,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
