S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,152,T,SB,22,151-152,226.93853987185696,1.22,76.6770319999999,"12°28'42"" R",10.28738888888889,78.9353888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9353888888889 10.28738888888889, 78.93561111111111 10.284916666666666)"
64,153,S,SA,22,152-153,273.9242710922074,0.75,73.7884219999999,,10.284916666666666,78.93561111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93561111111111 10.284916666666666, 78.93580555555556 10.282444444444446)"
65,154,T,SC,22,153-154,275.7316032998513,3.08,72.389587,"18°21'2"" R",10.282444444444446,78.93580555555556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93580555555556 10.282444444444446, 78.93516666666667 10.27977777777778)"
66,155,S,SA,22,154-155,303.4539755305191,1.72,68.502243,,10.27977777777778,78.93516666666667,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93516666666667 10.27977777777778, 78.93452777777779 10.277194444444445)"
67,156,T,SC,22,155-156,293.208076703325,2.09,68.1632309999999,,10.277194444444445,78.93452777777779,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93452777777779 10.277194444444445, 78.934 10.275166666666667)"
68,157,T,SC,22,156-157,233.58723520447356,4.32,67.745956,"41°55'40"" L",10.275166666666667,78.934,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.934 10.275166666666667, 78.93508333333334 10.273055555555556)"
69,158,S,SA,22,157-158,261.4913884897491,4.65,64.662125,,10.273055555555556,78.93508333333334,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93508333333334 10.273055555555556, 78.93625 10.270777777777779)"
70,159,S,SA,22,158-159,282.3143589481864,2.2,64.278419,,10.270777777777779,78.93625,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93625 10.270777777777779, 78.93744444444445 10.268583333333334)"
71,160,T,SC,22,159-160,274.1261536217911,1.65,62.49929,"20°3'1"" L",10.268583333333334,78.93744444444445,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93744444444445 10.268583333333334, 78.93922222222223 10.267000000000001)"
72,161,S,SA,22,160-161,263.9796735445718,0.76,59.2589609999999,,10.267000000000001,78.93922222222223,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93922222222223 10.267000000000001, 78.94111111111111 10.265333333333333)"
