S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
69,T.NO 64,S,,DA,26,63-64,276.4434843,3.68,102,,11.45157975,79.01041337,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01041336583913 11.451579746532216, 79.0087597661648 11.449570945664002)"
70,T.NO 65,S,,DA,26,64-65,286.2953021,3.41,104,,11.44957095,79.00875977,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0087597661648 11.449570945664002, 79.00657907590757 11.446943918730467)"
71,T.NO 66,T,,DC,26,65-66,375.6607512,3.77,107,"24°18'53""",11.44694392,79.00657908,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00657907590757 11.446943918730467, 79.00593609978904 11.444553331229194)"
72,T.NO 67,T,,DB,24,66-67,273.642102,4.85,108,"12°47'58""",11.44455333,79.0059361,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00593609978904 11.444553331229194, 79.00470599204442 11.442267205198167)"
73,T.NO 68,S,,DA,26,67-68,286.3564213,4.17,107,,11.44226721,79.00470599,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00470599204442 11.442267205198167, 79.00352152224796 11.440008504070958)"
74,T.NO 69,T,,DD,28,68-69,281.3574239,4.55,106,"32°10'42""",11.4400085,79.00352152,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00352152224796 11.440008504070958, 79.0005374446925 11.438288872581902)"
75,T.NO 70,S,,DA,26,69-70,377.1909331,3.95,103,,11.43828887,79.00053744,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0005374446925 11.438288872581902, 78.99844759612597 11.437099570751702)"
76,T.NO 71,T,2W,DC,26,70-71,263.3267932,4.51,108,"23°7'27""",11.43709957,78.9984476,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99844759612597 11.437099570751702, 78.99680408342053 11.43498233307188)"
77,T.NO 72,S,,DA,26,71-72,295.0423698,4.21,112,,11.43498233,78.99680408,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99680408342053 11.43498233307188, 78.99520665742943 11.432829250851432)"
78,T.NO 73,S,,DA,26,72-73,295.2033198,4.71,109,,11.43282925,78.99520666,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99520665742943 11.432829250851432, 78.99366327063989 11.430812112683268)"
79,T.NO 74,S,,DA,26,73-74,279.6140197,3.47,113,,11.43081211,78.99366327,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99366327063989 11.430812112683268, 78.99187527645584 11.428404633632196)"
80,T.NO 75,T,,DB,24,74-75,330.2029679,3.4,111,"7°44'24""",11.42840463,78.99187528,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99187527645584 11.428404633632196, 78.99025374770123 11.425781363752616)"
81,T.NO 76,S,,DA,26,75-76,339.9441131,4.75,110,,11.42578136,78.99025375,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99025374770123 11.425781363752616, 78.98935981331367 11.4239223222094)"
82,T.NO 77,T,,DB,24,76-77,227.6532451,4.61,109,"7°55'50""",11.42392232,78.98935981,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98935981331367 11.4239223222094, 78.98849592208879 11.421701942531799)"
83,T.NO 78,S,,DA,26,77-78,263.1368465,4.97,108,,11.42170194,78.98849592,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98849592208879 11.421701942531799, 78.98763223296172 11.419454447844645)"
84,T.NO 79,S,,DA,26,78-79,265.9323222,3.85,109,,11.41945445,78.98763223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98763223296172 11.419454447844645, 78.98675907479752 11.417252080384053)"
85,T.NO 80,T,,DC,26,79-80,261.6447974,5.17,112,"15°58'27""",11.41725208,78.98675907,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98675907479752 11.417252080384053, 78.98657218903917 11.415171925317855)"
86,T.NO 81,T,,DD,28,80-81,231.0497782,5.55,110,"68°55'0""",11.41517193,78.98657219,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98657218903917 11.415171925317855, 78.98572185503356 11.414931084195146)"
87,T.NO 82,T,,DC,26,81-82,96.56603958,4.35,110,"23°44'58""",11.41493108,78.98572186,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98572185503356 11.414931084195146, 78.98514412581976 11.415008463351786)"
88,GT 110KV THOLUDHUR SS,T,2W,GT,15,82-GT,63.63961031,,111,,11.41500846,78.98514413,GOOD,MISSING,,,PLAIN,110KV THOLUDHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,22439M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
